filename,m_timestamp,running_s,pretty_mtime,total_coverage,current_coverage
"id:000000,orig:empty",1569072745.0,0.0,2019-09-21 15:32:25,281,281
"id:000006,src:000005,op:havoc,rep:4",1569072745.0,0.0,2019-09-21 15:32:25,358,346
"id:000007,src:000004,op:havoc,rep:128,+cov",1569072745.0,0.0,2019-09-21 15:32:25,372,346
"id:000004,src:000003,op:havoc,rep:128,+cov",1569072745.0,0.0,2019-09-21 15:32:25,372,346
"id:000005,src:000004,op:flip1,pos:0,+cov",1569072745.0,0.0,2019-09-21 15:32:25,376,350
"id:000002,src:000001,op:havoc,rep:8",1569072745.0,0.0,2019-09-21 15:32:25,378,340
"id:000001,src:000000,op:havoc,rep:128,+cov",1569072745.0,0.0,2019-09-21 15:32:25,378,342
"id:000003,src:000002,op:havoc,rep:16,+cov",1569072745.0,0.0,2019-09-21 15:32:25,380,340
"id:000008,src:000004,op:havoc,rep:16,+cov",1569072746.0,1.0,2019-09-21 15:32:26,382,347
"id:000009,src:000008,op:flip1,pos:0,+cov",1569072746.0,1.0,2019-09-21 15:32:26,384,347
"id:000010,src:000008,op:havoc,rep:8,+cov",1569072748.0,3.0,2019-09-21 15:32:28,422,341
"id:000011,src:000010,op:havoc,rep:8",1569072748.0,3.0,2019-09-21 15:32:28,422,345
"id:000012,src:000010,op:havoc,rep:2",1569072748.0,3.0,2019-09-21 15:32:28,422,339
"id:000013,src:000011,op:havoc,rep:4",1569072749.0,4.0,2019-09-21 15:32:29,422,345
"id:000014,src:000012,op:havoc,rep:8",1569072749.0,4.0,2019-09-21 15:32:29,422,345
"id:000015,src:000005,op:havoc,rep:64,+cov",1569072749.0,4.0,2019-09-21 15:32:29,424,351
"id:000017,src:000016,op:flip1,pos:15,+cov",1569072750.0,5.0,2019-09-21 15:32:30,462,380
"id:000016,src:000013,op:havoc,rep:16,+cov",1569072750.0,5.0,2019-09-21 15:32:30,466,382
"id:000019,src:000016,op:flip1,pos:15,+cov",1569072750.0,5.0,2019-09-21 15:32:30,487,366
"id:000020,src:000019,op:havoc,rep:16",1569072750.0,5.0,2019-09-21 15:32:30,487,362
"id:000021,src:000018,op:havoc,rep:2",1569072750.0,5.0,2019-09-21 15:32:30,489,381
"id:000018,src:000016,op:flip1,pos:15,+cov",1569072750.0,5.0,2019-09-21 15:32:30,489,381
"id:000023,src:000022,op:flip1,pos:11",1569072751.0,6.0,2019-09-21 15:32:31,489,364
"id:000022,src:000020,op:havoc,rep:4,+cov",1569072751.0,6.0,2019-09-21 15:32:31,506,403
"id:000024,src:000022,op:havoc,rep:8",1569072751.0,6.0,2019-09-21 15:32:31,506,402
"id:000025,src:000008,op:havoc,rep:8,+cov",1569072752.0,7.0,2019-09-21 15:32:32,508,347
"id:000026,src:000025,op:flip1,pos:1,+cov",1569072752.0,7.0,2019-09-21 15:32:32,510,348
"id:000028,src:000027,op:havoc,rep:16",1569072753.0,8.0,2019-09-21 15:32:33,511,383
"id:000027,src:000016,op:havoc,rep:64,+cov",1569072753.0,8.0,2019-09-21 15:32:33,511,382
"id:000030,src:000014,op:havoc,rep:8",1569072753.0,8.0,2019-09-21 15:32:33,511,349
"id:000032,src:000022,op:havoc,rep:32",1569072754.0,9.0,2019-09-21 15:32:34,511,405
"id:000029,src:000022,op:havoc,rep:16",1569072754.0,9.0,2019-09-21 15:32:34,511,402
"id:000033,src:000018,op:havoc,rep:4",1569072754.0,9.0,2019-09-21 15:32:34,511,379
"id:000031,src:000027,op:havoc,rep:8",1569072754.0,9.0,2019-09-21 15:32:34,511,383
"id:000036,src:000032,op:flip1,pos:17,+cov",1569072755.0,10.0,2019-09-21 15:32:35,513,404
"id:000034,src:000032,op:flip1,pos:5",1569072755.0,10.0,2019-09-21 15:32:35,513,411
"id:000037,src:000019,op:havoc,rep:8,+cov",1569072755.0,10.0,2019-09-21 15:32:35,515,379
"id:000035,src:000032,op:flip1,pos:17,+cov",1569072755.0,10.0,2019-09-21 15:32:35,519,407
"id:000040,src:000039,op:flip1,pos:2,+cov",1569072756.0,11.0,2019-09-21 15:32:36,521,352
"id:000039,src:000009,op:havoc,rep:64,+cov",1569072756.0,11.0,2019-09-21 15:32:36,523,353
"id:000038,src:000022,op:havoc,rep:4",1569072756.0,11.0,2019-09-21 15:32:36,523,405
"id:000042,src:000037,op:havoc,rep:4,+cov",1569072757.0,12.0,2019-09-21 15:32:37,526,415
"id:000041,src:000035,op:havoc,rep:4",1569072757.0,12.0,2019-09-21 15:32:37,526,404
"id:000043,src:000037,op:havoc,rep:2",1569072757.0,12.0,2019-09-21 15:32:37,526,381
"id:000044,src:000039,op:havoc,rep:16,+cov",1569072758.0,13.0,2019-09-21 15:32:38,540,340
"id:000047,src:000046,op:havoc,rep:4",1569072759.0,14.0,2019-09-21 15:32:39,541,407
"id:000046,src:000036,op:havoc,rep:8,+cov",1569072759.0,14.0,2019-09-21 15:32:39,541,405
"id:000045,src:000042,op:havoc,rep:8",1569072759.0,14.0,2019-09-21 15:32:39,541,417
"id:000050,src:000046,op:havoc,rep:8,+cov",1569072760.0,15.0,2019-09-21 15:32:40,542,405
"id:000049,src:000039,op:havoc,rep:4",1569072760.0,15.0,2019-09-21 15:32:40,542,344
"id:000048,src:000042,op:havoc,rep:4,+cov",1569072760.0,15.0,2019-09-21 15:32:40,543,407
"id:000052,src:000036,op:havoc,rep:32",1569072762.0,17.0,2019-09-21 15:32:42,543,366
"id:000051,src:000037,op:havoc,rep:4",1569072762.0,17.0,2019-09-21 15:32:42,543,384
"id:000053,src:000036,op:havoc,rep:2",1569072763.0,18.0,2019-09-21 15:32:43,543,404
"id:000054,src:000046,op:havoc,rep:16,+cov",1569072764.0,19.0,2019-09-21 15:32:44,544,413
"id:000059,src:000026,op:havoc,rep:4,+cov",1569072765.0,20.0,2019-09-21 15:32:45,546,345
"id:000055,src:000027,op:havoc,rep:16",1569072765.0,20.0,2019-09-21 15:32:45,546,382
"id:000058,src:000036,op:havoc,rep:8",1569072765.0,20.0,2019-09-21 15:32:45,546,381
"id:000057,src:000056,op:flip1,pos:10,+cov",1569072765.0,20.0,2019-09-21 15:32:45,547,405
"id:000056,src:000022,op:havoc,rep:8",1569072765.0,20.0,2019-09-21 15:32:45,547,408
"id:000061,src:000056,op:havoc,rep:4",1569072766.0,21.0,2019-09-21 15:32:46,547,407
"id:000060,src:000046,op:havoc,rep:16",1569072766.0,21.0,2019-09-21 15:32:46,547,413
"id:000063,src:000022,op:havoc,rep:16",1569072767.0,22.0,2019-09-21 15:32:47,547,404
"id:000062,src:000033,op:havoc,rep:8,+cov",1569072767.0,22.0,2019-09-21 15:32:47,560,389
"id:000066,src:000054,op:havoc,rep:4",1569072768.0,23.0,2019-09-21 15:32:48,560,420
"id:000064,src:000058,op:havoc,rep:8",1569072768.0,23.0,2019-09-21 15:32:48,560,381
"id:000065,src:000064,op:flip1,pos:4",1569072768.0,23.0,2019-09-21 15:32:48,560,381
"id:000067,src:000039,op:havoc,rep:64,+cov",1569072769.0,24.0,2019-09-21 15:32:49,567,355
"id:000069,src:000068,op:havoc,rep:2",1569072770.0,25.0,2019-09-21 15:32:50,575,309
"id:000068,src:000067,op:havoc,rep:2,+cov",1569072770.0,25.0,2019-09-21 15:32:50,575,309
"id:000072,src:000071,op:havoc,rep:4",1569072771.0,26.0,2019-09-21 15:32:51,575,413
"id:000071,src:000066,op:havoc,rep:2,+cov",1569072771.0,26.0,2019-09-21 15:32:51,576,422
"id:000070,src:000054,op:havoc,rep:4",1569072771.0,26.0,2019-09-21 15:32:51,576,405
"id:000076,src:000074,op:flip1,pos:7,+cov",1569072772.0,27.0,2019-09-21 15:32:52,577,309
"id:000075,src:000074,op:flip1,pos:6,+cov",1569072772.0,27.0,2019-09-21 15:32:52,580,309
"id:000074,src:000069,op:havoc,rep:8,+cov",1569072772.0,27.0,2019-09-21 15:32:52,584,311
"id:000073,src:000037,op:havoc,rep:8",1569072772.0,27.0,2019-09-21 15:32:52,584,407
"id:000077,src:000074,op:flip1,pos:7,+cov",1569072772.0,27.0,2019-09-21 15:32:52,591,384
"id:000078,src:000071,op:havoc,rep:4",1569072773.0,28.0,2019-09-21 15:32:53,591,422
"id:000079,src:000033,op:havoc,rep:32",1569072774.0,29.0,2019-09-21 15:32:54,591,381
"id:000081,src:000080,op:flip1,pos:6,+cov",1569072775.0,30.0,2019-09-21 15:32:55,594,309
"id:000080,src:000075,op:havoc,rep:4,+cov",1569072775.0,30.0,2019-09-21 15:32:55,597,311
"id:000082,src:000052,op:havoc,rep:8,+cov",1569072777.0,32.0,2019-09-21 15:32:57,598,368
"id:000083,src:000061,op:havoc,rep:8",1569072779.0,34.0,2019-09-21 15:32:59,598,411
"id:000084,src:000082,op:havoc,rep:16",1569072781.0,36.0,2019-09-21 15:33:01,598,370
"id:000085,src:000044,op:havoc,rep:4,+cov",1569072783.0,38.0,2019-09-21 15:33:03,600,354
"id:000086,src:000072,op:havoc,rep:4,+cov",1569072785.0,40.0,2019-09-21 15:33:05,601,411
"id:000087,src:000086,op:havoc,rep:8,+cov",1569072786.0,41.0,2019-09-21 15:33:06,602,389
"id:000088,src:000086,op:havoc,rep:8,+cov",1569072787.0,42.0,2019-09-21 15:33:07,603,384
"id:000089,src:000082,op:havoc,rep:4",1569072788.0,43.0,2019-09-21 15:33:08,603,414
"id:000091,src:000071,op:havoc,rep:8",1569072791.0,46.0,2019-09-21 15:33:11,603,378
"id:000092,src:000090,op:flip1,pos:16",1569072791.0,46.0,2019-09-21 15:33:11,603,384
"id:000090,src:000046,op:havoc,rep:64",1569072791.0,46.0,2019-09-21 15:33:11,603,384
"id:000093,src:000071,op:havoc,rep:8,+cov",1569072792.0,47.0,2019-09-21 15:33:12,604,408
"id:000095,src:000094,op:flip1,pos:1",1569072794.0,49.0,2019-09-21 15:33:14,717,454
"id:000094,src:000049,op:havoc,rep:128,+cov",1569072794.0,49.0,2019-09-21 15:33:14,717,454
"id:000101,src:000100,op:flip1,pos:2",1569072795.0,50.0,2019-09-21 15:33:15,717,451
"id:000096,src:000094,op:havoc,rep:16,+cov",1569072795.0,50.0,2019-09-21 15:33:15,718,450
"id:000099,src:000096,op:flip1,pos:2",1569072795.0,50.0,2019-09-21 15:33:15,718,450
"id:000102,src:000100,op:flip1,pos:6,+cov",1569072795.0,50.0,2019-09-21 15:33:15,719,450
"id:000097,src:000096,op:flip1,pos:1",1569072795.0,50.0,2019-09-21 15:33:15,719,454
"id:000098,src:000096,op:flip1,pos:1",1569072795.0,50.0,2019-09-21 15:33:15,719,450
"id:000100,src:000097,op:havoc,rep:2",1569072795.0,50.0,2019-09-21 15:33:15,719,450
"id:000103,src:000102,op:havoc,rep:4",1569072796.0,51.0,2019-09-21 15:33:16,719,451
"id:000105,src:000103,op:havoc,rep:32,+cov",1569072797.0,52.0,2019-09-21 15:33:17,721,355
"id:000104,src:000096,op:havoc,rep:64,+cov",1569072797.0,52.0,2019-09-21 15:33:17,732,385
"id:000107,src:000103,op:havoc,rep:16,+cov",1569072798.0,53.0,2019-09-21 15:33:18,733,450
"id:000106,src:000093,op:havoc,rep:16",1569072799.0,54.0,2019-09-21 15:33:19,733,408
"id:000109,src:000107,op:havoc,rep:16,+cov",1569072800.0,55.0,2019-09-21 15:33:20,734,377
"id:000110,src:000109,op:flip1,pos:6,+cov",1569072800.0,55.0,2019-09-21 15:33:20,737,382
"id:000108,src:000071,op:havoc,rep:8",1569072800.0,55.0,2019-09-21 15:33:20,737,421
"id:000111,src:000110,op:havoc,rep:8,+cov",1569072801.0,56.0,2019-09-21 15:33:21,738,380
"id:000115,src:000112,op:flip1,pos:6,+cov",1569072802.0,57.0,2019-09-21 15:33:22,802,438
"id:000117,src:000094,op:havoc,rep:32",1569072802.0,57.0,2019-09-21 15:33:22,802,454
"id:000113,src:000112,op:flip1,pos:6,+cov",1569072802.0,57.0,2019-09-21 15:33:22,803,376
"id:000112,src:000096,op:havoc,rep:4,+cov",1569072802.0,57.0,2019-09-21 15:33:22,808,437
