filename,m_timestamp,running_s,pretty_mtime,total_coverage,current_coverage
"id:000366,src:000107,op:havoc,rep:4",1568552303.0,0.0,2019-09-15 14:58:23,3575,968
"id:000824,src:000229,op:havoc,rep:16",1568552303.0,0.0,2019-09-15 14:58:23,3576,1037
"id:000407,src:000107,op:havoc,rep:16,+cov",1568552303.0,0.0,2019-09-15 14:58:23,3576,919
"id:000694,src:000124,op:havoc,rep:4",1568552303.0,0.0,2019-09-15 14:58:23,3576,1016
"id:000846,src:000233,op:havoc,rep:16",1568552303.0,0.0,2019-09-15 14:58:23,3576,1123
"id:000514,src:000109,op:arith8,pos:52,val:-26",1568552303.0,0.0,2019-09-15 14:58:23,3576,1010
"id:001286,src:000737,op:havoc,rep:2",1568552303.0,0.0,2019-09-15 14:58:23,3576,485
"id:000662,src:000118,op:havoc,rep:16",1568552303.0,0.0,2019-09-15 14:58:23,3576,1143
"id:001225,src:000697,op:havoc,rep:8",1568552303.0,0.0,2019-09-15 14:58:23,3576,1083
"id:000064,src:000021,op:int16,pos:3,val:+100,+cov",1568552303.0,0.0,2019-09-15 14:58:23,3576,343
"id:000734,src:000143,op:arith8,pos:2,val:-13,+cov",1568552303.0,0.0,2019-09-15 14:58:23,3576,379
"id:000702,src:000124,op:havoc,rep:4",1568552303.0,0.0,2019-09-15 14:58:23,3576,984
"id:001102,src:000610,op:flip1,pos:53,+cov",1568552303.0,0.0,2019-09-15 14:58:23,3576,1192
"id:001296,src:000749,op:havoc,rep:8,+cov",1568552303.0,0.0,2019-09-15 14:58:23,3576,445
"id:000743,src:000143,op:havoc,rep:8,+cov",1568552303.0,0.0,2019-09-15 14:58:23,3576,392
"id:001330,src:000764,op:havoc,rep:8",1568552303.0,0.0,2019-09-15 14:58:23,3576,468
"id:000296,src:000107,op:arith8,pos:49,val:+30,+cov",1568552303.0,0.0,2019-09-15 14:58:23,3576,990
"id:001053,src:000582,op:havoc,rep:2",1568552303.0,0.0,2019-09-15 14:58:23,3576,1020
"id:001176,src:000635,op:havoc,rep:32",1568552303.0,0.0,2019-09-15 14:58:23,3576,964
"id:000855,src:000241,op:havoc,rep:16",1568552303.0,0.0,2019-09-15 14:58:23,3576,960
"id:000899,src:000292,op:havoc,rep:2",1568552303.0,0.0,2019-09-15 14:58:23,3576,976
"id:000040,src:000015,op:havoc,rep:4",1568552303.0,0.0,2019-09-15 14:58:23,3576,380
"id:000373,src:000107,op:havoc,rep:2,+cov",1568552303.0,0.0,2019-09-15 14:58:23,3576,998
"id:000947,src:000313,op:havoc,rep:8,+cov",1568552303.0,0.0,2019-09-15 14:58:23,3576,1068
"id:000247,src:000107,op:flip2,pos:4,+cov",1568552303.0,0.0,2019-09-15 14:58:23,3576,996
"id:001167,src:000635,op:flip1,pos:42",1568552303.0,0.0,2019-09-15 14:58:23,3576,1083
"id:001498,src:000948,op:havoc,rep:32",1568552303.0,0.0,2019-09-15 14:58:23,3576,1060
"id:000254,src:000107,op:flip2,pos:40",1568552303.0,0.0,2019-09-15 14:58:23,3576,983
"id:001074,src:000590,op:flip4,pos:33",1568552303.0,0.0,2019-09-15 14:58:23,3576,1038
"id:001342,src:000780,op:havoc,rep:8",1568552303.0,0.0,2019-09-15 14:58:23,3576,520
"id:000994,src:000506,op:flip1,pos:40,+cov",1568552303.0,0.0,2019-09-15 14:58:23,3576,1041
"id:000093,src:000054,op:havoc,rep:4",1568552303.0,0.0,2019-09-15 14:58:23,3576,446
