filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:mp4samplemin.mp4;2019-10-14 21:08:08.016465902;2352;2352;1
id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-15 09:02:58.234159708;2422;1178;71
id:000002,src:000000,op:flip1,pos:0,+cov;2019-10-15 11:19:31.983512878;2423;1181;72
id:000003,src:000000,op:flip1,pos:0,+cov;2019-10-15 09:02:58.266159533;2424;1179;73
id:000004,src:000000,op:flip1,pos:0,+cov;2019-10-15 11:50:06.498446703;2426;1180;75
id:000005,src:000000,op:flip1,pos:1,+cov;2019-10-15 09:02:58.294159174;2429;1148;78
id:000006,src:000000,op:flip1,pos:1,+cov;2019-10-15 09:02:58.318158865;2442;1165;91
id:000007,src:000000,op:flip1,pos:2,+cov;2019-10-15 12:20:37.553735495;2455;1168;104
id:000008,src:000000,op:flip1,pos:2;2019-10-15 09:02:58.342158794;2456;1157;105
id:000009,src:000000,op:flip1,pos:2,+cov;2019-10-15 13:17:00.050683737;2473;1168;122
id:000010,src:000000,op:flip1,pos:3,+cov;2019-10-15 09:02:58.378158331;2477;1161;126
id:000011,src:000000,op:flip1,pos:3,+cov;2019-10-15 13:50:30.964014530;2479;1160;128
id:000012,src:000000,op:flip1,pos:3,+cov;2019-10-15 14:23:19.905828476;2491;1166;140
id:000013,src:000000,op:flip1,pos:3,+cov;2019-10-15 09:02:58.422158003;2497;1496;146
id:000014,src:000000,op:flip1,pos:13,+cov;2019-10-15 09:02:59.490148067;2505;2311;153
id:000015,src:000000,op:flip1,pos:16;2019-10-15 09:02:59.562147379;2506;2297;154
id:000016,src:000000,op:flip1,pos:16,+cov;2019-10-15 09:02:59.582147121;2507;2303;155
id:000017,src:000000,op:flip1,pos:16;2019-10-15 09:02:59.606147051;2507;2314;155
id:000018,src:000000,op:flip1,pos:16,+cov;2019-10-15 09:02:59.626146793;2509;2317;157
id:000019,src:000000,op:flip1,pos:16,+cov;2019-10-15 09:02:59.646146536;2511;2302;159
id:000020,src:000000,op:flip1,pos:39,+cov;2019-10-15 17:11:29.557108641;2513;1498;161
id:000021,src:000000,op:flip1,pos:40,+cov;2019-10-15 09:03:00.074142694;2539;1256;187
id:000022,src:000000,op:flip1,pos:41;2019-10-15 09:03:00.110142231;2539;1273;187
id:000023,src:000000,op:flip1,pos:42;2019-10-15 17:54:31.057361603;2539;1260;187
id:000024,src:000000,op:flip1,pos:42;2019-10-15 09:03:00.146142006;2539;1260;187
id:000025,src:000000,op:flip1,pos:42,+cov;2019-10-15 18:28:38.854191303;2550;1260;198
id:000026,src:000000,op:flip1,pos:43;2019-10-15 09:03:00.182141542;2550;2319;198
id:000027,src:000000,op:flip1,pos:44;2019-10-15 09:03:00.214141369;2550;2312;198
id:000028,src:000000,op:flip1,pos:70,+cov;2019-10-15 09:03:00.706136703;2551;2309;199
id:000029,src:000000,op:flip1,pos:73,+cov;2019-10-15 09:03:00.782135963;2552;2308;200
id:000030,src:000000,op:flip1,pos:73,+cov;2019-10-15 09:03:00.802135944;2553;2317;201
id:000031,src:000000,op:flip1,pos:73,+cov;2019-10-15 09:03:00.826135635;2556;2319;204
id:000032,src:000000,op:flip1,pos:73,+cov;2019-10-15 09:03:00.846135378;2558;2310;206
id:000033,src:000000,op:flip1,pos:73,+cov;2019-10-15 09:03:00.866135120;2559;2316;207
