filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:mp4samplemin.mp4;2019-10-16 09:05:43.607459545;2352;2352;1
id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-16 09:05:59.835308313;2422;1178;71
id:000002,src:000000,op:flip1,pos:0,+cov;2019-10-16 09:05:59.851308107;2423;1181;72
id:000003,src:000000,op:flip1,pos:0,+cov;2019-10-16 09:05:59.863307953;2424;1179;73
id:000004,src:000000,op:flip1,pos:0,+cov;2019-10-16 11:25:57.688198328;2426;1180;75
id:000005,src:000000,op:flip1,pos:1,+cov;2019-10-16 09:05:59.891307831;2429;1148;78
id:000006,src:000000,op:flip1,pos:1,+cov;2019-10-16 09:05:59.911307573;2442;1165;91
id:000007,src:000000,op:flip1,pos:2,+cov;2019-10-16 11:56:53.554732561;2455;1168;104
id:000008,src:000000,op:flip1,pos:2;2019-10-16 09:05:59.939307213;2456;1157;105
id:000009,src:000000,op:flip1,pos:2,+cov;2019-10-16 12:54:09.138297319;2473;1168;122
id:000010,src:000000,op:flip1,pos:3,+cov;2019-10-16 09:05:59.971307039;2477;1161;126
id:000011,src:000000,op:flip1,pos:3,+cov;2019-10-16 12:54:11.018279552;2479;1160;128
id:000012,src:000000,op:flip1,pos:3,+cov;2019-10-16 12:54:12.930261612;2491;1166;140
id:000013,src:000000,op:flip1,pos:3,+cov;2019-10-16 09:06:00.011306524;2497;1496;146
id:000014,src:000000,op:flip1,pos:13,+cov;2019-10-16 09:06:00.951297760;2505;2311;153
id:000015,src:000000,op:flip1,pos:16;2019-10-16 09:06:01.019297123;2506;2297;154
id:000016,src:000000,op:flip1,pos:16,+cov;2019-10-16 09:06:01.039297104;2507;2303;155
id:000017,src:000000,op:flip1,pos:16;2019-10-16 09:06:01.059296846;2507;2314;155
id:000018,src:000000,op:flip1,pos:16,+cov;2019-10-16 09:06:01.079296589;2509;2317;157
id:000019,src:000000,op:flip1,pos:16,+cov;2019-10-16 09:06:01.099296570;2511;2302;159
