filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:mp4samplemin.mp4;2019-10-20 15:40:38.962660313;2352;2352;1
id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-20 15:41:31.794179440;2422;1178;71
id:000002,src:000001,op:flip1,pos:0,+cov;2019-10-20 15:41:34.154157877;2467;1572;116
id:000003,src:000002,op:flip1,pos:0,+cov;2019-10-20 15:41:36.022140980;2481;1185;130
id:000004,src:000002,op:flip1,pos:0,+cov;2019-10-20 15:41:37.786124945;2482;1188;131
id:000005,src:000002,op:flip1,pos:0,+cov;2019-10-20 15:41:39.578108549;2483;1186;132
id:000006,src:000002,op:flip1,pos:0,+cov;2019-10-20 15:41:41.358092308;2485;1187;134
id:000007,src:000002,op:flip1,pos:1,+cov;2019-10-20 15:42:37.121584892;2488;1155;137
id:000008,src:000002,op:flip1,pos:1;2019-10-20 15:41:43.150076151;2489;1154;138
id:000009,src:000002,op:flip1,pos:2,+cov;2019-10-20 15:41:44.866060495;2492;1163;141
id:000010,src:000003,op:flip1,pos:0,+cov;2019-10-20 15:41:36.042140722;2500;1588;149
id:000011,src:000004,op:flip1,pos:1,+cov;2019-10-20 15:41:37.830124378;2501;1187;150
id:000012,src:000004,op:flip1,pos:1;2019-10-20 15:41:37.850124359;2501;1189;150
id:000013,src:000005,op:flip1,pos:0,+cov;2019-10-20 15:41:39.598108292;2503;1186;152
id:000014,src:000005,op:flip1,pos:1,+cov;2019-10-20 15:41:39.634108067;2505;1188;154
id:000015,src:000006,op:flip1,pos:0,+cov;2019-10-20 15:41:41.378092289;2508;1187;157
id:000016,src:000006,op:flip1,pos:1,+cov;2019-10-20 15:41:41.414091825;2509;1187;158
id:000017,src:000013,op:flip1,pos:0,+cov;2019-10-20 15:41:52.229993343;2510;1184;159
id:000018,src:000013,op:flip1,pos:0,+cov;2019-10-20 15:41:52.253993273;2515;1182;164
id:000019,src:000015,op:flip1,pos:0,+cov;2019-10-20 15:41:55.757961273;2516;1184;165
id:000020,src:000015,op:flip1,pos:0,+cov;2019-10-20 15:41:55.777961016;2517;1184;166
id:000021,src:000018,op:flip1,pos:0,+cov;2019-10-20 15:42:00.997913599;2518;1184;167
id:000022,src:000018,op:flip1,pos:0,+cov;2019-10-20 15:42:01.021913290;2527;1192;176
id:000023,src:000019,op:flip1,pos:0,+cov;2019-10-20 15:42:02.737897873;2531;1184;180
id:000024,src:000020,op:flip1,pos:0,+cov;2019-10-20 15:42:04.473881960;2533;1187;182
id:000025,src:000020,op:flip1,pos:0,+cov;2019-10-20 15:42:04.493881702;2535;1186;184
id:000026,src:000021,op:flip1,pos:0,+cov;2019-10-20 15:42:06.289865494;2537;1186;186
id:000027,src:000022,op:flip1,pos:1,+cov;2019-10-20 15:42:08.445845842;2540;1189;189
id:000028,src:000025,op:flip1,pos:0,+cov;2019-10-20 15:42:14.609789848;2542;1186;191
id:000029,src:000027,op:flip1,pos:3,+cov;2019-10-20 15:42:18.165757418;2546;1192;195
id:000030,src:000000,op:havoc,rep:4,+cov;2019-10-20 15:42:26.121685028;2550;2323;199
id:000031,src:000005,op:havoc,rep:128,+cov;2019-10-20 15:42:27.977668047;2568;1187;217
id:000032,src:000005,op:havoc,rep:128,+cov;2019-10-20 15:42:29.681652546;2570;1180;219
id:000033,src:000005,op:havoc,rep:128,+cov;2019-10-20 15:42:31.401636839;2585;1192;234
id:000034,src:000005,op:havoc,rep:64,+cov;2019-10-20 15:42:26.229683876;2598;1186;246
id:000035,src:000005,op:havoc,rep:16;2019-10-20 15:51:01.188997507;2599;1188;247
id:000036,src:000033,op:flip1,pos:0,+cov;2019-10-20 15:42:31.437636614;2601;1537;249
id:000037,src:000006,op:havoc,rep:4;2019-10-20 15:42:35.425600290;2601;1189;249
id:000038,src:000008,op:havoc,rep:128,+cov;2019-10-20 15:42:39.221565723;2605;1136;253
id:000039,src:000038,op:flip1,pos:0,+cov;2019-10-20 15:42:39.237565517;2606;1167;254
id:000040,src:000038,op:flip1,pos:1;2019-10-20 15:42:39.309565067;2606;1524;254
id:000041,src:000011,op:havoc,rep:64;2019-10-20 15:44:13.088711500;2606;1177;254
id:000042,src:000012,op:havoc,rep:128,+cov;2019-10-20 15:42:43.081530571;2609;1186;257
id:000043,src:000012,op:havoc,rep:128;2019-10-20 15:52:51.979989290;2610;1182;258
id:000044,src:000012,op:havoc,rep:32,+cov;2019-10-20 15:51:21.632811546;2611;1186;259
id:000045,src:000012,op:havoc,rep:64;2019-10-20 15:42:41.177547932;2611;1191;259
id:000046,src:000012,op:havoc,rep:128,+cov;2019-10-20 15:42:46.669497967;2613;1179;261
id:000047,src:000038,op:havoc,rep:64,+cov;2019-10-20 15:42:48.201483965;2651;1116;299
id:000048,src:000042,op:flip1,pos:2;2019-10-20 15:42:43.153529882;2651;1185;299
id:000049,src:000042,op:flip1,pos:3,+cov;2019-10-20 15:42:43.189529657;2653;1188;301
id:000050,src:000042,op:flip1,pos:4,+cov;2019-10-20 15:42:43.241529226;2749;1168;397
id:000051,src:000042,op:flip1,pos:6,+cov;2019-10-20 15:42:43.361528158;2754;1169;402
id:000052,src:000042,op:flip1,pos:7,+cov;2019-10-20 15:42:43.429527521;2758;1169;406
id:000053,src:000042,op:flip1,pos:7,+cov;2019-10-20 15:42:43.469527006;2761;1169;409
id:000054,src:000042,op:flip1,pos:13,+cov;2019-10-20 15:42:43.641525507;2768;1177;416
id:000055,src:000042,op:flip1,pos:16;2019-10-20 15:42:43.725524664;2768;1162;416
id:000056,src:000042,op:flip1,pos:16,+cov;2019-10-20 15:42:43.741524696;2769;1168;417
id:000057,src:000042,op:flip1,pos:16;2019-10-20 15:42:43.761524439;2769;1181;417
id:000058,src:000042,op:flip1,pos:16,+cov;2019-10-20 15:42:43.781524181;2771;1183;419
id:000059,src:000042,op:flip1,pos:16,+cov;2019-10-20 15:42:43.801524162;2773;1167;421
id:000060,src:000042,op:flip1,pos:42,+cov;2019-10-20 15:42:44.409518480;2774;1178;422
id:000061,src:000047,op:flip1,pos:0,+cov;2019-10-20 15:42:48.217483997;2775;1132;423
id:000062,src:000047,op:flip1,pos:1;2019-10-20 15:42:48.285483360;2775;1127;423
id:000063,src:000047,op:flip1,pos:3,+cov;2019-10-20 15:42:48.337482691;2777;1118;425
id:000064,src:000047,op:flip1,pos:4,+cov;2019-10-20 15:42:48.389482260;3491;2372;1139
id:000065,src:000047,op:flip1,pos:6;2019-10-20 15:42:48.505481242;3491;2373;1139
id:000066,src:000047,op:flip1,pos:7;2019-10-20 15:42:48.569480658;3491;2373;1139
id:000067,src:000047,op:flip1,pos:7;2019-10-20 15:42:48.601480484;3491;2373;1139
id:000068,src:000047,op:flip1,pos:26,+cov;2019-10-20 15:42:49.057476282;3492;1102;1140
id:000069,src:000047,op:flip1,pos:54,+cov;2019-10-20 15:42:49.673470736;3496;1112;1144
id:000070,src:000047,op:flip1,pos:57,+cov;2019-10-20 15:42:49.753469944;3500;1105;1148
id:000071,src:000047,op:flip1,pos:57,+cov;2019-10-20 15:42:49.769469738;3503;1118;1151
id:000072,src:000047,op:flip1,pos:57;2019-10-20 15:42:49.789469481;3503;1119;1151
id:000073,src:000047,op:flip1,pos:57,+cov;2019-10-20 15:42:49.813469410;3505;1114;1153
id:000074,src:000047,op:flip1,pos:60,+cov;2019-10-20 15:42:49.877468824;3507;1118;1155
id:000075,src:000047,op:flip1,pos:67;2019-10-20 15:42:50.041467190;3507;1116;1155
id:000076,src:000050,op:flip1,pos:0;2019-10-20 15:42:57.205402136;3507;1165;1155
id:000077,src:000061,op:flip1,pos:4;2019-10-20 15:43:18.425209045;3507;1060;1155
id:000078,src:000063,op:flip1,pos:1,+cov;2019-10-20 15:43:22.101175547;3515;1124;1163
id:000079,src:000066,op:flip1,pos:0;2019-10-20 15:43:24.973149300;3515;1064;1163
id:000080,src:000066,op:flip1,pos:0;2019-10-20 15:43:25.017148972;3515;1063;1163
id:000081,src:000066,op:flip1,pos:0;2019-10-20 15:43:25.057148695;3515;1062;1163
id:000082,src:000066,op:flip1,pos:1;2019-10-20 15:43:25.093148232;3515;1046;1163
id:000083,src:000066,op:flip1,pos:1;2019-10-20 15:43:25.153147697;3515;1049;1163
id:000084,src:000077,op:flip1,pos:3,+cov;2019-10-20 15:43:41.592998028;3516;1063;1164
id:000085,src:000077,op:flip1,pos:3,+cov;2019-10-20 15:43:41.628997803;3517;1062;1165
id:000086,src:000077,op:flip1,pos:3;2019-10-20 15:43:41.656997442;3517;1062;1165
id:000087,src:000080,op:flip1,pos:0;2019-10-20 15:43:46.948949337;3517;1062;1165
id:000088,src:000081,op:flip1,pos:0;2019-10-20 15:43:49.904922485;3517;1063;1165
id:000089,src:000082,op:flip1,pos:0;2019-10-20 15:43:52.828895807;3517;1063;1165
id:000090,src:000010,op:havoc,rep:128,+cov;2019-10-20 15:44:11.316727638;3559;1349;1207
id:000091,src:000017,op:havoc,rep:128;2019-10-20 15:44:17.652669907;3559;1184;1207
id:000092,src:000060,op:havoc,rep:64;2019-10-20 15:44:13.108711243;3559;1127;1207
id:000093,src:000020,op:havoc,rep:32;2019-10-20 15:56:34.525964022;3559;1184;1207
id:000094,src:000023,op:havoc,rep:64,+cov;2019-10-20 15:44:22.672624350;3560;1186;1208
id:000095,src:000010,op:havoc,rep:4;2019-10-20 15:44:22.712623835;3560;1553;1208
id:000096,src:000021,op:havoc,rep:16,+cov;2019-10-20 15:44:22.740623713;3571;1199;1219
id:000097,src:000006,op:havoc,rep:64;2019-10-20 15:44:26.280591488;3571;1183;1219
