filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:ducks.gif;2019-10-24 19:32:15.801949501;352;352;0
id:000000,orig:ducks.png;2019-11-06 11:45:16.246875525;355;22;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-29 12:49:28.719066858;355;22;0
id:000002,src:000000,op:flip1,pos:3,+cov;2019-10-29 12:49:29.071063519;380;374;25
id:000002,src:000000,op:flip1,pos:3,+cov.png;2019-11-06 11:45:16.270875216;380;22;25
id:000003,src:000000,op:flip1,pos:10,+cov;2019-10-29 12:49:31.223043203;421;69;66
id:000004,src:000000,op:flip1,pos:10,+cov;2019-10-29 12:49:31.379041672;422;46;67
id:000005,src:000000,op:flip1,pos:10,+cov;2019-10-29 12:49:31.379041672;436;75;81
id:000006,src:000000,op:flip1,pos:10,+cov;2019-10-29 12:49:31.387041569;437;72;82
id:000007,src:000000,op:flip1,pos:11,+cov;2019-10-29 12:49:31.743038416;444;358;89
id:000007,src:000000,op:flip1,pos:11,+cov.png;2019-11-06 11:45:16.310874939;444;22;89
id:000008,src:000000,op:flip1,pos:11;2019-10-29 12:49:32.231034279;444;356;89
id:000008,src:000000,op:flip1,pos:11.png;2019-11-06 11:45:16.334874630;444;22;89
id:000009,src:000000,op:flip1,pos:11,+cov;2019-10-29 12:49:32.623031378;446;373;91
id:000009,src:000000,op:flip1,pos:11,+cov.png;2019-11-06 11:45:16.358874559;446;22;91
id:000010,src:000000,op:flip1,pos:12,+cov;2019-10-29 12:49:33.015028477;449;378;94
id:000010,src:000000,op:flip1,pos:12,+cov.png;2019-11-06 11:45:16.386874199;449;22;94
id:000011,src:000000,op:flip1,pos:13;2019-10-29 12:49:33.639023781;449;370;94
id:000011,src:000000,op:flip1,pos:13.png;2019-11-06 11:45:16.410873890;449;22;94
id:000012,src:000000,op:flip1,pos:62,+cov;2019-10-29 12:49:48.606910944;457;75;102
id:000013,src:000000,op:flip1,pos:62,+cov;2019-10-29 12:49:48.610910892;460;76;105
id:000014,src:000000,op:flip1,pos:63,+cov;2019-10-29 12:49:48.614910841;461;80;106
id:000015,src:000000,op:flip1,pos:63;2019-10-29 12:49:48.618910789;461;80;106
id:000016,src:000000,op:flip1,pos:63;2019-10-29 12:49:48.622910738;461;80;106
id:000017,src:000000,op:flip1,pos:63;2019-10-29 12:49:48.626910686;461;80;106
id:000018,src:000000,op:flip1,pos:64,+cov;2019-10-29 12:49:49.102907181;482;389;127
id:000018,src:000000,op:flip1,pos:64,+cov.png;2019-11-06 11:45:16.454873562;482;22;127
id:000019,src:000000,op:flip1,pos:64,+cov;2019-10-29 12:49:49.562903643;486;379;131
id:000019,src:000000,op:flip1,pos:64,+cov.png;2019-11-06 11:45:16.478873253;486;22;131
id:000020,src:000000,op:flip1,pos:65,+cov;2019-10-29 12:49:49.914901018;487;390;132
id:000020,src:000000,op:flip1,pos:65,+cov.png;2019-11-06 11:45:16.502872944;487;22;132
id:000021,src:000000,op:flip1,pos:68;2019-10-29 12:49:50.822894096;487;80;132
id:000022,src:000000,op:flip1,pos:68;2019-10-29 12:49:50.826894045;487;80;132
id:000023,src:000000,op:flip1,pos:68;2019-10-29 12:49:50.830893993;487;80;132
id:000024,src:000000,op:flip1,pos:70,+cov;2019-10-29 12:49:51.186891317;489;377;134
id:000024,src:000000,op:flip1,pos:70,+cov.png;2019-11-06 11:45:16.538872719;489;22;134
id:000025,src:000000,op:flip1,pos:74;2019-10-29 12:49:52.738879681;489;369;134
id:000025,src:000000,op:flip1,pos:74.png;2019-11-06 11:45:16.562872410;489;22;134
id:000026,src:000000,op:flip1,pos:74,+cov;2019-10-29 12:49:53.054877281;501;213;146
id:000027,src:000000,op:flip1,pos:74,+cov;2019-10-29 12:49:53.510873794;503;201;148
id:000028,src:000000,op:flip1,pos:74,+cov;2019-10-29 12:49:53.834871292;504;195;149
id:000029,src:000000,op:flip1,pos:75;2019-10-29 12:49:54.154868841;504;213;149
id:000030,src:000000,op:flip1,pos:75;2019-10-29 12:49:54.462866545;504;213;149
id:000031,src:000000,op:flip1,pos:75;2019-10-29 12:49:54.786864042;504;213;149
id:000032,src:000000,op:flip1,pos:75;2019-10-29 12:49:55.178861141;504;213;149
id:000033,src:000000,op:flip1,pos:75,+cov;2019-10-29 12:49:55.490858793;506;371;151
id:000033,src:000000,op:flip1,pos:75,+cov.png;2019-11-06 11:45:16.742870569;506;22;151
id:000034,src:000000,op:flip1,pos:75,+cov;2019-10-29 12:49:55.806856394;507;213;152
id:000035,src:000000,op:flip1,pos:76;2019-10-29 12:49:56.178853512;507;373;152
id:000035,src:000000,op:flip1,pos:76.png;2019-11-06 11:45:16.790870190;507;22;152
id:000036,src:000000,op:flip1,pos:77;2019-10-29 12:49:56.974847555;507;370;152
id:000036,src:000000,op:flip1,pos:77.png;2019-11-06 11:45:16.814869881;507;22;152
id:000037,src:000000,op:flip1,pos:78,+cov;2019-10-29 12:49:56.982847452;551;155;196
id:000038,src:000000,op:flip1,pos:78,+cov;2019-10-29 12:49:57.342844725;562;386;207
id:000038,src:000000,op:flip1,pos:78,+cov.png;2019-11-06 11:45:16.842869759;562;22;207
id:000039,src:000000,op:flip1,pos:79,+cov;2019-10-29 12:49:57.586842775;568;143;213
id:000040,src:000000,op:flip1,pos:79,+cov;2019-10-29 12:49:57.590842724;607;223;252
id:000041,src:000000,op:flip1,pos:79,+cov;2019-10-29 12:49:57.598842621;611;135;256
id:000042,src:000000,op:flip1,pos:80,+cov;2019-10-29 12:49:57.602842569;620;239;265
id:000043,src:000000,op:flip1,pos:80;2019-10-29 12:49:57.606842756;620;218;265
id:000044,src:000000,op:flip1,pos:80,+cov;2019-10-29 12:49:57.610842705;626;208;271
id:000045,src:000000,op:flip1,pos:80;2019-10-29 12:49:57.618842602;626;218;271
id:000046,src:000000,op:flip1,pos:80;2019-10-29 12:49:57.626842499;626;217;271
id:000047,src:000000,op:flip1,pos:80;2019-10-29 12:49:57.630842447;626;217;271
id:000048,src:000000,op:flip1,pos:80,+cov;2019-10-29 12:49:57.642842293;637;257;282
id:000049,src:000000,op:flip1,pos:81,+cov;2019-10-29 12:49:57.762841463;638;248;283
id:000050,src:000000,op:flip1,pos:82,+cov;2019-10-29 12:49:58.170838356;640;382;285
id:000050,src:000000,op:flip1,pos:82,+cov.png;2019-11-06 11:45:16.902869225;640;22;285
id:000051,src:000000,op:flip1,pos:82;2019-10-29 12:49:58.510835885;640;373;285
id:000051,src:000000,op:flip1,pos:82.png;2019-11-06 11:45:16.930868864;640;22;285
id:000052,src:000000,op:flip1,pos:82;2019-10-29 12:49:58.638834715;640;147;285
id:000053,src:000000,op:flip1,pos:83;2019-10-29 12:49:59.198830605;640;380;285
id:000053,src:000000,op:flip1,pos:83.png;2019-11-06 11:45:16.958868504;640;22;285
id:000054,src:000000,op:flip1,pos:84;2019-10-29 12:49:59.742826462;640;379;285
id:000054,src:000000,op:flip1,pos:84.png;2019-11-06 11:45:16.982868433;640;22;285
id:000055,src:000000,op:flip1,pos:84;2019-10-29 12:50:00.246822596;640;379;285
id:000055,src:000000,op:flip1,pos:84.png;2019-11-06 11:45:17.006868124;640;22;285
id:000056,src:000000,op:flip1,pos:85;2019-10-29 12:50:00.602819920;640;379;285
id:000056,src:000000,op:flip1,pos:85.png;2019-11-06 11:45:17.034867764;640;22;285
id:000057,src:000000,op:flip1,pos:85;2019-10-29 12:50:01.114815950;640;379;285
id:000057,src:000000,op:flip1,pos:85.png;2019-11-06 11:45:17.058867693;640;22;285
id:000058,src:000000,op:flip1,pos:86;2019-10-29 12:50:01.662811756;640;382;285
id:000058,src:000000,op:flip1,pos:86.png;2019-11-06 11:45:17.082867384;640;22;285
id:000059,src:000000,op:flip1,pos:90,+cov;2019-10-29 12:50:02.746803522;641;251;286
id:000060,src:000000,op:flip1,pos:90;2019-10-29 12:50:02.750803471;641;254;286
id:000061,src:000000,op:flip1,pos:90,+cov;2019-10-29 12:50:02.758803606;642;210;287
id:000062,src:000000,op:flip1,pos:91;2019-10-29 12:50:02.986801863;642;201;287
id:000063,src:000000,op:flip1,pos:99,+cov;2019-10-29 12:50:05.326783895;648;254;293
id:000064,src:000000,op:flip1,pos:99;2019-10-29 12:50:05.330783844;648;212;293
id:000065,src:000000,op:flip1,pos:100;2019-10-29 12:50:05.730780840;648;255;293
id:000066,src:000000,op:flip1,pos:109,+cov;2019-10-29 12:50:08.302761316;649;249;294
id:000067,src:000000,op:flip1,pos:109;2019-10-29 12:50:08.310761213;649;212;294
id:000068,src:000000,op:flip1,pos:118,+cov;2019-10-29 12:50:10.790742159;651;254;296
id:000069,src:000000,op:flip1,pos:119;2019-10-29 12:50:11.198739052;651;254;296
id:000070,src:000000,op:flip1,pos:127;2019-10-29 12:50:13.382722378;651;212;296
id:000071,src:000000,op:flip1,pos:128;2019-10-29 12:50:13.814719200;651;263;296
id:000072,src:000000,op:flip1,pos:128,+cov;2019-10-29 12:50:13.818719149;652;263;297
