filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:ducks.gif;2019-10-24 19:32:19.065919399;352;352;0
id:000000,orig:ducks.png;2019-11-06 11:46:15.690290928;355;22;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-11-02 17:10:00.863509893;355;22;0
id:000002,src:000000,op:flip1,pos:3,+cov;2019-11-02 17:10:01.095508099;380;374;25
id:000002,src:000000,op:flip1,pos:3,+cov.png;2019-11-06 11:46:15.718290567;380;22;25
id:000003,src:000000,op:flip1,pos:10,+cov;2019-11-02 17:10:02.479497194;421;69;66
id:000004,src:000000,op:flip1,pos:10,+cov;2019-11-02 17:10:02.583496332;422;46;67
id:000005,src:000000,op:flip1,pos:10,+cov;2019-11-02 17:10:02.587496281;436;75;81
id:000006,src:000000,op:flip1,pos:10,+cov;2019-11-02 17:10:02.587496281;437;72;82
id:000007,src:000000,op:flip1,pos:11,+cov;2019-11-02 17:10:02.815494537;444;358;89
id:000007,src:000000,op:flip1,pos:11,+cov.png;2019-11-06 11:46:15.758290291;444;22;89
id:000008,src:000000,op:flip1,pos:11;2019-11-02 17:10:03.115492344;444;356;89
id:000008,src:000000,op:flip1,pos:11.png;2019-11-06 11:46:15.782289982;444;22;89
id:000009,src:000000,op:flip1,pos:11,+cov;2019-11-02 17:10:03.367490292;446;373;91
id:000009,src:000000,op:flip1,pos:11,+cov.png;2019-11-06 11:46:15.806289673;446;22;91
id:000010,src:000000,op:flip1,pos:12,+cov;2019-11-02 17:10:03.619488239;449;378;94
id:000010,src:000000,op:flip1,pos:12,+cov.png;2019-11-06 11:46:15.834289551;449;22;94
id:000011,src:000000,op:flip1,pos:13;2019-11-02 17:10:04.019485235;449;370;94
id:000011,src:000000,op:flip1,pos:13.png;2019-11-06 11:46:15.858289242;449;22;94
id:000012,src:000000,op:flip1,pos:62,+cov;2019-11-02 17:10:13.663409948;457;75;102
id:000013,src:000000,op:flip1,pos:62,+cov;2019-11-02 17:10:13.667409897;460;76;105
id:000014,src:000000,op:flip1,pos:63,+cov;2019-11-02 17:10:13.671409845;461;80;106
id:000015,src:000000,op:flip1,pos:63;2019-11-02 17:10:13.671409845;461;80;106
id:000016,src:000000,op:flip1,pos:63;2019-11-02 17:10:13.675409794;461;80;106
id:000017,src:000000,op:flip1,pos:63;2019-11-02 17:10:13.679409742;461;80;106
id:000018,src:000000,op:flip1,pos:64,+cov;2019-11-02 17:10:13.979407310;482;389;127
id:000018,src:000000,op:flip1,pos:64,+cov.png;2019-11-06 11:46:15.902288675;482;22;127
id:000019,src:000000,op:flip1,pos:64,+cov;2019-11-02 17:10:14.279405117;486;379;131
id:000019,src:000000,op:flip1,pos:64,+cov.png;2019-11-06 11:46:15.926288605;486;22;131
id:000020,src:000000,op:flip1,pos:65,+cov;2019-11-02 17:10:14.503403425;487;390;132
id:000020,src:000000,op:flip1,pos:65,+cov.png;2019-11-06 11:46:15.950288296;487;22;132
id:000021,src:000000,op:flip1,pos:68;2019-11-02 17:10:15.083398819;487;80;132
id:000022,src:000000,op:flip1,pos:68;2019-11-02 17:10:15.087398767;487;80;132
id:000023,src:000000,op:flip1,pos:68;2019-11-02 17:10:15.091398716;487;80;132
id:000024,src:000000,op:flip1,pos:70,+cov;2019-11-02 17:10:15.319396973;489;377;134
id:000024,src:000000,op:flip1,pos:70,+cov.png;2019-11-06 11:46:15.986287832;489;22;134
id:000025,src:000000,op:flip1,pos:74;2019-11-02 17:10:16.319389105;489;369;134
id:000025,src:000000,op:flip1,pos:74.png;2019-11-06 11:46:16.010287762;489;22;134
id:000026,src:000000,op:flip1,pos:74,+cov;2019-11-02 17:10:16.523387432;501;213;146
id:000027,src:000000,op:flip1,pos:74,+cov;2019-11-02 17:10:16.819385290;503;201;148
id:000028,src:000000,op:flip1,pos:74,+cov;2019-11-02 17:10:17.023383617;504;195;149
id:000029,src:000000,op:flip1,pos:75;2019-11-02 17:10:17.227381945;504;213;149
id:000030,src:000000,op:flip1,pos:75;2019-11-02 17:10:17.431380510;504;213;149
id:000031,src:000000,op:flip1,pos:75;2019-11-02 17:10:17.639378786;504;213;149
id:000032,src:000000,op:flip1,pos:75;2019-11-02 17:10:17.887376785;504;213;149
id:000033,src:000000,op:flip1,pos:75,+cov;2019-11-02 17:10:18.083375216;506;371;151
id:000033,src:000000,op:flip1,pos:75,+cov.png;2019-11-06 11:46:16.194285870;506;22;151
id:000034,src:000000,op:flip1,pos:75,+cov;2019-11-02 17:10:18.287373781;507;213;152
id:000035,src:000000,op:flip1,pos:76;2019-11-02 17:10:18.531371832;507;373;152
id:000035,src:000000,op:flip1,pos:76.png;2019-11-06 11:46:16.242285490;507;22;152
id:000036,src:000000,op:flip1,pos:77;2019-11-02 17:10:19.031368016;507;370;152
id:000036,src:000000,op:flip1,pos:77.png;2019-11-06 11:46:16.266285180;507;22;152
id:000037,src:000000,op:flip1,pos:78,+cov;2019-11-02 17:10:19.035367966;551;155;196
id:000038,src:000000,op:flip1,pos:78,+cov;2019-11-02 17:10:19.267366171;562;386;207
