filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:ducks.gif;2019-10-24 19:32:29.333825111;352;352;0
id:000000,orig:ducks.png;2019-11-06 11:46:35.590095043;355;22;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-24 19:35:01.164429903;355;22;0
id:000002,src:000001,op:flip1,pos:0,+cov;2019-10-24 19:35:01.164429903;357;25;2
id:000003,src:000000,op:havoc,rep:8,+cov;2019-10-24 19:36:14.119759560;395;225;40
id:000004,src:000000,op:havoc,rep:8,+cov;2019-10-24 19:35:01.376427889;457;432;102
id:000004,src:000000,op:havoc,rep:8,+cov.png;2019-11-06 11:46:35.622094870;457;22;102
id:000005,src:000000,op:havoc,rep:64,+cov;2019-10-24 19:35:15.392299175;458;223;103
id:000006,src:000000,op:havoc,rep:128,+cov;2019-10-24 19:35:57.995907784;459;252;104
id:000007,src:000000,op:havoc,rep:64;2019-10-24 19:35:15.532297849;459;222;104
id:000008,src:000000,op:havoc,rep:32;2019-10-24 19:37:34.995019197;459;225;104
id:000009,src:000000,op:havoc,rep:128,+cov;2019-10-24 19:35:16.316290617;464;267;109
id:000010,src:000000,op:havoc,rep:16,+cov;2019-10-24 19:37:08.015266180;466;243;111
id:000011,src:000000,op:havoc,rep:4;2019-10-24 19:36:15.383748055;466;231;111
id:000012,src:000000,op:havoc,rep:128;2019-10-24 19:38:16.066642999;466;255;111
id:000013,src:000000,op:havoc,rep:32,+cov;2019-10-24 19:35:17.208282471;467;214;112
id:000014,src:000000,op:havoc,rep:64;2019-10-24 19:36:15.619745970;467;223;112
id:000015,src:000000,op:havoc,rep:8,+cov;2019-10-24 19:37:19.783158541;468;218;113
id:000016,src:000000,op:havoc,rep:4;2019-10-24 19:38:30.974506617;468;223;113
id:000017,src:000000,op:havoc,rep:2;2019-10-24 19:36:26.899642706;468;253;113
id:000018,src:000000,op:havoc,rep:128;2019-10-24 19:38:05.154742956;468;224;113
id:000019,src:000000,op:havoc,rep:16;2019-10-24 19:35:17.668278217;468;242;113
id:000020,src:000000,op:havoc,rep:16;2019-10-24 19:37:21.907139063;468;221;113
id:000021,src:000000,op:havoc,rep:16;2019-10-24 19:37:35.099018335;468;255;113
id:000022,src:000000,op:havoc,rep:32;2019-10-24 19:36:28.275629997;468;239;113
