filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:15dfc433a135a658b9f4b1a861b5cdd9658ccbb9.ttf;2019-10-23 18:49:56.328028440;2673;2673;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-23 19:19:29.907649040;3006;1871;333
id:000002,src:000000,op:flip1,pos:0,+cov;2019-10-23 19:16:30.261276960;3011;1871;338
id:000003,src:000000,op:flip1,pos:4,+cov;2019-10-23 19:19:52.767476082;3017;1877;344
id:000004,src:000000,op:flip1,pos:4,+cov;2019-10-23 19:16:30.293276787;3024;1880;351
id:000005,src:000000,op:flip1,pos:5;2019-10-23 19:16:30.297276735;3024;1880;351
id:000006,src:000000,op:flip1,pos:5,+cov;2019-10-23 19:16:30.301276684;3025;2674;352
id:000007,src:000000,op:flip1,pos:5,+cov;2019-10-23 19:16:30.309276819;3026;2670;353
id:000008,src:000000,op:flip1,pos:12,+cov;2019-10-23 19:16:30.345276594;3030;2663;357
id:000009,src:000000,op:flip1,pos:12;2019-10-23 19:16:30.353276491;3030;2664;357
id:000010,src:000000,op:flip1,pos:13;2019-10-23 19:16:30.361276388;3030;2664;357
id:000011,src:000000,op:flip1,pos:13;2019-10-23 19:16:30.369276524;3030;2664;357
id:000012,src:000000,op:flip1,pos:20,+cov;2019-10-23 19:16:30.405276299;3032;2663;359
id:000013,src:000000,op:flip1,pos:22,+cov;2019-10-23 19:16:30.421276093;3039;2669;366
id:000014,src:000000,op:flip1,pos:27,+cov;2019-10-23 19:16:30.449275970;3064;2707;391
id:000015,src:000000,op:flip1,pos:27,+cov;2019-10-23 19:16:30.457275867;3070;2693;397
id:000016,src:000000,op:flip1,pos:27,+cov;2019-10-23 19:16:30.461275816;3071;2694;398
id:000017,src:000000,op:flip1,pos:27,+cov;2019-10-23 19:16:30.469275951;3072;2696;399
id:000018,src:000000,op:flip1,pos:28,+cov;2019-10-23 19:16:30.473275900;3082;2570;409
id:000019,src:000000,op:flip1,pos:28;2019-10-23 19:16:30.477275848;3082;2571;409
id:000020,src:000000,op:flip1,pos:28;2019-10-23 19:16:30.485275745;3082;2571;409
id:000021,src:000000,op:flip1,pos:29;2019-10-23 19:16:30.489275694;3082;2571;409
id:000022,src:000000,op:flip1,pos:38,+cov;2019-10-23 19:16:30.529275656;3089;2577;416
id:000023,src:000000,op:flip1,pos:39,+cov;2019-10-23 19:16:30.533275603;3090;2576;417
id:000024,src:000000,op:flip1,pos:39,+cov;2019-10-23 19:16:30.537275553;3118;2614;445
id:000025,src:000000,op:flip1,pos:43,+cov;2019-10-23 19:16:30.557275295;3134;2471;461
id:000026,src:000000,op:flip1,pos:43,+cov;2019-10-23 19:16:30.561275482;3150;2651;477
id:000027,src:000000,op:flip1,pos:43,+cov;2019-10-23 19:16:30.565275431;3154;2664;481
id:000028,src:000000,op:flip1,pos:43,+cov;2019-10-23 19:16:30.569275379;3155;2704;482
id:000029,src:000000,op:flip1,pos:44;2019-10-23 19:16:30.577275276;3155;2500;482
id:000030,src:000000,op:flip1,pos:44;2019-10-23 19:16:30.581275225;3155;2500;482
id:000031,src:000000,op:flip1,pos:54,+cov;2019-10-23 19:16:30.621274948;3159;2503;486
id:000032,src:000000,op:flip1,pos:55,+cov;2019-10-23 19:16:30.625274897;3172;2534;499
id:000033,src:000000,op:flip1,pos:58,+cov;2019-10-23 19:30:59.301888943;3180;2528;507
id:000034,src:000000,op:flip1,pos:59,+cov;2019-10-23 19:16:30.649274826;3204;2643;531
id:000035,src:000000,op:flip1,pos:60;2019-10-23 19:16:30.657274723;3204;2669;531
id:000036,src:000000,op:flip1,pos:75,+cov;2019-10-23 19:16:30.737274408;3207;2673;534
id:000037,src:000000,op:flip1,pos:76;2019-10-23 19:16:30.749274254;3207;2515;534
id:000038,src:000000,op:flip1,pos:86,+cov;2019-10-23 19:16:30.805274010;3211;2518;538
id:000039,src:000000,op:flip1,pos:87,+cov;2019-10-23 19:16:30.813273907;3212;2525;539
id:000040,src:000000,op:flip1,pos:87,+cov;2019-10-23 19:16:30.817273855;3224;2579;551
id:000041,src:000000,op:flip1,pos:91,+cov;2019-10-23 19:16:30.841273785;3345;2788;672
id:000042,src:000000,op:flip1,pos:108;2019-10-23 19:16:30.929273367;3345;2673;672
id:000043,src:000000,op:flip1,pos:124;2019-10-23 19:16:31.013272762;3345;2672;672
id:000044,src:000000,op:flip1,pos:140;2019-10-23 19:16:31.093272448;3345;2666;672
id:000045,src:000000,op:flip1,pos:148;2019-10-23 19:16:31.141272068;3345;2667;672
id:000046,src:000000,op:flip1,pos:150,+cov;2019-10-23 19:16:31.157272100;3350;2672;677
id:000047,src:000000,op:flip1,pos:155,+cov;2019-10-23 19:16:31.185271978;3352;2669;679
id:000048,src:000000,op:flip1,pos:166,+cov;2019-10-23 19:16:31.233271599;3355;2674;682
id:000049,src:000000,op:flip1,pos:171,+cov;2019-10-23 19:16:31.253271580;3356;2673;683
id:000050,src:000000,op:flip1,pos:172,+cov;2019-10-23 19:16:31.261271476;3358;2675;685
id:000051,src:000000,op:flip1,pos:183,+cov;2019-10-23 19:16:31.305271387;3360;2675;687
id:000052,src:000000,op:flip1,pos:183;2019-10-23 19:16:31.309271336;3360;2675;687
id:000053,src:000000,op:flip1,pos:188;2019-10-23 19:16:31.329271078;3360;2703;687
id:000054,src:000000,op:flip1,pos:198,+cov;2019-10-23 19:16:31.385270834;3361;2707;688
id:000055,src:000000,op:flip1,pos:198,+cov;2019-10-23 19:16:31.389270782;3362;2706;689
id:000056,src:000000,op:flip1,pos:198,+cov;2019-10-23 19:16:31.397270679;3366;2675;693
id:000057,src:000000,op:flip1,pos:3208,+cov;2019-10-23 19:16:43.981201887;3368;2671;695
id:000058,src:000000,op:flip1,pos:3246,+cov;2019-10-23 19:16:44.117201090;3372;2687;699
id:000059,src:000000,op:flip1,pos:3247,+cov;2019-10-23 19:16:44.129201174;3373;2674;700
id:000060,src:000000,op:flip1,pos:3248,+cov;2019-10-23 19:16:44.133201122;3374;2686;701
id:000061,src:000000,op:flip1,pos:3260;2019-10-23 19:16:44.181200743;3374;2675;701
id:000062,src:000000,op:flip1,pos:3571,+cov;2019-10-23 19:16:45.329194546;3377;2603;704
id:000063,src:000000,op:flip1,pos:3571,+cov;2019-10-23 19:16:45.333194494;3378;2523;705
id:000064,src:000000,op:flip1,pos:3571,+cov;2019-10-23 19:16:45.337194443;3391;2648;718
id:000065,src:000000,op:flip1,pos:3572,+cov;2019-10-23 19:16:45.341194391;3392;2671;719
id:000066,src:000000,op:flip1,pos:3576,+cov;2019-10-23 19:16:45.357194424;3393;2536;720
id:000067,src:000000,op:flip1,pos:3579,+cov;2019-10-23 19:16:45.373194218;3406;2753;733
id:000068,src:000000,op:flip1,pos:3579;2019-10-23 19:16:45.377194166;3406;2674;733
id:000069,src:000000,op:flip1,pos:3579,+cov;2019-10-23 19:16:45.381194353;3407;2674;734
id:000070,src:000000,op:flip1,pos:3580,+cov;2019-10-23 19:16:45.389194250;3408;2671;735
id:000071,src:000000,op:flip1,pos:3583,+cov;2019-10-23 19:16:45.405194044;3418;2675;745
id:000072,src:000000,op:flip1,pos:3584;2019-10-23 19:16:45.409193993;3418;2566;745
id:000073,src:000000,op:flip1,pos:3587;2019-10-23 19:16:45.425194025;3418;2674;745
id:000074,src:000000,op:flip1,pos:3587;2019-10-23 19:16:45.429193974;3418;2762;745
id:000075,src:000000,op:flip1,pos:3588,+cov;2019-10-23 19:16:45.433193922;3419;2671;746
id:000076,src:000000,op:flip1,pos:3592;2019-10-23 19:16:45.453193903;3419;2594;746
id:000077,src:000000,op:flip1,pos:3595,+cov;2019-10-23 19:16:45.473193645;3425;2754;752
id:000078,src:000000,op:flip1,pos:3596,+cov;2019-10-23 19:16:45.477193832;3431;2695;758
id:000079,src:000000,op:flip1,pos:3598,+cov;2019-10-23 19:16:45.489193678;3433;2697;760
id:000080,src:000000,op:flip1,pos:3600;2019-10-23 19:16:45.501193523;3433;2602;760
id:000081,src:000000,op:flip1,pos:3603;2019-10-23 19:16:45.513193607;3433;2636;760
id:000082,src:000000,op:flip1,pos:3603;2019-10-23 19:16:45.517193556;3433;2787;760
id:000083,src:000000,op:flip1,pos:3603,+cov;2019-10-23 19:16:45.521193504;3434;2635;761
id:000084,src:000000,op:flip1,pos:3604;2019-10-23 19:16:45.529193401;3434;2667;761
id:000085,src:000000,op:flip1,pos:3605,+cov;2019-10-23 19:16:45.537193298;3436;2740;763
id:000086,src:000000,op:flip1,pos:3605;2019-10-23 19:16:45.545193434;3436;2742;763
id:000087,src:000000,op:flip1,pos:3605,+cov;2019-10-23 19:16:45.549193382;3445;2675;772
id:000088,src:000000,op:flip1,pos:3605;2019-10-23 19:16:45.553193331;3445;2667;772
id:000089,src:000000,op:flip1,pos:3606,+cov;2019-10-23 19:16:45.557193279;3449;2760;776
id:000090,src:000000,op:flip1,pos:3661;2019-10-23 19:16:45.793191910;3449;2778;776
id:000091,src:000000,op:flip1,pos:3661,+cov;2019-10-23 19:16:45.801192045;3460;2788;787
id:000092,src:000000,op:flip1,pos:3661,+cov;2019-10-23 19:16:45.805191994;3472;2677;799
id:000093,src:000000,op:flip1,pos:3672,+cov;2019-10-23 19:16:45.849191666;3473;2784;800
id:000094,src:000000,op:flip1,pos:3675,+cov;2019-10-23 19:16:45.865191698;3474;2633;801
id:000095,src:000000,op:flip1,pos:3676;2019-10-23 19:16:45.869191647;3474;2673;801
id:000096,src:000000,op:flip1,pos:3680;2019-10-23 19:16:45.889191389;3474;2673;801
id:000097,src:000000,op:flip1,pos:3683;2019-10-23 19:16:45.905191422;3474;2673;801
id:000098,src:000000,op:flip1,pos:3688;2019-10-23 19:16:45.925191164;3474;2637;801
id:000099,src:000000,op:flip1,pos:3690;2019-10-23 19:16:45.933191299;3474;2638;801
id:000100,src:000000,op:flip1,pos:3690;2019-10-23 19:16:45.941191196;3474;2639;801
id:000101,src:000000,op:flip1,pos:3690;2019-10-23 19:16:45.945191145;3474;2639;801
id:000102,src:000000,op:flip1,pos:3691;2019-10-23 19:16:45.949191093;3474;2639;801
id:000103,src:000000,op:flip1,pos:3691,+cov;2019-10-23 19:16:45.953191042;3581;2784;908
id:000104,src:000000,op:flip1,pos:3691;2019-10-23 19:16:45.957190990;3581;2674;908
id:000105,src:000000,op:flip1,pos:3691;2019-10-23 19:16:45.961191177;3581;2673;908
id:000106,src:000000,op:flip1,pos:3692,+cov;2019-10-23 19:16:45.965191126;3591;2782;918
id:000107,src:000000,op:flip1,pos:3694;2019-10-23 19:16:45.977190971;3591;2794;918
id:000108,src:000000,op:flip1,pos:3694;2019-10-23 19:16:45.981190920;3591;2792;918
id:000109,src:000000,op:flip1,pos:3695;2019-10-23 19:16:45.989190817;3591;2673;918
id:000110,src:000000,op:flip1,pos:3696;2019-10-23 19:16:45.993191004;3591;2670;918
id:000111,src:000000,op:flip1,pos:3698,+cov;2019-10-23 19:16:46.005190849;3593;2650;920
id:000112,src:000000,op:flip1,pos:3699;2019-10-23 19:16:46.013190746;3593;2757;920
id:000113,src:000000,op:flip1,pos:3702,+cov;2019-10-23 19:16:46.029190779;3597;2676;924
id:000114,src:000000,op:flip1,pos:3704;2019-10-23 19:16:46.037190676;3597;2710;924
id:000115,src:000000,op:flip1,pos:3706;2019-10-23 19:16:46.049190521;3597;2714;924
id:000116,src:000000,op:flip1,pos:3716;2019-10-23 19:16:46.089190483;3597;2716;924
id:000117,src:000000,op:flip1,pos:4406,+cov;2019-10-23 19:16:48.885162354;3621;2714;948
id:000118,src:000000,op:flip1,pos:4407,+cov;2019-10-23 19:16:48.897162199;3623;2689;950
id:000119,src:000000,op:flip1,pos:4408;2019-10-23 19:16:48.901162148;3623;2673;950
id:000120,src:000000,op:flip1,pos:4409,+cov;2019-10-23 19:16:48.909162045;3624;2663;951
id:000121,src:000000,op:flip1,pos:4409;2019-10-23 19:16:48.913161993;3624;2714;951
id:000122,src:000000,op:flip1,pos:4410,+cov;2019-10-23 19:16:48.917161942;3629;2680;956
id:000123,src:000000,op:flip1,pos:4411,+cov;2019-10-23 19:16:48.925161839;3642;2708;969
id:000124,src:000000,op:flip1,pos:4411,+cov;2019-10-23 19:16:48.929161787;3643;2708;970
id:000125,src:000000,op:flip1,pos:4411,+cov;2019-10-23 19:16:48.933161736;3681;2760;1008
id:000126,src:000000,op:flip1,pos:4411,+cov;2019-10-23 19:16:48.937161684;3682;2735;1009
id:000127,src:000000,op:flip1,pos:4411;2019-10-23 19:16:48.941161633;3682;2704;1009
id:000128,src:000000,op:flip1,pos:4412,+cov;2019-10-23 19:16:48.945161819;3687;2686;1014
id:000129,src:000000,op:flip1,pos:4413,+cov;2019-10-23 19:16:48.957161665;3698;2706;1025
id:000130,src:000000,op:flip1,pos:4413,+cov;2019-10-23 19:16:48.961161613;3701;2713;1028
id:000131,src:000000,op:flip1,pos:4413,+cov;2019-10-23 19:16:48.965161562;3703;2731;1030
id:000132,src:000000,op:flip1,pos:4413,+cov;2019-10-23 19:16:48.969161510;3758;2752;1085
id:000133,src:000000,op:flip1,pos:4413;2019-10-23 19:16:48.973161459;3758;2703;1085
id:000134,src:000000,op:flip1,pos:4419,+cov;2019-10-23 19:16:48.997161150;3759;2663;1086
id:000135,src:000000,op:flip1,pos:4421;2019-10-23 19:16:49.005161047;3759;2670;1086
id:000136,src:000000,op:flip1,pos:4424,+cov;2019-10-23 19:16:49.017160892;3761;2674;1088
id:000137,src:000000,op:flip1,pos:4425,+cov;2019-10-23 19:16:49.029160738;3776;2686;1103
id:000138,src:000000,op:flip1,pos:4438;2019-10-23 19:16:49.073160172;3776;2585;1103
id:000139,src:000000,op:flip1,pos:4441,+cov;2019-10-23 19:16:49.089159966;3783;2638;1110
id:000140,src:000000,op:flip1,pos:4441,+cov;2019-10-23 19:16:49.093159914;3812;2650;1139
id:000141,src:000000,op:flip1,pos:4441;2019-10-23 19:16:49.097159863;3812;2663;1139
id:000142,src:000000,op:flip1,pos:4441,+cov;2019-10-23 19:16:49.101159811;3813;2635;1140
id:000143,src:000000,op:flip1,pos:4442,+cov;2019-10-23 19:16:49.109159708;3814;2576;1141
id:000144,src:000000,op:flip1,pos:4443,+cov;2019-10-23 19:16:49.113159657;3822;2633;1149
id:000145,src:000000,op:flip1,pos:4443,+cov;2019-10-23 19:16:49.121159554;3826;2635;1153
id:000146,src:000000,op:flip1,pos:4443,+cov;2019-10-23 19:16:49.125159502;3828;2608;1155
id:000147,src:000000,op:flip1,pos:4444,+cov;2019-10-23 19:16:49.129159451;3829;2576;1156
id:000148,src:000000,op:flip1,pos:4445,+cov;2019-10-23 19:16:49.137159348;3831;2469;1158
id:000149,src:000000,op:flip1,pos:4445;2019-10-23 19:16:49.141159296;3831;2468;1158
id:000150,src:000000,op:flip1,pos:4445,+cov;2019-10-23 19:16:49.145159245;3843;2550;1170
id:000151,src:000000,op:flip1,pos:4445,+cov;2019-10-23 19:16:49.149159193;3848;2604;1175
id:000152,src:000000,op:flip1,pos:4445;2019-10-23 19:16:49.153159142;3848;2469;1175
id:000153,src:000000,op:flip1,pos:4445,+cov;2019-10-23 19:16:49.157159090;3849;2599;1176
id:000154,src:000000,op:flip1,pos:4447;2019-10-23 19:16:49.165158987;3849;2664;1176
id:000155,src:000000,op:flip1,pos:4447;2019-10-23 19:16:49.169158936;3849;2677;1176
id:000156,src:000000,op:flip1,pos:4447;2019-10-23 19:16:49.173158884;3849;2677;1176
id:000157,src:000000,op:flip1,pos:4453,+cov;2019-10-23 19:16:49.197158575;3866;2759;1193
id:000158,src:000000,op:flip1,pos:4453;2019-10-23 19:16:49.201158524;3866;2681;1193
id:000159,src:000000,op:flip1,pos:4453;2019-10-23 19:16:49.205158710;3866;2699;1193
id:000160,src:000000,op:flip1,pos:4454,+cov;2019-10-23 19:16:49.213158607;3868;2679;1195
id:000161,src:000000,op:flip1,pos:4460,+cov;2019-10-23 19:16:49.237158298;3870;2680;1197
id:000162,src:000000,op:flip1,pos:4460;2019-10-23 19:16:49.241158247;3870;2679;1197
id:000163,src:000000,op:flip1,pos:4465,+cov;2019-10-23 19:16:49.261157990;3881;2668;1208
id:000164,src:000000,op:flip1,pos:4465;2019-10-23 19:16:49.265157937;3881;2618;1208
id:000165,src:000000,op:flip1,pos:4465,+cov;2019-10-23 19:16:49.269157887;3882;2635;1209
id:000166,src:000000,op:flip1,pos:4465,+cov;2019-10-23 19:16:49.273157835;3892;2616;1219
id:000167,src:000000,op:flip1,pos:4466;2019-10-23 19:16:49.277157784;3892;2637;1219
id:000168,src:000000,op:flip1,pos:4467,+cov;2019-10-23 19:16:49.285157681;3894;2680;1221
id:000169,src:000000,op:flip1,pos:4467,+cov;2019-10-23 19:16:49.289157629;3899;2687;1226
id:000170,src:000000,op:flip1,pos:4467,+cov;2019-10-23 19:16:49.293157578;3903;2629;1230
id:000171,src:000000,op:flip1,pos:4468;2019-10-23 19:16:49.301157475;3903;2637;1230
id:000172,src:000000,op:flip1,pos:4469,+cov;2019-10-23 19:16:49.309157372;3905;2633;1232
id:000173,src:000000,op:flip1,pos:4469,+cov;2019-10-23 19:16:49.313157320;3910;2668;1237
id:000174,src:000000,op:flip1,pos:4469;2019-10-23 19:16:49.317157269;3910;2664;1237
id:000175,src:000000,op:flip1,pos:4469;2019-10-23 19:16:49.321157217;3910;2654;1237
id:000176,src:000000,op:flip1,pos:4475;2019-10-23 19:16:49.345156908;3910;2676;1237
id:000177,src:000000,op:flip1,pos:4475;2019-10-23 19:16:49.349156857;3910;2676;1237
id:000178,src:000000,op:flip1,pos:4475;2019-10-23 19:16:49.353156805;3910;2668;1237
id:000179,src:000000,op:flip1,pos:4481,+cov;2019-10-23 19:16:49.381156445;3918;2602;1245
