filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:15dfc433a135a658b9f4b1a861b5cdd9658ccbb9.ttf;2019-10-23 19:12:38.527033329;2673;2673;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-23 19:14:05.210167885;3006;1871;333
id:000002,src:000000,op:flip1,pos:0,+cov;2019-10-23 19:14:05.398166418;3011;1871;338
id:000003,src:000001,op:flip1,pos:0,+cov;2019-10-23 19:14:05.214167833;3013;1888;340
id:000004,src:000000,op:havoc,rep:2,+cov;2019-10-23 19:14:05.558165073;3051;2621;378
id:000005,src:000000,op:havoc,rep:8;2019-10-23 19:14:06.070161343;3051;2673;378
id:000006,src:000000,op:havoc,rep:8,+cov;2019-10-23 19:14:07.082153797;3106;1989;433
id:000007,src:000000,op:havoc,rep:2,+cov;2019-10-23 19:14:07.590150118;3139;1997;466
id:000008,src:000000,op:havoc,rep:4,+cov;2019-10-23 19:14:08.062146664;3173;1996;500
id:000009,src:000000,op:havoc,rep:32,+cov;2019-10-23 19:14:08.542143106;3176;1954;503
id:000010,src:000000,op:havoc,rep:128,+cov;2019-10-23 19:14:09.014139652;3180;1976;507
id:000011,src:000000,op:havoc,rep:64,+cov;2019-10-23 19:14:09.526135920;3201;2020;528
id:000012,src:000001,op:havoc,rep:64;2019-10-23 19:14:28.985998631;3201;1871;528
id:000013,src:000001,op:havoc,rep:32,+cov;2019-10-23 19:14:09.718134403;3212;1868;539
id:000014,src:000001,op:havoc,rep:4,+cov;2019-10-23 19:14:10.378129482;3586;2188;913
id:000015,src:000001,op:havoc,rep:128,+cov;2019-10-23 19:14:10.490128756;3590;1867;917
id:000016,src:000001,op:havoc,rep:128,+cov;2019-10-23 19:14:09.550135612;3591;1728;918
id:000017,src:000001,op:havoc,rep:16,+cov;2019-10-23 19:14:11.282123089;3593;1873;920
id:000018,src:000001,op:havoc,rep:16;2019-10-23 19:14:24.570028782;3593;1871;920
id:000019,src:000001,op:havoc,rep:32,+cov;2019-10-23 19:14:11.422122002;3626;1904;953
id:000020,src:000001,op:havoc,rep:32;2019-10-23 19:14:11.554121017;3626;1734;953
id:000021,src:000001,op:havoc,rep:128,+cov;2019-10-23 19:14:11.662120342;3642;1731;969
id:000022,src:000013,op:flip1,pos:0,+cov;2019-10-23 19:14:09.722134352;3648;1874;975
id:000023,src:000004,op:havoc,rep:8,+cov;2019-10-23 19:14:12.298115730;3650;1928;977
id:000024,src:000005,op:havoc,rep:32;2019-10-23 19:14:35.229956627;3650;1871;977
id:000025,src:000006,op:havoc,rep:64,+cov;2019-10-23 19:14:12.802111864;3651;1949;978
id:000026,src:000004,op:havoc,rep:4,+cov;2019-10-23 19:14:12.810112;3652;2582;979
id:000027,src:000007,op:havoc,rep:128;2019-10-23 19:14:13.774104834;3652;1932;979
