filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:ShowText-ShadingPattern.pdf;2019-10-25 19:51:28.712307453;2255;2255;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-30 13:00:48.451429844;3077;2763;822
id:000002,src:000000,op:flip1,pos:0,+cov;2019-10-30 13:00:48.459429741;3080;2758;825
id:000003,src:000000,op:flip1,pos:0,+cov;2019-10-30 13:00:48.467429638;3089;2767;834
id:000004,src:000000,op:flip1,pos:0,+cov;2019-10-30 13:06:26.112298012;3098;2765;843
id:000005,src:000000,op:flip1,pos:0,+cov;2019-10-30 13:00:48.487429380;3099;2758;844
id:000006,src:000000,op:flip1,pos:1,+cov;2019-10-30 13:00:48.499429226;3105;2767;850
id:000007,src:000000,op:flip1,pos:1,+cov;2019-10-30 13:00:48.507429123;3106;2762;851
id:000008,src:000000,op:flip1,pos:1,+cov;2019-10-30 13:00:48.519429206;3108;2762;853
id:000009,src:000000,op:flip1,pos:3;2019-10-30 13:00:48.535429001;3108;2766;853
id:000010,src:000000,op:flip1,pos:4,+cov;2019-10-30 13:00:48.551428795;3111;2739;856
id:000011,src:000000,op:flip1,pos:4,+cov;2019-10-30 13:00:48.563428640;3116;2731;861
id:000012,src:000000,op:flip1,pos:5,+cov;2019-10-30 13:00:48.575428486;3139;2262;884
id:000013,src:000000,op:flip1,pos:5;2019-10-30 13:00:48.583428621;3139;2274;884
id:000014,src:000000,op:flip1,pos:5,+cov;2019-10-30 13:00:48.591428518;3141;2274;886
id:000015,src:000000,op:flip1,pos:5;2019-10-30 13:00:48.595428467;3141;2273;886
id:000016,src:000000,op:flip1,pos:7,+cov;2019-10-30 13:00:48.611428261;3142;2252;887
id:000017,src:000000,op:flip1,pos:7,+cov;2019-10-30 13:00:48.619428158;3145;2257;890
id:000018,src:000000,op:flip1,pos:8,+cov;2019-10-30 13:00:48.627428055;3146;2256;891
id:000019,src:000000,op:flip1,pos:553,+cov;2019-10-30 13:00:51.819398403;3221;3003;966
id:000020,src:000000,op:flip1,pos:553,+cov;2019-10-30 13:00:51.827398300;3222;2997;967
id:000021,src:000000,op:flip1,pos:553,+cov;2019-10-30 13:00:51.835398436;3225;3004;970
id:000022,src:000000,op:flip1,pos:553,+cov;2019-10-30 13:00:51.843398333;3228;2977;973
id:000023,src:000000,op:flip1,pos:553;2019-10-30 13:00:51.851398230;3228;2976;973
id:000024,src:000000,op:flip1,pos:553;2019-10-30 13:00:51.859398127;3228;2979;973
id:000025,src:000000,op:flip1,pos:554,+cov;2019-10-30 13:00:51.867398024;3233;2996;978
id:000026,src:000000,op:flip1,pos:554,+cov;2019-10-30 13:00:51.879397869;3237;3000;982
id:000027,src:000000,op:flip1,pos:554,+cov;2019-10-30 13:00:51.887397766;3261;3008;1006
id:000028,src:000000,op:flip1,pos:555,+cov;2019-10-30 13:00:51.899397850;3262;2997;1007
id:000029,src:000000,op:flip1,pos:555,+cov;2019-10-30 13:00:51.907397747;3266;3008;1011
id:000030,src:000000,op:flip1,pos:555,+cov;2019-10-30 13:00:51.915397644;3268;2998;1013
id:000031,src:000000,op:flip1,pos:556,+cov;2019-10-30 13:00:51.927397490;3274;2996;1019
id:000032,src:000000,op:flip1,pos:556;2019-10-30 13:00:51.939397335;3274;3008;1019
id:000033,src:000000,op:flip1,pos:557,+cov;2019-10-30 13:00:51.951397181;3275;3003;1020
id:000034,src:000000,op:flip1,pos:557,+cov;2019-10-30 13:00:51.959397078;3276;2996;1021
