filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:ShowText-ShadingPattern.pdf;2019-10-25 19:51:34.224256754;2255;2255;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-25 19:52:23.063806534;3077;2763;822
id:000002,src:000000,op:flip1,pos:0,+cov;2019-10-25 19:52:23.071806431;3080;2758;825
id:000003,src:000000,op:flip1,pos:0,+cov;2019-10-25 19:52:23.083806276;3089;2767;834
id:000004,src:000000,op:flip1,pos:0,+cov;2019-10-25 19:55:52.125879765;3098;2765;843
id:000005,src:000000,op:flip1,pos:0,+cov;2019-10-25 19:52:23.099806070;3099;2758;844
id:000006,src:000000,op:flip1,pos:1,+cov;2019-10-25 19:52:23.111805916;3105;2767;850
id:000007,src:000000,op:flip1,pos:1,+cov;2019-10-25 19:52:23.119806051;3106;2762;851
id:000008,src:000000,op:flip1,pos:1,+cov;2019-10-25 19:52:23.131805897;3108;2762;853
id:000009,src:000000,op:flip1,pos:3;2019-10-25 19:52:23.151805639;3108;2766;853
id:000010,src:000000,op:flip1,pos:4,+cov;2019-10-25 19:52:23.167805433;3111;2739;856
id:000011,src:000000,op:flip1,pos:4,+cov;2019-10-25 19:52:23.179805279;3116;2731;861
id:000012,src:000000,op:flip1,pos:5,+cov;2019-10-25 19:52:23.187805414;3139;2262;884
id:000013,src:000000,op:flip1,pos:5;2019-10-25 19:52:23.199805260;3139;2274;884
id:000014,src:000000,op:flip1,pos:5,+cov;2019-10-25 19:52:23.207805157;3141;2274;886
id:000015,src:000000,op:flip1,pos:5;2019-10-25 19:52:23.211805105;3141;2273;886
id:000016,src:000000,op:flip1,pos:7,+cov;2019-10-25 19:52:23.223804951;3142;2252;887
id:000017,src:000000,op:flip1,pos:7,+cov;2019-10-25 19:52:23.235804796;3145;2257;890
id:000018,src:000000,op:flip1,pos:8,+cov;2019-10-25 19:52:23.243804693;3146;2256;891
id:000019,src:000000,op:flip1,pos:553,+cov;2019-10-25 19:52:26.483774900;3221;3003;966
id:000020,src:000000,op:flip1,pos:553,+cov;2019-10-25 19:52:26.491774797;3222;2997;967
id:000021,src:000000,op:flip1,pos:553,+cov;2019-10-25 19:52:26.499774694;3225;3004;970
id:000022,src:000000,op:flip1,pos:553,+cov;2019-10-25 19:52:26.507774830;3228;2977;973
id:000023,src:000000,op:flip1,pos:553;2019-10-25 19:52:26.515774727;3228;2976;973
id:000024,src:000000,op:flip1,pos:553;2019-10-25 19:52:26.523774623;3228;2979;973
id:000025,src:000000,op:flip1,pos:554,+cov;2019-10-25 19:52:26.531774521;3233;2996;978
id:000026,src:000000,op:flip1,pos:554,+cov;2019-10-25 19:52:26.543774366;3237;3000;982
id:000027,src:000000,op:flip1,pos:554,+cov;2019-10-25 19:52:26.551774263;3261;3008;1006
id:000028,src:000000,op:flip1,pos:555,+cov;2019-10-25 19:52:26.563774109;3262;2997;1007
id:000029,src:000000,op:flip1,pos:555,+cov;2019-10-25 19:52:26.571774244;3266;3008;1011
id:000030,src:000000,op:flip1,pos:555,+cov;2019-10-25 19:52:26.579774141;3268;2998;1013
id:000031,src:000000,op:flip1,pos:556,+cov;2019-10-25 19:52:26.591773987;3274;2996;1019
id:000032,src:000000,op:flip1,pos:556;2019-10-25 19:52:26.603773832;3274;3008;1019
id:000033,src:000000,op:flip1,pos:557,+cov;2019-10-25 19:52:26.615773678;3275;3003;1020
id:000034,src:000000,op:flip1,pos:557,+cov;2019-10-25 19:52:26.623773575;3276;2996;1021
id:000035,src:000000,op:flip1,pos:557,+cov;2019-10-25 19:52:26.631773472;3277;2998;1022
id:000036,src:000000,op:flip1,pos:558,+cov;2019-10-25 19:52:26.643773556;3279;3000;1024
id:000037,src:000000,op:flip1,pos:559,+cov;2019-10-25 19:52:26.659773350;3280;3001;1025
id:000038,src:000000,op:flip1,pos:560,+cov;2019-10-25 19:52:26.675773144;3284;3005;1029
id:000039,src:000000,op:flip1,pos:561,+cov;2019-10-25 19:52:26.687772989;3289;2243;1034
