filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:ShowText-ShadingPattern.pdf;2019-10-25 19:51:41.296191454;2255;2255;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-25 19:53:44.991051435;3077;2763;822
id:000002,src:000000,op:flip1,pos:0,+cov;2019-10-25 19:53:46.211040020;3080;2758;825
id:000003,src:000000,op:flip1,pos:0,+cov;2019-10-25 19:53:47.475028515;3089;2767;834
id:000004,src:000000,op:flip1,pos:0,+cov;2019-10-25 19:53:48.683017254;3098;2765;843
id:000005,src:000000,op:flip1,pos:0,+cov;2019-10-25 19:55:18.994185209;3099;2758;844
id:000006,src:000000,op:flip1,pos:1,+cov;2019-10-25 19:55:34.398043156;3105;2767;850
id:000007,src:000000,op:flip1,pos:1,+cov;2019-10-25 19:53:49.891006231;3106;2762;851
id:000008,src:000000,op:flip1,pos:1,+cov;2019-10-25 19:53:51.098994970;3108;2762;853
id:000009,src:000001,op:flip1,pos:0,+cov;2019-10-25 19:53:52.386983156;3145;2853;890
id:000010,src:000002,op:flip1,pos:0;2019-10-25 19:55:28.738095284;3145;2763;890
id:000011,src:000000,op:havoc,rep:8,+cov;2019-10-25 19:55:29.978083849;3186;2888;931
id:000012,src:000000,op:havoc,rep:4,+cov;2019-10-25 19:53:52.498982191;3217;2887;962
id:000013,src:000000,op:havoc,rep:64,+cov;2019-10-25 19:55:35.686031342;3351;2682;1096
id:000014,src:000000,op:havoc,rep:8,+cov;2019-10-25 19:55:20.246173620;3355;2863;1100
id:000015,src:000000,op:havoc,rep:32,+cov;2019-10-25 19:53:52.534981728;3407;2935;1152
id:000016,src:000000,op:havoc,rep:2;2019-10-25 19:56:46.349380255;3407;2836;1152
id:000017,src:000000,op:havoc,rep:4;2019-10-25 19:53:52.558981657;3407;2860;1152
id:000018,src:000000,op:havoc,rep:4,+cov;2019-10-25 19:56:26.865559816;3410;2899;1155
id:000019,src:000000,op:havoc,rep:64,+cov;2019-10-25 19:53:57.726933956;3442;2840;1187
id:000020,src:000000,op:havoc,rep:8,+cov;2019-10-25 19:54:20.838721037;3449;2745;1194
id:000021,src:000000,op:havoc,rep:16,+cov;2019-10-25 19:55:21.438162565;3456;2808;1201
id:000022,src:000000,op:havoc,rep:8;2019-10-25 19:56:30.225528717;3456;2868;1201
id:000023,src:000000,op:havoc,rep:32,+cov;2019-10-25 19:53:52.634980917;3473;2260;1218
id:000024,src:000000,op:havoc,rep:32,+cov;2019-10-25 19:53:52.646980762;3475;2843;1220
id:000025,src:000000,op:havoc,rep:32,+cov;2019-10-25 19:55:53.509866952;3479;2705;1224
id:000026,src:000000,op:havoc,rep:8,+cov;2019-10-25 19:53:52.674980640;3481;2871;1226
id:000027,src:000000,op:havoc,rep:128,+cov;2019-10-25 19:54:22.042709827;3500;2668;1245
id:000028,src:000000,op:havoc,rep:2,+cov;2019-10-25 19:56:08.813725948;3501;2851;1246
id:000029,src:000000,op:havoc,rep:16,+cov;2019-10-25 19:54:23.254698753;3502;2816;1247
id:000030,src:000000,op:havoc,rep:64,+cov;2019-10-25 19:54:24.346688747;3517;2686;1262
id:000031,src:000000,op:havoc,rep:16,+cov;2019-10-25 19:54:25.254680395;3527;1984;1272
id:000032,src:000000,op:havoc,rep:16,+cov;2019-10-25 19:53:52.742980003;3530;2262;1275
id:000033,src:000000,op:havoc,rep:32;2019-10-25 19:55:54.953853846;3530;2682;1275
id:000034,src:000000,op:havoc,rep:32,+cov;2019-10-25 19:53:52.766979694;3534;2726;1279
id:000035,src:000000,op:havoc,rep:8;2019-10-25 19:53:52.778979540;3534;2801;1279
id:000036,src:000000,op:havoc,rep:32,+cov;2019-10-25 19:53:52.790979385;3537;2871;1282
id:000037,src:000000,op:havoc,rep:128,+cov;2019-10-25 19:54:28.602649450;3554;2591;1299
id:000038,src:000000,op:havoc,rep:8;2019-10-25 19:53:52.814979315;3554;2885;1299
id:000039,src:000000,op:havoc,rep:32,+cov;2019-10-25 19:53:52.826979160;3555;2876;1300
id:000040,src:000000,op:havoc,rep:64,+cov;2019-10-25 19:53:52.838979006;3556;1988;1301
id:000041,src:000000,op:havoc,rep:4;2019-10-25 19:57:05.205206394;3556;2717;1301
id:000042,src:000000,op:havoc,rep:32;2019-10-25 19:57:49.864794970;3556;2261;1301
id:000043,src:000000,op:havoc,rep:8;2019-10-25 19:55:24.078138351;3556;2876;1301
id:000044,src:000000,op:havoc,rep:32,+cov;2019-10-25 19:54:30.914628267;3574;2815;1319
id:000045,src:000000,op:havoc,rep:4;2019-10-25 19:55:57.225832701;3574;2857;1319
id:000046,src:000000,op:havoc,rep:32,+cov;2019-10-25 19:54:32.146616697;3596;2939;1341
id:000047,src:000000,op:havoc,rep:128,+cov;2019-10-25 19:53:52.922978163;3599;2499;1344
id:000048,src:000000,op:havoc,rep:4;2019-10-25 19:58:34.948379517;3599;2853;1344
id:000049,src:000000,op:havoc,rep:16;2019-10-25 19:55:31.206072569;3599;2901;1344
id:000050,src:000000,op:havoc,rep:128;2019-10-25 19:53:52.958977938;3599;2429;1344
id:000051,src:000000,op:havoc,rep:4;2019-10-25 19:57:06.497194529;3599;2846;1344
id:000052,src:000000,op:havoc,rep:8,+cov;2019-10-25 19:53:52.986977577;3648;3021;1393
id:000053,src:000000,op:havoc,rep:16,+cov;2019-10-25 19:53:52.998977661;3649;2905;1394
id:000054,src:000000,op:havoc,rep:8;2019-10-25 19:55:36.870020390;3649;2873;1394
id:000055,src:000000,op:havoc,rep:32,+cov;2019-10-25 19:54:36.566576004;3652;2726;1397
id:000056,src:000000,op:havoc,rep:64,+cov;2019-10-25 19:55:59.521811724;3653;2639;1398
id:000057,src:000000,op:havoc,rep:16,+cov;2019-10-25 19:53:53.042977095;3654;2573;1399
id:000058,src:000000,op:havoc,rep:8;2019-10-25 19:56:00.673800945;3654;2731;1399
id:000059,src:000000,op:havoc,rep:2;2019-10-25 19:53:53.062977076;3654;2271;1399
id:000060,src:000000,op:havoc,rep:64,+cov;2019-10-25 19:54:38.690556526;3656;2851;1401
id:000061,src:000000,op:havoc,rep:8,+cov;2019-10-25 19:53:53.086976767;3660;2730;1405
id:000062,src:000000,op:havoc,rep:64,+cov;2019-10-25 19:54:39.838545799;3663;2833;1408
id:000063,src:000000,op:havoc,rep:64;2019-10-25 19:58:18.448531628;3663;2550;1408
id:000064,src:000000,op:havoc,rep:128,+cov;2019-10-25 19:58:45.404283285;3664;2603;1409
id:000065,src:000000,op:havoc,rep:128,+cov;2019-10-25 19:56:02.945780039;3666;2677;1411
id:000066,src:000000,op:havoc,rep:32;2019-10-25 19:58:46.412273884;3666;2628;1411
id:000067,src:000000,op:havoc,rep:128,+cov;2019-10-25 19:54:40.690538168;3667;2265;1412
id:000068,src:000000,op:havoc,rep:16,+cov;2019-10-25 19:54:41.950526476;3671;2903;1416
id:000069,src:000000,op:havoc,rep:64,+cov;2019-10-25 19:53:53.178975821;3675;2890;1420
id:000070,src:000000,op:havoc,rep:64;2019-10-25 19:54:44.158506155;3675;2170;1420
id:000071,src:000000,op:havoc,rep:2;2019-10-25 19:53:53.206975698;3675;2755;1420
id:000072,src:000000,op:havoc,rep:4,+cov;2019-10-25 19:54:45.350495100;3680;2869;1425
id:000073,src:000000,op:havoc,rep:128,+cov;2019-10-25 19:54:46.562484026;3682;2654;1427
id:000074,src:000000,op:havoc,rep:32,+cov;2019-10-25 19:54:47.798472643;3683;2893;1428
id:000075,src:000000,op:havoc,rep:8,+cov;2019-10-25 19:53:53.262975216;3686;2262;1431
id:000076,src:000000,op:havoc,rep:128,+cov;2019-10-25 19:54:51.514438391;3694;2803;1439
id:000077,src:000000,op:havoc,rep:128;2019-10-25 19:58:22.780491829;3694;2489;1439
id:000078,src:000000,op:havoc,rep:8,+cov;2019-10-25 19:54:52.830426216;3695;2884;1440
id:000079,src:000000,op:havoc,rep:64;2019-10-25 19:54:53.842416763;3695;2291;1440
id:000080,src:000000,op:havoc,rep:16;2019-10-25 19:53:53.330974579;3695;2909;1440
id:000081,src:000000,op:havoc,rep:2;2019-10-25 19:53:53.346974373;3695;2711;1440
id:000082,src:000000,op:havoc,rep:2;2019-10-25 19:54:55.050405741;3695;2863;1440
id:000083,src:000000,op:havoc,rep:16;2019-10-25 19:54:56.230394840;3695;2898;1440
id:000084,src:000015,op:flip1,pos:0;2019-10-25 19:54:57.430383921;3695;2850;1440
id:000085,src:000015,op:flip1,pos:0;2019-10-25 19:58:36.188368082;3695;2856;1440
id:000086,src:000015,op:flip1,pos:4,+cov;2019-10-25 19:54:58.586373091;3700;2826;1445
id:000087,src:000015,op:flip1,pos:5,+cov;2019-10-25 19:53:54.634962559;3706;2942;1451
id:000088,src:000015,op:flip1,pos:5;2019-10-25 19:53:54.658962250;3706;2937;1451
id:000089,src:000015,op:flip1,pos:7;2019-10-25 19:53:54.690962076;3706;2938;1451
id:000090,src:000015,op:flip1,pos:14;2019-10-25 19:59:35.551821232;3706;2858;1451
id:000091,src:000015,op:flip1,pos:15;2019-10-25 19:53:54.854960442;3706;2928;1451
id:000092,src:000015,op:flip1,pos:15;2019-10-25 19:53:54.866960287;3706;2914;1451
id:000093,src:000015,op:flip1,pos:16;2019-10-25 19:55:00.906351805;3706;2859;1451
id:000094,src:000015,op:flip1,pos:16,+cov;2019-10-25 19:57:56.556733370;3708;2207;1453
id:000095,src:000015,op:flip1,pos:17;2019-10-25 19:59:04.672105789;3708;2858;1453
id:000096,src:000015,op:flip1,pos:18,+cov;2019-10-25 19:55:01.998341799;3711;2206;1456
id:000097,src:000015,op:flip1,pos:23,+cov;2019-10-25 19:53:55.050958633;3712;2866;1457
id:000098,src:000015,op:flip1,pos:23,+cov;2019-10-25 19:55:03.030332088;3734;2265;1479
id:000099,src:000015,op:flip1,pos:24;2019-10-25 19:57:39.812887669;3734;2861;1479
id:000100,src:000015,op:flip1,pos:25;2019-10-25 19:58:27.564447641;3734;2860;1479
id:000101,src:000015,op:flip1,pos:25,+cov;2019-10-25 19:55:04.170321703;3735;2859;1480
id:000102,src:000015,op:flip1,pos:27;2019-10-25 19:59:05.824095249;3735;2860;1480
id:000103,src:000015,op:flip1,pos:31;2019-10-25 20:01:02.695018530;3735;2518;1480
id:000104,src:000017,op:flip1,pos:0;2019-10-25 19:58:28.696437120;3735;2778;1480
id:000105,src:000019,op:flip1,pos:14;2019-10-25 19:54:02.674888372;3735;2840;1480
id:000106,src:000019,op:flip1,pos:16;2019-10-25 19:55:06.582299471;3735;2865;1480
id:000107,src:000019,op:flip1,pos:17;2019-10-25 19:58:54.384200573;3735;2837;1480
id:000108,src:000019,op:flip1,pos:23;2019-10-25 19:58:29.984425306;3735;2840;1480
id:000109,src:000019,op:flip1,pos:23;2019-10-25 19:55:07.902287245;3735;2841;1480
id:000110,src:000019,op:flip1,pos:23;2019-10-25 19:57:11.573147774;3735;2837;1480
id:000111,src:000031,op:flip1,pos:0;2019-10-25 19:55:32.142063856;3735;1866;1480
id:000112,src:000032,op:flip1,pos:0;2019-10-25 19:55:08.802278996;3735;2181;1480
id:000113,src:000037,op:flip1,pos:0;2019-10-25 19:55:10.042267561;3735;2505;1480
id:000114,src:000039,op:flip1,pos:0;2019-10-25 19:55:11.174257040;3735;2787;1480
id:000115,src:000046,op:flip1,pos:0;2019-10-25 19:55:12.382246017;3735;2853;1480
id:000116,src:000052,op:flip1,pos:0;2019-10-25 19:56:34.897485733;3735;2791;1480
id:000117,src:000057,op:flip1,pos:0;2019-10-25 19:55:13.262238026;3735;2463;1480
id:000118,src:000062,op:flip1,pos:0;2019-10-25 19:56:40.673432589;3735;2699;1480
id:000119,src:000067,op:flip1,pos:0;2019-10-25 19:54:40.698538065;3735;2215;1480
id:000120,src:000073,op:flip1,pos:0;2019-10-25 19:55:25.338126659;3735;2589;1480
id:000121,src:000074,op:flip1,pos:8;2019-10-25 19:54:47.950471163;3735;2893;1480
id:000122,src:000074,op:flip1,pos:8;2019-10-25 19:54:47.962471008;3735;2893;1480
id:000123,src:000074,op:flip1,pos:15;2019-10-25 19:58:05.240653276;3735;2886;1480
id:000124,src:000074,op:flip1,pos:16;2019-10-25 19:54:48.130469561;3735;2173;1480
id:000125,src:000074,op:flip1,pos:18;2019-10-25 19:54:48.174468994;3735;2169;1480
