filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:test;2019-10-11 17:39:50.271940947;1374;1374;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-11 17:52:50.056989908;1395;468;21
id:000002,src:000000,op:flip1,pos:1,+cov;2019-10-11 17:53:04.260863065;1397;466;23
id:000003,src:000000,op:flip1,pos:2,+cov;2019-10-11 17:53:06.820840120;1399;468;25
id:000004,src:000000,op:flip1,pos:3,+cov;2019-10-11 17:53:09.432816744;1401;470;27
id:000005,src:000000,op:flip1,pos:4,+cov;2019-10-11 17:46:17.488493443;1402;474;28
id:000006,src:000000,op:flip1,pos:5,+cov;2019-10-11 17:53:11.992794037;1404;476;30
id:000007,src:000000,op:flip1,pos:6,+cov;2019-10-11 17:53:14.572770834;1406;472;32
id:000008,src:000000,op:flip1,pos:7,+cov;2019-10-11 17:46:17.504493474;1408;1376;34
id:000009,src:000000,op:flip1,pos:16,+cov;2019-10-11 17:46:17.544492960;1412;1373;38
id:000010,src:000000,op:flip1,pos:16,+cov;2019-10-11 17:46:17.548492908;1414;1373;40
id:000011,src:000000,op:flip1,pos:18,+cov;2019-10-11 17:46:17.556493044;1435;1375;61
id:000012,src:000000,op:flip1,pos:28,+cov;2019-10-11 17:46:17.600492477;1437;1357;63
id:000013,src:000000,op:flip1,pos:28,+cov;2019-10-11 17:46:17.604492426;1442;1376;68
id:000014,src:000000,op:flip1,pos:28,+cov;2019-10-11 17:46:17.608492374;1443;1374;69
id:000015,src:000000,op:flip1,pos:28;2019-10-11 17:46:17.612492323;1443;1361;69
id:000016,src:000000,op:flip1,pos:29,+cov;2019-10-11 17:46:17.616492510;1451;521;77
id:000017,src:000000,op:flip1,pos:29,+cov;2019-10-11 17:46:17.624492407;1471;1370;97
id:000018,src:000000,op:flip1,pos:32,+cov;2019-10-11 17:46:17.632492304;1478;584;104
id:000019,src:000000,op:flip1,pos:32,+cov;2019-10-11 17:46:17.636492252;1479;596;105
id:000020,src:000000,op:flip1,pos:32,+cov;2019-10-11 17:46:17.640492201;1480;467;106
id:000021,src:000000,op:flip1,pos:32,+cov;2019-10-11 17:46:17.644492149;1482;599;108
id:000022,src:000000,op:flip1,pos:33,+cov;2019-10-11 18:31:42.936131954;1483;455;109
id:000023,src:000000,op:flip1,pos:33,+cov;2019-10-11 18:31:51.916051626;1507;672;133
id:000024,src:000000,op:flip1,pos:33;2019-10-11 17:46:17.656491995;1507;594;133
id:000025,src:000000,op:flip1,pos:44;2019-10-11 17:46:17.696491718;1507;1374;133
id:000026,src:000000,op:flip1,pos:44;2019-10-11 17:46:17.700491667;1507;1374;133
id:000027,src:000000,op:flip1,pos:44;2019-10-11 17:46:17.704491615;1507;1374;133
id:000028,src:000000,op:flip1,pos:44;2019-10-11 17:46:17.708491564;1507;1346;133
id:000029,src:000000,op:flip1,pos:46,+cov;2019-10-11 17:46:17.716491461;1509;512;135
id:000030,src:000000,op:flip1,pos:48,+cov;2019-10-11 18:34:12.090798140;1511;597;137
id:000031,src:000000,op:flip1,pos:48,+cov;2019-10-11 18:35:43.277982473;1527;666;153
id:000032,src:000000,op:flip1,pos:48;2019-10-11 17:46:17.736491442;1527;602;153
id:000033,src:000000,op:flip1,pos:50,+cov;2019-10-11 17:46:17.744491339;1548;620;174
id:000034,src:000000,op:flip1,pos:50,+cov;2019-10-11 17:46:17.748491287;1580;1388;206
id:000035,src:000000,op:flip1,pos:52,+cov;2019-10-11 17:46:17.760491133;1581;1375;207
id:000036,src:000000,op:flip1,pos:84;2019-10-11 17:46:17.884490013;1581;1374;207
id:000037,src:000000,op:flip1,pos:116;2019-10-11 17:46:18.004488945;1581;1374;207
