filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:test;2019-10-11 17:40:20.535671949;1374;1374;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-14 07:50:23.319286108;1395;468;21
id:000002,src:000000,op:flip1,pos:1,+cov;2019-10-14 07:56:57.367987633;1397;466;23
id:000003,src:000000,op:flip1,pos:2,+cov;2019-10-14 07:56:57.395987511;1399;468;25
id:000004,src:000000,op:flip1,pos:3,+cov;2019-10-14 07:56:57.423987150;1401;470;27
id:000005,src:000000,op:flip1,pos:4,+cov;2019-10-14 07:50:23.339286089;1402;474;28
id:000006,src:000000,op:flip1,pos:5,+cov;2019-10-14 07:56:57.451987028;1404;476;30
id:000007,src:000000,op:flip1,pos:6,+cov;2019-10-14 07:56:57.479986668;1406;472;32
id:000008,src:000000,op:flip1,pos:7,+cov;2019-10-14 07:50:23.359285831;1408;1376;34
id:000009,src:000000,op:flip1,pos:16,+cov;2019-10-14 07:50:23.391285658;1412;1373;38
id:000010,src:000000,op:flip1,pos:16,+cov;2019-10-14 07:50:23.399285555;1414;1373;40
id:000011,src:000000,op:flip1,pos:18,+cov;2019-10-14 07:50:23.407285452;1435;1375;61
id:000012,src:000000,op:flip1,pos:28,+cov;2019-10-14 07:50:23.447285175;1437;1357;63
id:000013,src:000000,op:flip1,pos:28,+cov;2019-10-14 07:50:23.451285124;1442;1376;68
id:000014,src:000000,op:flip1,pos:28,+cov;2019-10-14 07:50:23.455285072;1443;1374;69
id:000015,src:000000,op:flip1,pos:28;2019-10-14 07:50:23.459285021;1443;1361;69
id:000016,src:000000,op:flip1,pos:29,+cov;2019-10-14 07:50:23.463284969;1451;521;77
id:000017,src:000000,op:flip1,pos:29,+cov;2019-10-14 07:50:23.467284918;1471;1370;97
id:000018,src:000000,op:flip1,pos:32,+cov;2019-10-14 07:50:23.479285002;1478;584;104
id:000019,src:000000,op:flip1,pos:32,+cov;2019-10-14 07:50:23.479285002;1479;596;105
id:000020,src:000000,op:flip1,pos:32,+cov;2019-10-14 07:50:23.483284950;1480;467;106
id:000021,src:000000,op:flip1,pos:32,+cov;2019-10-14 07:50:23.487284899;1482;599;108
id:000022,src:000000,op:flip1,pos:33,+cov;2019-10-14 07:50:23.491284847;1483;455;109
id:000023,src:000000,op:flip1,pos:33,+cov;2019-10-14 07:57:01.147955656;1507;672;133
id:000024,src:000000,op:flip1,pos:33;2019-10-14 07:50:23.499284744;1507;594;133
id:000025,src:000000,op:flip1,pos:44;2019-10-14 07:50:23.535284518;1507;1374;133
id:000026,src:000000,op:flip1,pos:44;2019-10-14 07:50:23.539284468;1507;1374;133
id:000027,src:000000,op:flip1,pos:44;2019-10-14 07:50:23.543284416;1507;1374;133
id:000028,src:000000,op:flip1,pos:44;2019-10-14 07:50:23.547284365;1507;1346;133
