filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:test;2019-10-21 15:57:16.829812527;1374;1374;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-21 15:58:18.901270151;1395;468;21
id:000002,src:000001,op:flip1,pos:0,+cov;2019-10-21 15:58:18.917269945;1402;455;28
id:000003,src:000002,op:flip1,pos:0,+cov;2019-10-21 15:58:18.917269945;1405;468;31
id:000004,src:000000,op:havoc,rep:32,+cov;2019-10-21 15:58:19.897261381;1406;467;32
id:000005,src:000000,op:havoc,rep:2,+cov;2019-10-21 15:58:18.993269205;1428;600;54
id:000006,src:000000,op:havoc,rep:2,+cov;2019-10-21 15:58:19.001269341;1464;1409;90
id:000007,src:000000,op:havoc,rep:2;2019-10-21 15:58:31.681158543;1464;584;90
id:000008,src:000000,op:havoc,rep:32;2019-10-21 15:58:30.513168812;1464;594;90
id:000009,src:000000,op:havoc,rep:16,+cov;2019-10-21 15:58:32.205153942;1465;593;91
id:000010,src:000000,op:havoc,rep:2,+cov;2019-10-21 15:58:19.037268877;1477;1406;103
id:000011,src:000000,op:havoc,rep:8;2019-10-21 15:58:19.081268549;1477;1374;103
id:000012,src:000000,op:havoc,rep:2;2019-10-21 15:58:31.049164057;1477;600;103
id:000013,src:000000,op:havoc,rep:64;2019-10-21 15:58:28.361187458;1477;595;103
id:000014,src:000000,op:havoc,rep:128,+cov;2019-10-21 15:58:21.421248198;1479;470;105
id:000015,src:000000,op:havoc,rep:8,+cov;2019-10-21 15:58:19.113268137;1493;635;119
id:000016,src:000000,op:havoc,rep:2,+cov;2019-10-21 15:58:19.125268221;1495;1376;121
id:000017,src:000000,op:havoc,rep:16;2019-10-21 15:58:48.885008335;1495;594;121
id:000018,src:000000,op:havoc,rep:128,+cov;2019-10-21 15:58:22.617237568;1500;506;126
id:000019,src:000000,op:havoc,rep:128,+cov;2019-10-21 15:58:22.641237497;1502;466;128
id:000020,src:000000,op:havoc,rep:128,+cov;2019-10-21 15:58:22.669237137;1506;513;132
id:000021,src:000000,op:havoc,rep:4,+cov;2019-10-21 15:58:19.173267841;1508;885;134
id:000022,src:000000,op:havoc,rep:128,+cov;2019-10-21 15:58:23.265232085;1510;468;136
id:000023,src:000000,op:havoc,rep:128;2019-10-21 15:58:32.749149084;1510;455;136
id:000024,src:000000,op:havoc,rep:64;2019-10-21 15:58:33.281144619;1510;596;136
id:000025,src:000000,op:havoc,rep:16,+cov;2019-10-21 15:58:35.137128353;1512;599;138
id:000026,src:000000,op:havoc,rep:2,+cov;2019-10-21 15:58:23.849226952;1516;624;142
id:000027,src:000000,op:havoc,rep:2,+cov;2019-10-21 15:58:19.253267050;1524;1416;150
id:000028,src:000000,op:havoc,rep:4,+cov;2019-10-21 15:58:19.261266947;1525;1411;151
id:000029,src:000000,op:havoc,rep:32,+cov;2019-10-21 15:58:25.533212185;1527;596;153
id:000030,src:000000,op:havoc,rep:2,+cov;2019-10-21 15:58:19.329266310;1530;1379;156
id:000031,src:000000,op:havoc,rep:4;2019-10-21 15:58:33.817139864;1530;596;156
id:000032,src:000000,op:havoc,rep:8,+cov;2019-10-21 15:58:19.361266136;1531;613;157
id:000033,src:000000,op:havoc,rep:4;2019-10-21 15:58:19.377265930;1531;897;157
id:000034,src:000000,op:havoc,rep:64,+cov;2019-10-21 15:58:27.085198641;1533;585;159
id:000035,src:000000,op:havoc,rep:16;2019-10-21 15:58:19.409265757;1533;902;159
id:000036,src:000000,op:havoc,rep:2;2019-10-21 15:58:19.433265448;1533;1413;159
id:000037,src:000000,op:havoc,rep:128,+cov;2019-10-21 15:58:27.109198332;1535;472;161
id:000038,src:000004,op:flip1,pos:4,+cov;2019-10-21 15:58:27.133198261;1536;474;162
id:000039,src:000004,op:flip1,pos:5,+cov;2019-10-21 15:58:27.157197952;1538;476;164
id:000040,src:000004,op:flip1,pos:16,+cov;2019-10-21 15:58:20.077259779;1540;466;166
