,filename,m_timestamp,total_coverage,current_coverage,total_coverage_own_finds,running_s
0,"id:000000,orig:test",2019-10-30 14:10:56.536082432,1374,1374,0,0.0
1,"id:000001,src:000000,op:flip1,pos:0,+cov",2019-10-30 14:10:56.536082432,1395,468,21,0.0
2,"id:000002,src:000000,op:flip1,pos:1,+cov",2019-10-30 14:10:56.560082432,1397,466,23,0.0
3,"id:000003,src:000000,op:flip1,pos:2,+cov",2019-10-30 14:10:56.548082688,1399,468,25,0.0
4,"id:000004,src:000000,op:flip1,pos:3,+cov",2019-10-30 14:10:56.552082432,1401,470,27,0.0
5,"id:000005,src:000000,op:flip1,pos:4,+cov",2019-10-30 14:10:56.560082432,1402,474,28,0.0
6,"id:000006,src:000000,op:flip1,pos:5,+cov",2019-10-30 14:10:56.540082432,1404,476,30,0.0
7,"id:000007,src:000000,op:flip1,pos:6,+cov",2019-10-30 14:10:56.556082432,1406,472,32,0.0
8,"id:000008,src:000000,op:flip1,pos:7,+cov",2019-10-30 14:10:56.548082688,1408,1376,34,0.0
9,"id:000009,src:000000,op:flip1,pos:16,+cov",2019-10-30 14:10:56.560082432,1412,1373,38,0.0
10,"id:000010,src:000000,op:flip1,pos:16,+cov",2019-10-30 14:10:56.548082688,1414,1373,40,0.0
11,"id:000011,src:000000,op:flip1,pos:18,+cov",2019-10-30 14:10:56.540082432,1435,1375,61,0.0
12,"id:000012,src:000000,op:flip1,pos:28,+cov",2019-10-30 14:10:56.560082432,1437,1357,63,0.0
13,"id:000013,src:000000,op:flip1,pos:28,+cov",2019-10-30 14:10:56.544082432,1442,1376,68,0.0
14,"id:000014,src:000000,op:flip1,pos:28,+cov",2019-10-30 14:10:56.540082432,1443,1374,69,0.0
15,"id:000015,src:000000,op:flip1,pos:28",2019-10-30 14:10:56.556082432,1443,1361,69,0.0
16,"id:000016,src:000000,op:flip1,pos:29,+cov",2019-10-30 14:10:56.564082432,1451,521,77,0.0
17,"id:000017,src:000000,op:flip1,pos:29,+cov",2019-10-30 14:10:56.560082432,1471,1370,97,0.0
18,"id:000018,src:000000,op:flip1,pos:32,+cov",2019-10-30 14:10:56.556082432,1478,584,104,0.0
19,"id:000019,src:000000,op:flip1,pos:32,+cov",2019-10-30 14:10:56.552082432,1479,596,105,0.0
20,"id:000020,src:000000,op:flip1,pos:32,+cov",2019-10-30 14:10:56.548082688,1480,467,106,0.0
21,"id:000021,src:000000,op:flip1,pos:32,+cov",2019-10-30 14:10:56.552082432,1482,599,108,0.0
22,"id:000022,src:000000,op:flip1,pos:33,+cov",2019-10-30 14:10:56.560082432,1483,455,109,0.0
23,"id:000023,src:000000,op:flip1,pos:33,+cov",2019-10-30 14:10:56.540082432,1507,672,133,0.0
24,"id:000024,src:000000,op:flip1,pos:33",2019-10-30 14:10:56.544082432,1507,594,133,0.0
25,"id:000025,src:000000,op:flip1,pos:44",2019-10-30 14:10:56.548082688,1507,1374,133,0.0
26,"id:000026,src:000000,op:flip1,pos:44",2019-10-30 14:10:56.552082432,1507,1374,133,0.0
27,"id:000027,src:000000,op:flip1,pos:44",2019-10-30 14:10:56.552082432,1507,1374,133,0.0
28,"id:000028,src:000000,op:flip1,pos:44",2019-10-30 14:10:56.536082432,1507,1346,133,0.0
29,"id:000029,src:000000,op:flip1,pos:46,+cov",2019-10-30 14:10:56.548082688,1509,512,135,0.0
30,"id:000030,src:000000,op:flip1,pos:48,+cov",2019-10-30 14:10:56.548082688,1511,597,137,0.0
31,"id:000031,src:000000,op:flip1,pos:48,+cov",2019-10-30 14:10:56.544082432,1527,666,153,0.0
32,"id:000032,src:000000,op:flip1,pos:48",2019-10-30 14:10:56.552082432,1527,602,153,0.0
33,"id:000033,src:000000,op:flip1,pos:50,+cov",2019-10-30 14:10:56.564082432,1548,620,174,0.0
34,"id:000034,src:000000,op:flip1,pos:50,+cov",2019-10-30 14:10:56.536082432,1580,1388,206,0.0
35,"id:000035,src:000000,op:flip1,pos:52,+cov",2019-10-30 14:10:56.560082432,1581,1375,207,0.0
36,"id:000036,src:000000,op:flip1,pos:84",2019-10-30 14:10:56.556082432,1581,1374,207,0.0
37,"id:000037,src:000000,op:flip1,pos:116",2019-10-30 14:10:56.540082432,1581,1374,207,0.0
38,"id:000038,src:000000,op:flip1,pos:121",2019-10-30 14:10:56.556082432,1581,1375,207,0.0
39,"id:000039,src:000000,op:flip1,pos:121",2019-10-30 14:10:56.552082432,1581,1375,207,0.0
40,"id:000040,src:000000,op:flip1,pos:121",2019-10-30 14:10:56.540082432,1581,1376,207,0.0
41,"id:000041,src:000000,op:flip1,pos:121",2019-10-30 14:10:56.556082432,1581,1376,207,0.0
42,"id:000042,src:000000,op:flip1,pos:125,+cov",2019-10-30 14:10:56.556082432,1582,1377,208,0.0
43,"id:000043,src:000000,op:flip1,pos:125",2019-10-30 14:10:56.544082432,1582,1377,208,0.0
