filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:test;2019-10-09 17:30:27.952835321;2325;2325;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-09 17:34:50.258419752;2372;350;47
id:000002,src:000000,op:flip1,pos:1,+cov;2019-10-09 18:02:47.894966602;2376;346;51
id:000003,src:000000,op:flip1,pos:2,+cov;2019-10-09 18:02:59.310861349;2382;350;57
id:000004,src:000000,op:flip1,pos:3,+cov;2019-10-09 18:03:01.950837135;2388;354;63
id:000005,src:000000,op:flip1,pos:4,+cov;2019-10-09 17:34:50.278419495;2393;360;68
id:000006,src:000000,op:flip1,pos:5,+cov;2019-10-09 18:03:04.586812735;2398;364;73
id:000007,src:000000,op:flip1,pos:6,+cov;2019-10-09 18:03:07.486786127;2427;409;102
id:000008,src:000000,op:flip1,pos:7,+cov;2019-10-09 17:34:50.302419424;2429;2326;104
id:000009,src:000000,op:flip1,pos:16,+cov;2019-10-09 17:34:50.418418169;2440;2163;115
id:000010,src:000000,op:flip1,pos:16,+cov;2019-10-09 17:34:50.438418150;2442;2324;117
id:000011,src:000000,op:flip1,pos:18,+cov;2019-10-09 17:34:50.454417944;2481;1231;156
id:000012,src:000000,op:flip1,pos:28,+cov;2019-10-09 17:34:50.562417030;2483;2309;158
id:000013,src:000000,op:flip1,pos:28,+cov;2019-10-09 17:34:50.578416824;2488;2327;163
id:000014,src:000000,op:flip1,pos:28,+cov;2019-10-09 17:34:50.590416670;2489;2325;164
id:000015,src:000000,op:flip1,pos:28;2019-10-09 17:34:50.606416464;2489;2313;164
id:000016,src:000000,op:flip1,pos:29,+cov;2019-10-09 17:34:50.610416412;2498;374;173
id:000017,src:000000,op:flip1,pos:29,+cov;2019-10-09 17:34:50.626416445;2518;2322;193
id:000018,src:000000,op:flip1,pos:32,+cov;2019-10-09 17:34:50.638416290;2527;496;202
id:000019,src:000000,op:flip1,pos:32,+cov;2019-10-09 17:34:50.642416239;2528;508;203
id:000020,src:000000,op:flip1,pos:32,+cov;2019-10-09 17:34:50.646416187;2529;320;204
id:000021,src:000000,op:flip1,pos:32,+cov;2019-10-09 17:34:50.646416187;2531;511;206
id:000022,src:000000,op:flip1,pos:33,+cov;2019-10-09 20:29:28.478061914;2532;308;207
id:000023,src:000000,op:flip1,pos:33,+cov;2019-10-09 20:29:34.486006498;2566;601;241
id:000024,src:000000,op:flip1,pos:33;2019-10-09 17:34:50.658416033;2566;506;241
id:000025,src:000000,op:flip1,pos:44;2019-10-09 17:34:50.770415068;2566;2325;241
id:000026,src:000000,op:flip1,pos:44;2019-10-09 17:34:50.782414913;2566;2325;241
id:000027,src:000000,op:flip1,pos:44;2019-10-09 17:34:50.794414759;2566;2325;241
id:000028,src:000000,op:flip1,pos:44;2019-10-09 17:34:50.810414553;2566;2298;241
id:000029,src:000000,op:flip1,pos:46,+cov;2019-10-09 17:34:50.818414688;2568;423;243
id:000030,src:000000,op:flip1,pos:48,+cov;2019-10-09 20:31:44.640792608;2570;509;245
id:000031,src:000000,op:flip1,pos:48,+cov;2019-10-09 20:33:16.779926300;2586;594;261
id:000032,src:000000,op:flip1,pos:48;2019-10-09 17:34:50.834414482;2586;514;261
id:000033,src:000000,op:flip1,pos:50,+cov;2019-10-09 17:34:50.842414379;2609;474;284
id:000034,src:000000,op:flip1,pos:50,+cov;2019-10-09 17:34:50.858414173;2631;2228;306
id:000035,src:000000,op:flip1,pos:52,+cov;2019-10-09 17:34:50.882414103;2632;2326;307
id:000036,src:000000,op:flip1,pos:84;2019-10-09 17:34:51.254410505;2632;2325;307
id:000037,src:000000,op:flip1,pos:116;2019-10-09 17:34:51.622407198;2632;2325;307
id:000038,src:000000,op:flip1,pos:121;2019-10-09 17:34:51.690406561;2632;2326;307
id:000039,src:000000,op:flip1,pos:121;2019-10-09 17:34:51.706406355;2632;2326;307
id:000040,src:000000,op:flip1,pos:121;2019-10-09 17:34:51.718406200;2632;2327;307
id:000041,src:000000,op:flip1,pos:121;2019-10-09 17:34:51.734406233;2632;2327;307
id:000042,src:000000,op:flip1,pos:125,+cov;2019-10-09 17:34:51.782405615;2633;2328;308
id:000043,src:000000,op:flip1,pos:125;2019-10-09 17:34:51.798405647;2633;2328;308
id:000044,src:000000,op:flip1,pos:125;2019-10-09 17:34:51.814405441;2633;2328;308
id:000045,src:000000,op:flip1,pos:132;2019-10-09 17:34:51.898404598;2633;2327;308
id:000046,src:000000,op:flip1,pos:133;2019-10-09 17:34:51.918404579;2633;2324;308
id:000047,src:000000,op:flip1,pos:133;2019-10-09 17:34:51.938404322;2633;2327;308
id:000048,src:000000,op:flip1,pos:133;2019-10-09 17:34:51.950404167;2633;2327;308
id:000049,src:000000,op:flip1,pos:137;2019-10-09 17:34:52.006403685;2633;2327;308
id:000050,src:000000,op:flip1,pos:152;2019-10-09 17:34:52.182402134;2633;2326;308
id:000051,src:000000,op:flip1,pos:156;2019-10-09 17:34:52.242401600;2633;2327;308
id:000052,src:000000,op:flip1,pos:156;2019-10-09 17:34:52.258401394;2633;2327;308
id:000053,src:000000,op:flip1,pos:340,+cov;2019-10-09 17:34:54.410381556;2634;2326;309
id:000054,src:000000,op:flip1,pos:340;2019-10-09 17:34:54.422381401;2634;2325;309
id:000055,src:000000,op:flip1,pos:340,+cov;2019-10-09 17:34:54.434381247;2635;2326;310
id:000056,src:000000,op:flip1,pos:340;2019-10-09 17:34:54.450381041;2635;2325;310
id:000057,src:000000,op:flip1,pos:340;2019-10-09 17:34:54.466381073;2635;2325;310
id:000058,src:000000,op:flip1,pos:341;2019-10-09 17:34:54.482380867;2635;2325;310
id:000059,src:000000,op:flip1,pos:341;2019-10-09 17:34:54.494380713;2635;2325;310
id:000060,src:000000,op:flip1,pos:341;2019-10-09 17:34:54.506380558;2635;2325;310
id:000061,src:000000,op:flip1,pos:341;2019-10-09 17:34:54.518380642;2635;2323;310
id:000062,src:000000,op:flip1,pos:342,+cov;2019-10-09 17:34:54.534380435;2636;2326;311
id:000063,src:000000,op:flip1,pos:342;2019-10-09 17:34:54.550380230;2636;2325;311
id:000064,src:000000,op:flip1,pos:342;2019-10-09 17:34:54.566380024;2636;2323;311
id:000065,src:000000,op:flip1,pos:344;2019-10-09 17:34:54.594379902;2636;2325;311
id:000066,src:000000,op:flip1,pos:349;2019-10-09 17:34:54.662379265;2636;2326;311
id:000067,src:000000,op:flip1,pos:350;2019-10-09 17:34:54.690378904;2636;2324;311
id:000068,src:000000,op:flip1,pos:356,+cov;2019-10-09 17:34:54.766378164;2637;2325;312
id:000069,src:000000,op:flip1,pos:356,+cov;2019-10-09 17:34:54.778378010;2640;2328;315
id:000070,src:000000,op:flip1,pos:356;2019-10-09 17:34:54.790378094;2640;2324;315
id:000071,src:000000,op:flip1,pos:357;2019-10-09 17:34:54.806377888;2640;2324;315
id:000072,src:000000,op:flip1,pos:357,+cov;2019-10-09 17:34:54.826377630;2643;2327;318
id:000073,src:000000,op:flip1,pos:358;2019-10-09 17:34:54.842377424;2643;2327;318
id:000074,src:000000,op:flip1,pos:358,+cov;2019-10-09 17:34:54.854377508;2647;2331;322
id:000075,src:000000,op:flip1,pos:358,+cov;2019-10-09 17:34:54.870377302;2651;2330;326
id:000076,src:000000,op:flip1,pos:360,+cov;2019-10-09 17:34:54.898376942;2652;2325;327
id:000077,src:000000,op:flip1,pos:360;2019-10-09 17:34:54.910377026;2652;2325;327
id:000078,src:000000,op:flip1,pos:360,+cov;2019-10-09 17:34:54.926376820;2653;2325;328
id:000079,src:000000,op:flip1,pos:360,+cov;2019-10-09 17:34:54.938376665;2654;2325;329
id:000080,src:000000,op:flip1,pos:360,+cov;2019-10-09 17:34:54.950376511;2660;2330;335
id:000081,src:000000,op:flip1,pos:360;2019-10-09 17:34:54.966376305;2660;2325;335
id:000082,src:000000,op:flip1,pos:360;2019-10-09 17:34:54.978376389;2660;2325;335
id:000083,src:000000,op:flip1,pos:363;2019-10-09 17:34:55.014375925;2660;2325;335
id:000084,src:000000,op:flip1,pos:363;2019-10-09 17:34:55.026375771;2660;2325;335
id:000085,src:000000,op:flip1,pos:364;2019-10-09 17:34:55.046375751;2660;2325;335
id:000086,src:000000,op:flip1,pos:364,+cov;2019-10-09 17:34:55.062375546;2662;2331;337
id:000087,src:000000,op:flip1,pos:368;2019-10-09 17:34:55.122375011;2662;2324;337
id:000088,src:000000,op:flip1,pos:371;2019-10-09 17:34:55.162374496;2662;2325;337
id:000089,src:000000,op:flip1,pos:372,+cov;2019-10-09 17:34:55.182374477;2663;2325;338
id:000090,src:000000,op:flip1,pos:372,+cov;2019-10-09 17:34:55.198374271;2667;2329;342
id:000091,src:000000,op:flip1,pos:375;2019-10-09 17:34:55.242373943;2667;2325;342
id:000092,src:000000,op:flip1,pos:378,+cov;2019-10-09 17:34:55.286373377;2668;2326;343
id:000093,src:000000,op:flip1,pos:379,+cov;2019-10-09 17:34:55.310373306;2670;2327;345
id:000094,src:000000,op:flip1,pos:383;2019-10-09 17:34:55.366372824;2670;2325;345
id:000095,src:000000,op:flip1,pos:384;2019-10-09 17:34:55.398372412;2670;2325;345
id:000096,src:000000,op:flip1,pos:390;2019-10-09 17:34:55.466371775;2670;2326;345
id:000097,src:000000,op:flip1,pos:391;2019-10-09 17:34:55.490371466;2670;2325;345
id:000098,src:000000,op:flip1,pos:400;2019-10-09 17:34:55.602370501;2670;2320;345
id:000099,src:000000,op:flip1,pos:403;2019-10-09 17:34:55.650370121;2670;2320;345
