filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:test;2019-10-09 17:30:50.236630201;2325;2325;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-11 17:42:56.318286180;2372;350;47
id:000002,src:000000,op:flip1,pos:1,+cov;2019-10-11 18:10:33.171487331;2376;346;51
id:000003,src:000000,op:flip1,pos:2,+cov;2019-10-11 18:10:33.199486971;2382;350;57
id:000004,src:000000,op:flip1,pos:3,+cov;2019-10-11 18:10:33.227486849;2388;354;63
id:000005,src:000000,op:flip1,pos:4,+cov;2019-10-11 17:42:56.334285975;2393;360;68
id:000006,src:000000,op:flip1,pos:5,+cov;2019-10-11 18:10:33.255486488;2398;364;73
id:000007,src:000000,op:flip1,pos:6,+cov;2019-10-11 17:42:56.346285820;2427;409;102
id:000008,src:000000,op:flip1,pos:7,+cov;2019-10-11 17:42:56.358285666;2429;2326;104
id:000009,src:000000,op:flip1,pos:16,+cov;2019-10-11 17:42:56.462284803;2440;2163;115
id:000010,src:000000,op:flip1,pos:16,+cov;2019-10-11 17:42:56.478284597;2442;2324;117
id:000011,src:000000,op:flip1,pos:18,+cov;2019-10-11 17:42:56.494284391;2481;1231;156
id:000012,src:000000,op:flip1,pos:28,+cov;2019-10-11 17:42:56.594283581;2483;2309;158
id:000013,src:000000,op:flip1,pos:28,+cov;2019-10-11 17:42:56.602283478;2488;2327;163
id:000014,src:000000,op:flip1,pos:28,+cov;2019-10-11 17:42:56.614283323;2489;2325;164
id:000015,src:000000,op:flip1,pos:28;2019-10-11 17:42:56.630283356;2489;2313;164
id:000016,src:000000,op:flip1,pos:29,+cov;2019-10-11 17:42:56.634283304;2498;374;173
id:000017,src:000000,op:flip1,pos:29,+cov;2019-10-11 17:42:56.646283150;2518;2322;193
id:000018,src:000000,op:flip1,pos:32,+cov;2019-10-11 17:42:56.658282995;2527;496;202
id:000019,src:000000,op:flip1,pos:32,+cov;2019-10-11 17:42:56.662282944;2528;508;203
id:000020,src:000000,op:flip1,pos:32,+cov;2019-10-11 17:42:56.666282892;2529;320;204
id:000021,src:000000,op:flip1,pos:32,+cov;2019-10-11 17:42:56.666282892;2531;511;206
id:000022,src:000000,op:flip1,pos:33,+cov;2019-10-11 17:42:56.670282841;2532;308;207
id:000023,src:000000,op:flip1,pos:33,+cov;2019-10-11 18:10:36.947453499;2566;601;241
id:000024,src:000000,op:flip1,pos:33;2019-10-11 17:42:56.678282976;2566;506;241
id:000025,src:000000,op:flip1,pos:44;2019-10-11 17:42:56.774281979;2566;2325;241
id:000026,src:000000,op:flip1,pos:44;2019-10-11 17:42:56.786281824;2566;2325;241
id:000027,src:000000,op:flip1,pos:44;2019-10-11 17:42:56.802281857;2566;2325;241
id:000028,src:000000,op:flip1,pos:44;2019-10-11 17:42:56.810281754;2566;2298;241
id:000029,src:000000,op:flip1,pos:46,+cov;2019-10-11 17:42:56.822281599;2568;423;243
id:000030,src:000000,op:flip1,pos:48,+cov;2019-10-11 17:42:56.830281496;2570;509;245
id:000031,src:000000,op:flip1,pos:48,+cov;2019-10-11 18:10:37.615447521;2586;594;261
id:000032,src:000000,op:flip1,pos:48;2019-10-11 17:42:56.834281445;2586;514;261
id:000033,src:000000,op:flip1,pos:50,+cov;2019-10-11 17:42:56.842281342;2609;474;284
id:000034,src:000000,op:flip1,pos:50,+cov;2019-10-11 17:42:56.854281187;2631;2228;306
id:000035,src:000000,op:flip1,pos:52,+cov;2019-10-11 17:42:56.878281116;2632;2326;307
id:000036,src:000000,op:flip1,pos:84;2019-10-11 17:42:57.214277983;2632;2325;307
