filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:test;2019-10-21 15:45:21.512081385;2325;2325;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-21 15:56:26.518252373;2372;350;47
id:000002,src:000001,op:flip1,pos:0,+cov;2019-10-21 15:56:26.530252218;2381;308;56
id:000003,src:000002,op:flip1,pos:0,+cov;2019-10-21 15:56:26.534252167;2384;350;59
id:000004,src:000000,op:havoc,rep:64,+cov;2019-10-21 15:56:52.538024664;2385;320;60
id:000005,src:000000,op:havoc,rep:128,+cov;2019-10-21 15:56:47.930065155;2389;308;64
id:000006,src:000000,op:havoc,rep:64,+cov;2019-10-21 15:56:57.621980429;2444;496;119
id:000007,src:000000,op:havoc,rep:32,+cov;2019-10-21 15:56:50.014046907;2446;358;121
id:000008,src:000000,op:havoc,rep:8,+cov;2019-10-21 15:56:26.626251459;2453;551;128
id:000009,src:000000,op:havoc,rep:16,+cov;2019-10-21 15:56:28.774232626;2455;497;130
id:000010,src:000000,op:havoc,rep:8;2019-10-21 15:57:28.445710897;2455;514;130
id:000011,src:000000,op:havoc,rep:8;2019-10-21 15:56:26.646251202;2455;2316;130
id:000012,src:000000,op:havoc,rep:4;2019-10-21 15:56:26.658251047;2455;2325;130
id:000013,src:000000,op:havoc,rep:64;2019-10-21 15:56:51.106037378;2455;505;130
id:000014,src:000000,op:havoc,rep:4,+cov;2019-10-21 15:56:26.674250841;2456;2326;131
id:000015,src:000000,op:havoc,rep:32,+cov;2019-10-21 15:56:46.906074047;2457;423;132
id:000016,src:000000,op:havoc,rep:16,+cov;2019-10-21 15:57:26.417728662;2458;505;133
id:000017,src:000000,op:havoc,rep:2;2019-10-21 15:56:26.698250771;2458;2323;133
id:000018,src:000000,op:havoc,rep:4,+cov;2019-10-21 15:56:26.710250616;2472;2336;147
id:000019,src:000000,op:havoc,rep:2;2019-10-21 15:56:26.726250410;2472;2325;147
id:000020,src:000000,op:havoc,rep:2,+cov;2019-10-21 15:56:26.742250443;2476;2329;151
id:000021,src:000000,op:havoc,rep:4,+cov;2019-10-21 15:56:30.290219307;2479;324;154
id:000022,src:000000,op:havoc,rep:16;2019-10-21 15:56:31.258210897;2479;507;154
id:000023,src:000000,op:havoc,rep:4;2019-10-21 15:56:26.762250185;2479;2325;154
id:000024,src:000000,op:havoc,rep:16,+cov;2019-10-21 15:56:26.774250031;2512;936;187
id:000025,src:000000,op:havoc,rep:2,+cov;2019-10-21 15:56:26.790249825;2513;2326;188
id:000026,src:000000,op:havoc,rep:2,+cov;2019-10-21 15:56:26.806249857;2515;2327;190
id:000027,src:000000,op:havoc,rep:64,+cov;2019-10-21 15:56:32.250202179;2519;346;194
id:000028,src:000000,op:havoc,rep:128,+cov;2019-10-21 15:56:32.274201870;2522;409;197
id:000029,src:000000,op:havoc,rep:128;2019-10-21 15:56:32.298201799;2522;361;197
id:000030,src:000000,op:havoc,rep:2,+cov;2019-10-21 15:56:32.706198215;2523;462;198
id:000031,src:000000,op:havoc,rep:8;2019-10-21 15:56:54.550007105;2523;507;198
id:000032,src:000000,op:havoc,rep:4;2019-10-21 15:56:26.854249239;2523;2323;198
id:000033,src:000000,op:havoc,rep:16;2019-10-21 15:57:14.373833895;2523;506;198
id:000034,src:000000,op:havoc,rep:8,+cov;2019-10-21 15:56:26.882249117;2542;2362;217
id:000035,src:000000,op:havoc,rep:4,+cov;2019-10-21 15:56:26.902248859;2548;2344;223
id:000036,src:000000,op:havoc,rep:8,+cov;2019-10-21 15:56:26.918248892;2558;2370;233
id:000037,src:000000,op:havoc,rep:4,+cov;2019-10-21 15:56:26.934248686;2586;2385;261
id:000038,src:000000,op:havoc,rep:64;2019-10-21 15:57:07.625892878;2586;515;261
id:000039,src:000000,op:havoc,rep:2,+cov;2019-10-21 15:56:26.974248409;2587;2326;262
id:000040,src:000000,op:havoc,rep:16,+cov;2019-10-21 15:56:26.986248255;2593;1059;268
id:000041,src:000000,op:havoc,rep:16,+cov;2019-10-21 15:57:16.413815975;2597;426;272
id:000042,src:000000,op:havoc,rep:128;2019-10-21 15:56:35.614172697;2597;490;272
id:000043,src:000000,op:havoc,rep:8,+cov;2019-10-21 15:56:27.010247946;2609;670;284
id:000044,src:000000,op:havoc,rep:4;2019-10-21 15:56:27.026247740;2609;2356;284
id:000045,src:000000,op:havoc,rep:128,+cov;2019-10-21 15:56:36.686163425;2613;350;288
id:000046,src:000000,op:havoc,rep:4;2019-10-21 15:56:27.054247618;2613;2324;288
id:000047,src:000000,op:havoc,rep:8;2019-10-21 15:56:27.074247360;2613;2341;288
id:000048,src:000000,op:havoc,rep:64,+cov;2019-10-21 15:57:18.485797882;2614;471;289
id:000049,src:000000,op:havoc,rep:2;2019-10-21 15:56:27.098247290;2614;752;289
id:000050,src:000000,op:havoc,rep:2,+cov;2019-10-21 15:56:27.114247084;2623;2326;298
id:000051,src:000000,op:havoc,rep:2,+cov;2019-10-21 15:56:27.126246929;2635;1917;310
id:000052,src:000000,op:havoc,rep:128,+cov;2019-10-21 15:56:37.682154655;2637;360;312
id:000053,src:000000,op:havoc,rep:4,+cov;2019-10-21 15:56:27.146246910;2640;2361;315
id:000054,src:000000,op:havoc,rep:4,+cov;2019-10-21 15:56:38.222149849;2642;510;317
id:000055,src:000000,op:havoc,rep:8,+cov;2019-10-21 15:56:38.246149778;2646;364;321
id:000056,src:000000,op:havoc,rep:2,+cov;2019-10-21 15:56:27.202246428;2648;2360;323
id:000057,src:000000,op:havoc,rep:128,+cov;2019-10-21 15:56:38.758145332;2656;420;331
id:000058,src:000000,op:havoc,rep:4;2019-10-21 15:56:27.242245913;2656;2327;331
id:000059,src:000000,op:havoc,rep:4;2019-10-21 15:56:27.254245758;2656;2325;331
id:000060,src:000000,op:havoc,rep:64,+cov;2019-10-21 15:56:38.782145023;2658;424;333
id:000061,src:000000,op:havoc,rep:2;2019-10-21 15:56:27.274245739;2658;696;333
id:000062,src:000000,op:havoc,rep:32;2019-10-21 15:57:16.913811684;2658;508;333
id:000063,src:000000,op:havoc,rep:2;2019-10-21 15:56:27.306245327;2658;2325;333
id:000064,src:000000,op:havoc,rep:4,+cov;2019-10-21 15:56:27.314245224;2659;720;334
id:000065,src:000000,op:havoc,rep:4,+cov;2019-10-21 15:56:27.330245256;2684;2342;359
id:000066,src:000000,op:havoc,rep:8,+cov;2019-10-21 15:56:27.354244947;2685;2358;360
id:000067,src:000000,op:havoc,rep:4;2019-10-21 15:56:27.374244928;2685;2328;360
id:000068,src:000000,op:havoc,rep:2,+cov;2019-10-21 15:56:27.390244722;2686;2325;361
id:000069,src:000000,op:havoc,rep:4;2019-10-21 15:57:09.145879507;2686;507;361
id:000070,src:000000,op:havoc,rep:2,+cov;2019-10-21 15:56:27.430244207;2690;2329;365
id:000071,src:000000,op:havoc,rep:8,+cov;2019-10-21 15:56:27.454244137;2696;2333;371
