filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:test;2019-10-29 12:44:34.721857786;2325;2325;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-29 12:44:34.657858372;2372;350;47
id:000002,src:000000,op:flip1,pos:1,+cov;2019-10-29 12:44:34.725857735;2376;346;51
id:000003,src:000000,op:flip1,pos:2,+cov;2019-10-29 12:44:34.693858147;2382;350;57
id:000004,src:000000,op:flip1,pos:3,+cov;2019-10-29 12:44:34.701858044;2388;354;63
id:000005,src:000000,op:flip1,pos:4,+cov;2019-10-29 12:44:34.725857735;2393;360;68
id:000006,src:000000,op:flip1,pos:5,+cov;2019-10-29 12:44:34.673858166;2398;364;73
id:000007,src:000000,op:flip1,pos:6,+cov;2019-10-29 12:44:34.709857941;2427;409;102
id:000008,src:000000,op:flip1,pos:7,+cov;2019-10-29 12:44:34.693858147;2429;2326;104
id:000009,src:000000,op:flip1,pos:16,+cov;2019-10-29 12:44:34.721857786;2440;2163;115
id:000010,src:000000,op:flip1,pos:16,+cov;2019-10-29 12:44:34.693858147;2442;2324;117
id:000011,src:000000,op:flip1,pos:18,+cov;2019-10-29 12:44:34.669858217;2481;1231;156
id:000012,src:000000,op:flip1,pos:28,+cov;2019-10-29 12:44:34.721857786;2483;2309;158
id:000013,src:000000,op:flip1,pos:28,+cov;2019-10-29 12:44:34.685858250;2488;2327;163
id:000014,src:000000,op:flip1,pos:28,+cov;2019-10-29 12:44:34.661858320;2489;2325;164
id:000015,src:000000,op:flip1,pos:28;2019-10-29 12:44:34.709857941;2489;2300;164
id:000016,src:000000,op:flip1,pos:28;2019-10-29 12:44:34.717857838;2489;2313;164
id:000017,src:000000,op:flip1,pos:29,+cov;2019-10-29 12:44:34.721857786;2498;374;173
id:000018,src:000000,op:flip1,pos:29,+cov;2019-10-29 12:44:34.689858198;2518;2322;193
id:000019,src:000000,op:flip1,pos:32,+cov;2019-10-29 12:44:34.705857992;2527;496;202
id:000020,src:000000,op:flip1,pos:32,+cov;2019-10-29 12:44:34.689858198;2528;508;203
id:000021,src:000000,op:flip1,pos:32,+cov;2019-10-29 12:44:34.697858095;2529;320;204
id:000022,src:000000,op:flip1,pos:32,+cov;2019-10-29 12:44:34.657858372;2531;511;206
id:000023,src:000000,op:flip1,pos:33;2019-10-29 12:44:34.685858250;2532;308;207
id:000024,src:000000,op:flip1,pos:33,+cov;2019-10-29 12:44:34.705857992;2566;601;241
id:000025,src:000000,op:flip1,pos:33;2019-10-29 12:44:34.701858044;2566;506;241
id:000026,src:000000,op:flip1,pos:44;2019-10-29 12:44:34.705857992;2566;2325;241
id:000027,src:000000,op:flip1,pos:44;2019-10-29 12:44:34.705857992;2566;2325;241
id:000028,src:000000,op:flip1,pos:44,+cov;2019-10-29 12:44:34.701858044;2566;2325;241
id:000029,src:000000,op:flip1,pos:44;2019-10-29 12:44:34.725857735;2566;2298;241
id:000030,src:000000,op:flip1,pos:44;2019-10-29 12:44:34.713857889;2566;2325;241
id:000031,src:000000,op:flip1,pos:45;2019-10-29 12:44:34.693858147;2566;378;241
id:000032,src:000000,op:flip1,pos:46,+cov;2019-10-29 12:44:34.713857889;2568;423;243
id:000033,src:000000,op:flip1,pos:48,+cov;2019-10-29 12:44:34.665858269;2570;509;245
id:000034,src:000000,op:flip1,pos:48,+cov;2019-10-29 12:44:34.693858147;2586;594;261
id:000035,src:000000,op:flip1,pos:48,+cov;2019-10-29 12:44:34.685858250;2586;514;261
id:000036,src:000000,op:flip1,pos:50,+cov;2019-10-29 12:44:34.725857735;2609;474;284
id:000037,src:000000,op:flip1,pos:50,+cov;2019-10-29 12:44:34.661858320;2631;2228;306
id:000038,src:000000,op:flip1,pos:52,+cov;2019-10-29 12:44:34.697858095;2632;2326;307
id:000039,src:000000,op:flip1,pos:84;2019-10-29 12:44:34.705857992;2632;2325;307
id:000040,src:000000,op:flip1,pos:116;2019-10-29 12:44:34.665858269;2632;2325;307
id:000041,src:000000,op:flip1,pos:121;2019-10-29 12:44:34.717857838;2632;2326;307
id:000042,src:000000,op:flip1,pos:121;2019-10-29 12:44:34.721857786;2632;2326;307
id:000043,src:000000,op:flip1,pos:121;2019-10-29 12:44:34.657858372;2632;2327;307
id:000044,src:000000,op:flip1,pos:121;2019-10-29 12:44:34.657858372;2632;2327;307
id:000045,src:000000,op:flip1,pos:125;2019-10-29 12:44:34.673858166;2633;2328;308
id:000046,src:000000,op:flip1,pos:125;2019-10-29 12:44:34.713857889;2633;2328;308
id:000047,src:000000,op:flip1,pos:125;2019-10-29 12:44:34.669858217;2633;2328;308
id:000048,src:000000,op:flip1,pos:132;2019-10-29 12:44:34.669858217;2633;2327;308
id:000049,src:000000,op:flip1,pos:133;2019-10-29 12:44:34.693858147;2633;2324;308
id:000050,src:000000,op:flip1,pos:133;2019-10-29 12:44:34.713857889;2633;2327;308
id:000051,src:000000,op:flip1,pos:133;2019-10-29 12:44:34.709857941;2633;2327;308
id:000052,src:000000,op:flip1,pos:137;2019-10-29 12:44:34.693858147;2633;2327;308
id:000053,src:000000,op:flip1,pos:152;2019-10-29 12:44:34.689858198;2633;2326;308
id:000054,src:000000,op:flip1,pos:156;2019-10-29 12:44:34.717857838;2633;2327;308
id:000055,src:000000,op:flip1,pos:340,+cov;2019-10-29 12:44:34.677858353;2634;2326;309
id:000056,src:000000,op:flip1,pos:340;2019-10-29 12:44:34.657858372;2634;2325;309
id:000057,src:000000,op:flip1,pos:340,+cov;2019-10-29 12:44:34.685858250;2635;2326;310
id:000058,src:000000,op:flip1,pos:340;2019-10-29 12:44:34.701858044;2635;2325;310
id:000059,src:000000,op:flip1,pos:340;2019-10-29 12:44:34.665858269;2635;2325;310
id:000060,src:000000,op:flip1,pos:341;2019-10-29 12:44:34.685858250;2635;2325;310
id:000061,src:000000,op:flip1,pos:341;2019-10-29 12:44:34.669858217;2635;2325;310
id:000062,src:000000,op:flip1,pos:341;2019-10-29 12:44:34.685858250;2635;2323;310
id:000063,src:000000,op:flip1,pos:342,+cov;2019-10-29 12:44:34.717857838;2636;2326;311
id:000064,src:000000,op:flip1,pos:342;2019-10-29 12:44:34.693858147;2636;2325;311
id:000065,src:000000,op:flip1,pos:342;2019-10-29 12:44:34.729857683;2636;2323;311
id:000066,src:000000,op:flip1,pos:344;2019-10-29 12:44:34.697858095;2636;2325;311
id:000067,src:000000,op:flip1,pos:349;2019-10-29 12:44:34.713857889;2636;2326;311
id:000068,src:000000,op:flip1,pos:350;2019-10-29 12:44:34.657858372;2636;2324;311
id:000069,src:000000,op:flip1,pos:356,+cov;2019-10-29 12:44:34.693858147;2637;2325;312
id:000070,src:000000,op:flip1,pos:356,+cov;2019-10-29 12:44:34.717857838;2640;2328;315
id:000071,src:000000,op:flip1,pos:356;2019-10-29 12:44:34.661858320;2640;2324;315
id:000072,src:000000,op:flip1,pos:357;2019-10-29 12:44:34.717857838;2640;2324;315
id:000073,src:000000,op:flip1,pos:357,+cov;2019-10-29 12:44:34.661858320;2643;2327;318
id:000074,src:000000,op:flip1,pos:358,+cov;2019-10-29 12:44:34.685858250;2643;2327;318
id:000075,src:000000,op:flip1,pos:358,+cov;2019-10-29 12:44:34.669858217;2647;2331;322
