filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:test;2019-11-06 12:30:45.051915169;1177;1177;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-11-09 08:04:00.366027594;1183;82;6
id:000002,src:000000,op:flip1,pos:4,+cov;2019-11-09 08:04:00.378027439;1187;1180;10
id:000003,src:000000,op:flip1,pos:4,+cov;2019-11-09 08:04:00.386027336;1188;1178;11
id:000004,src:000000,op:flip1,pos:5,+cov;2019-11-09 08:04:00.390027285;1192;1180;15
id:000005,src:000000,op:flip1,pos:5,+cov;2019-11-09 08:04:00.398027182;1193;1178;16
id:000006,src:000000,op:flip1,pos:6,+cov;2019-11-09 08:04:00.402027369;1195;1178;18
id:000007,src:000000,op:flip1,pos:6,+cov;2019-11-09 08:04:00.406027317;1197;1179;20
id:000008,src:000000,op:flip1,pos:7,+cov;2019-11-09 08:04:00.410027266;1203;1181;26
id:000009,src:000000,op:flip1,pos:7,+cov;2019-11-09 08:04:00.414027214;1204;1177;27
id:000010,src:000000,op:flip1,pos:7,+cov;2019-11-09 08:04:00.422027111;1205;1178;28
id:000011,src:000000,op:flip1,pos:16,+cov;2019-11-09 08:04:00.454026699;1209;1179;32
id:000012,src:000000,op:flip1,pos:18,+cov;2019-11-09 08:04:00.466026783;1241;1176;64
id:000013,src:000000,op:flip1,pos:18,+cov;2019-11-09 08:04:00.470026731;1257;1173;80
id:000014,src:000000,op:flip1,pos:18,+cov;2019-11-09 08:04:00.474026680;1273;1181;96
id:000015,src:000000,op:flip1,pos:18,+cov;2019-11-09 08:04:00.478026628;1286;1187;109
id:000016,src:000000,op:flip1,pos:18,+cov;2019-11-09 08:04:00.482026577;1293;1179;116
id:000017,src:000000,op:flip1,pos:18,+cov;2019-11-09 08:04:00.486026525;1299;1175;122
id:000018,src:000000,op:flip1,pos:18,+cov;2019-11-09 08:04:00.490026474;1303;1172;126
id:000019,src:000000,op:flip1,pos:18,+cov;2019-11-09 08:04:00.494026423;1317;1188;140
id:000020,src:000000,op:flip1,pos:19,+cov;2019-11-09 08:04:00.498026371;1333;1176;156
id:000021,src:000000,op:flip1,pos:19,+cov;2019-11-09 08:04:00.502026320;1339;1176;162
id:000022,src:000000,op:flip1,pos:19,+cov;2019-11-09 08:04:00.506026267;1340;1175;163
id:000023,src:000000,op:flip1,pos:19,+cov;2019-11-09 08:04:00.510026216;1350;1179;173
id:000024,src:000000,op:flip1,pos:28,+cov;2019-11-09 08:04:00.546025991;1384;1063;207
id:000025,src:000000,op:flip1,pos:28,+cov;2019-11-09 08:04:00.550025940;1387;1176;210
id:000026,src:000000,op:flip1,pos:28,+cov;2019-11-09 08:04:00.554025888;1391;1178;214
id:000027,src:000000,op:flip1,pos:28,+cov;2019-11-09 08:04:00.558025837;1419;817;242
id:000028,src:000000,op:flip1,pos:28;2019-11-09 08:04:00.562025785;1419;802;242
id:000029,src:000000,op:flip1,pos:28,+cov;2019-11-09 08:04:00.566025734;1420;821;243
id:000030,src:000000,op:flip1,pos:28;2019-11-09 08:04:00.566025734;1420;815;243
id:000031,src:000000,op:flip1,pos:28,+cov;2019-11-09 08:04:00.570025682;1422;823;245
id:000032,src:000000,op:flip1,pos:29,+cov;2019-11-09 08:04:00.574025631;1429;728;252
id:000033,src:000000,op:flip1,pos:29;2019-11-09 08:04:00.578025579;1429;806;252
id:000034,src:000000,op:flip1,pos:29;2019-11-09 08:04:00.582025766;1429;795;252
id:000035,src:000000,op:flip1,pos:29;2019-11-09 08:04:00.586025715;1429;804;252
id:000036,src:000000,op:flip1,pos:29,+cov;2019-11-09 08:04:00.590025663;1442;1189;265
id:000037,src:000000,op:flip1,pos:29,+cov;2019-11-09 08:04:00.594025612;1445;796;268
