filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:test;2019-11-06 12:30:48.219883919;1177;1177;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-11-09 08:03:27.490318298;1183;82;6
id:000002,src:000000,op:flip1,pos:4,+cov;2019-11-09 08:03:27.498318434;1187;1180;10
id:000003,src:000000,op:flip1,pos:4,+cov;2019-11-09 08:03:27.506318331;1188;1178;11
id:000004,src:000000,op:flip1,pos:5,+cov;2019-11-09 08:03:27.510318279;1192;1180;15
id:000005,src:000000,op:flip1,pos:5,+cov;2019-11-09 08:03:27.518318175;1193;1178;16
id:000006,src:000000,op:flip1,pos:6,+cov;2019-11-09 08:03:27.522318124;1195;1178;18
id:000007,src:000000,op:flip1,pos:6,+cov;2019-11-09 08:03:27.526318073;1197;1179;20
id:000008,src:000000,op:flip1,pos:7,+cov;2019-11-09 08:03:27.530318022;1203;1181;26
id:000009,src:000000,op:flip1,pos:7,+cov;2019-11-09 08:03:27.534317970;1204;1177;27
id:000010,src:000000,op:flip1,pos:7,+cov;2019-11-09 08:03:27.542317867;1205;1178;28
id:000011,src:000000,op:flip1,pos:16,+cov;2019-11-09 08:03:27.574317694;1209;1179;32
id:000012,src:000000,op:flip1,pos:18,+cov;2019-11-09 08:03:27.582317591;1241;1176;64
id:000013,src:000000,op:flip1,pos:18,+cov;2019-11-09 08:03:27.586317539;1257;1173;80
id:000014,src:000000,op:flip1,pos:18,+cov;2019-11-09 08:03:27.590317488;1273;1181;96
id:000015,src:000000,op:flip1,pos:18,+cov;2019-11-09 08:03:27.594317436;1286;1187;109
id:000016,src:000000,op:flip1,pos:18,+cov;2019-11-09 08:03:27.598317385;1293;1179;116
id:000017,src:000000,op:flip1,pos:18,+cov;2019-11-09 08:03:27.602317333;1299;1175;122
id:000018,src:000000,op:flip1,pos:18,+cov;2019-11-09 08:03:27.606317282;1303;1172;126
id:000019,src:000000,op:flip1,pos:18,+cov;2019-11-09 08:03:27.610317230;1317;1188;140
id:000020,src:000000,op:flip1,pos:19,+cov;2019-11-09 08:03:27.614317417;1333;1176;156
id:000021,src:000000,op:flip1,pos:19,+cov;2019-11-09 08:03:27.618317366;1339;1176;162
id:000022,src:000000,op:flip1,pos:19,+cov;2019-11-09 08:03:27.622317314;1340;1175;163
id:000023,src:000000,op:flip1,pos:19,+cov;2019-11-09 08:03:27.626317263;1350;1179;173
id:000024,src:000000,op:flip1,pos:28,+cov;2019-11-09 08:03:27.662316799;1384;1063;207
id:000025,src:000000,op:flip1,pos:28,+cov;2019-11-09 08:03:27.666316748;1387;1176;210
id:000026,src:000000,op:flip1,pos:28,+cov;2019-11-09 08:03:27.670316935;1391;1178;214
id:000027,src:000000,op:flip1,pos:28,+cov;2019-11-09 08:03:27.674316883;1419;817;242
id:000028,src:000000,op:flip1,pos:28;2019-11-09 08:03:27.678316832;1419;802;242
id:000029,src:000000,op:flip1,pos:28,+cov;2019-11-09 08:03:27.678316832;1420;821;243
id:000030,src:000000,op:flip1,pos:28;2019-11-09 08:03:27.682316780;1420;815;243
id:000031,src:000000,op:flip1,pos:28,+cov;2019-11-09 08:03:27.686316729;1422;823;245
id:000032,src:000000,op:flip1,pos:29,+cov;2019-11-09 08:03:27.690316677;1429;728;252
id:000033,src:000000,op:flip1,pos:29;2019-11-09 08:03:27.694316626;1429;806;252
