filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:test;2019-11-06 12:31:03.555732489;1177;1177;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-11-06 12:42:34.140955925;1183;82;6
id:000002,src:000001,op:flip1,pos:0,+cov;2019-11-06 12:42:34.144955873;1263;424;86
id:000003,src:000000,op:havoc,rep:2,+cov;2019-11-06 12:42:34.596951485;1264;1178;87
id:000004,src:000000,op:havoc,rep:64,+cov;2019-11-06 12:42:35.764940023;1277;409;100
id:000005,src:000000,op:havoc,rep:64,+cov;2019-11-06 12:42:36.196935654;1286;274;109
id:000006,src:000003,op:flip1,pos:4,+cov;2019-11-06 12:42:35.292944670;1290;1181;113
id:000007,src:000003,op:flip1,pos:4,+cov;2019-11-06 12:42:35.304944515;1291;1179;114
id:000008,src:000003,op:flip1,pos:5,+cov;2019-11-06 12:42:35.308944464;1295;1181;118
id:000009,src:000000,op:havoc,rep:2,+cov;2019-11-06 12:42:38.720910788;1382;905;205
id:000010,src:000000,op:havoc,rep:8,+cov;2019-11-06 12:42:39.284905434;1394;618;217
id:000011,src:000000,op:havoc,rep:32,+cov;2019-11-06 12:42:39.992898464;1467;706;290
id:000012,src:000000,op:havoc,rep:128;2019-11-06 12:43:26.860438108;1467;424;290
id:000013,src:000000,op:havoc,rep:4,+cov;2019-11-06 12:42:40.688891649;1468;639;291
id:000014,src:000000,op:havoc,rep:8,+cov;2019-11-06 12:43:40.388305187;1470;688;293
id:000015,src:000000,op:havoc,rep:32,+cov;2019-11-06 12:42:41.316885471;1478;673;301
id:000016,src:000015,op:flip1,pos:5,+cov;2019-11-06 12:42:41.360884905;1479;674;302
id:000017,src:000015,op:flip1,pos:6,+cov;2019-11-06 12:42:41.364884853;1481;674;304
id:000018,src:000015,op:flip1,pos:6,+cov;2019-11-06 12:42:41.372884750;1483;675;306
id:000019,src:000015,op:flip1,pos:7,+cov;2019-11-06 12:42:41.380884886;1489;677;312
id:000020,src:000015,op:flip1,pos:7,+cov;2019-11-06 12:42:41.384884834;1490;673;313
id:000021,src:000015,op:flip1,pos:7,+cov;2019-11-06 12:42:41.388884783;1491;674;314
id:000022,src:000015,op:flip1,pos:16,+cov;2019-11-06 12:42:41.456883907;1495;675;318
id:000023,src:000015,op:flip1,pos:18,+cov;2019-11-06 12:42:41.476883888;1508;671;331
id:000024,src:000015,op:flip1,pos:18,+cov;2019-11-06 12:42:41.480883837;1516;674;339
id:000025,src:000015,op:flip1,pos:18,+cov;2019-11-06 12:42:41.484883785;1525;676;348
id:000026,src:000015,op:flip1,pos:18,+cov;2019-11-06 12:42:41.488883734;1527;676;350
id:000027,src:000015,op:flip1,pos:18,+cov;2019-11-06 12:42:41.492883682;1528;673;351
id:000028,src:000015,op:flip1,pos:18,+cov;2019-11-06 12:42:41.496883631;1532;674;355
id:000029,src:000015,op:flip1,pos:18,+cov;2019-11-06 12:42:41.504883528;1533;670;356
id:000030,src:000015,op:flip1,pos:18,+cov;2019-11-06 12:42:41.508883475;1534;673;357
id:000031,src:000015,op:flip1,pos:19,+cov;2019-11-06 12:42:41.512883424;1545;674;368
id:000032,src:000015,op:flip1,pos:19,+cov;2019-11-06 12:42:41.516883373;1548;673;371
id:000033,src:000015,op:flip1,pos:19,+cov;2019-11-06 12:42:41.520883322;1549;672;372
id:000034,src:000015,op:flip1,pos:19,+cov;2019-11-06 12:42:41.524883270;1556;674;379
id:000035,src:000015,op:flip1,pos:28,+cov;2019-11-06 12:42:54.304757833;1572;623;395
id:000036,src:000015,op:flip1,pos:28,+cov;2019-11-06 12:42:41.596882582;1578;678;401
id:000037,src:000015,op:flip1,pos:28,+cov;2019-11-06 12:42:41.604882479;1582;673;405
id:000038,src:000015,op:flip1,pos:28,+cov;2019-11-06 12:43:12.024583817;1583;270;406
id:000039,src:000015,op:flip1,pos:28,+cov;2019-11-06 12:42:56.028740883;1595;319;418
id:000040,src:000015,op:flip1,pos:28;2019-11-06 12:44:08.804025888;1595;270;418
id:000041,src:000015,op:flip1,pos:28,+cov;2019-11-06 12:44:26.671850443;1597;278;420
id:000042,src:000015,op:flip1,pos:29,+cov;2019-11-06 12:42:56.440736771;1603;223;426
id:000043,src:000015,op:flip1,pos:29;2019-11-06 12:43:58.056131601;1603;262;426
id:000044,src:000015,op:flip1,pos:29;2019-11-06 12:43:59.332118988;1603;371;426
id:000045,src:000015,op:flip1,pos:29;2019-11-06 12:44:12.255991935;1603;280;426
id:000046,src:000015,op:flip1,pos:33,+cov;2019-11-06 12:42:57.028731108;1610;657;433
id:000047,src:000015,op:flip1,pos:33;2019-11-06 12:42:57.732724190;1610;850;433
id:000048,src:000015,op:flip1,pos:33,+cov;2019-11-06 12:42:58.528716325;1628;918;451
id:000049,src:000015,op:flip1,pos:33;2019-11-06 12:44:15.343961716;1628;917;451
id:000050,src:000015,op:flip1,pos:33;2019-11-06 12:44:55.667565346;1628;917;451
id:000051,src:000015,op:flip1,pos:36,+cov;2019-11-06 12:42:41.708881617;1635;679;458
id:000052,src:000015,op:flip1,pos:42;2019-11-06 12:42:41.756880999;1635;674;458
id:000053,src:000015,op:flip1,pos:42,+cov;2019-11-06 12:42:59.572705984;1636;218;459
id:000054,src:000015,op:flip1,pos:43;2019-11-06 12:43:58.472127438;1636;227;459
id:000055,src:000015,op:flip1,pos:44,+cov;2019-11-06 12:43:00.160700321;1638;439;461
id:000056,src:000015,op:flip1,pos:44;2019-11-06 12:44:01.556097269;1638;438;461
id:000057,src:000015,op:flip1,pos:44;2019-11-06 12:44:04.060072660;1638;438;461
id:000058,src:000015,op:flip1,pos:44;2019-11-06 12:43:00.652695417;1638;438;461
id:000059,src:000015,op:flip1,pos:44;2019-11-06 12:43:48.240227938;1638;258;461
id:000060,src:000015,op:flip1,pos:44,+cov;2019-11-06 12:43:01.272689342;1657;701;480
id:000061,src:000015,op:flip1,pos:44,+cov;2019-11-06 12:43:01.888683319;1664;692;487
id:000062,src:000015,op:flip1,pos:44,+cov;2019-11-06 12:42:41.808880568;1681;684;504
id:000063,src:000015,op:flip1,pos:46,+cov;2019-11-06 12:42:41.820880413;1682;670;505
id:000064,src:000015,op:flip1,pos:46,+cov;2019-11-06 12:43:03.100671530;1684;646;507
id:000065,src:000015,op:flip1,pos:47,+cov;2019-11-06 12:43:03.700665474;1685;654;508
id:000066,src:000015,op:flip1,pos:48;2019-11-06 12:42:41.852880239;1685;864;508
id:000067,src:000015,op:flip1,pos:48;2019-11-06 12:43:24.016465902;1685;868;508
id:000068,src:000015,op:flip1,pos:48,+cov;2019-11-06 12:43:04.428658485;1686;860;509
id:000069,src:000015,op:flip1,pos:52;2019-11-06 12:42:41.896879673;1686;672;509
id:000070,src:000015,op:flip1,pos:52,+cov;2019-11-06 12:43:05.056652308;1692;693;515
id:000071,src:000015,op:flip1,pos:52,+cov;2019-11-06 12:42:41.904879570;1693;674;516
id:000072,src:000015,op:flip1,pos:55;2019-11-06 12:42:41.924879313;1693;676;516
id:000073,src:000046,op:flip1,pos:0;2019-11-06 12:43:05.724645615;1693;73;516
id:000074,src:000073,op:flip1,pos:0,+cov;2019-11-06 12:43:05.728645563;1694;201;517
id:000075,src:000000,op:havoc,rep:128;2019-11-06 12:43:27.956427336;1694;575;517
id:000076,src:000000,op:havoc,rep:8;2019-11-06 12:43:06.304640055;1694;611;517
