filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
id:000000,orig:test;2019-10-26 19:55:50.089624405;896;896;0
id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-26 20:02:04.954153299;946;347;50
id:000002,src:000001,op:flip1,pos:0,+cov;2019-10-26 20:02:04.954153299;991;393;95
id:000003,src:000000,op:havoc,rep:64,+cov;2019-10-26 20:02:05.522148132;993;405;97
id:000004,src:000000,op:havoc,rep:2,+cov;2019-10-26 20:02:18.318029165;1015;510;119
id:000005,src:000000,op:havoc,rep:4,+cov;2019-10-26 20:02:04.998152971;1017;898;121
id:000006,src:000000,op:havoc,rep:64,+cov;2019-10-26 20:02:06.058143139;1018;504;122
id:000007,src:000000,op:havoc,rep:128,+cov;2019-10-26 20:02:06.174142122;1021;419;125
id:000008,src:000000,op:havoc,rep:128,+cov;2019-10-26 20:02:06.834136009;1029;417;133
id:000009,src:000000,op:havoc,rep:32;2019-10-26 20:02:09.742108822;1029;493;133
id:000010,src:000000,op:havoc,rep:2,+cov;2019-10-26 20:02:05.030152798;1031;900;135
id:000011,src:000000,op:havoc,rep:32;2019-10-26 20:02:10.334103346;1031;502;135
id:000012,src:000000,op:havoc,rep:8,+cov;2019-10-26 20:02:05.042152643;1071;740;175
id:000013,src:000000,op:havoc,rep:8;2019-10-26 20:02:10.930097818;1071;508;175
id:000014,src:000000,op:havoc,rep:4;2019-10-26 20:02:05.058152437;1071;896;175
id:000015,src:000006,op:flip1,pos:1,+cov;2019-10-26 20:02:07.930125713;1075;343;179
id:000016,src:000006,op:flip1,pos:2,+cov;2019-10-26 20:02:07.954125404;1079;347;183
id:000017,src:000006,op:flip1,pos:3,+cov;2019-10-26 20:02:07.978125334;1083;351;187
id:000018,src:000006,op:flip1,pos:4,+cov;2019-10-26 20:02:08.002125025;1085;357;189
id:000019,src:000006,op:flip1,pos:5,+cov;2019-10-26 20:02:08.026124716;1089;361;193
id:000020,src:000006,op:flip1,pos:6,+cov;2019-10-26 20:02:08.054124594;1092;406;196
id:000021,src:000006,op:flip1,pos:7,+cov;2019-10-26 20:02:06.142142296;1094;505;198
id:000022,src:000001,op:havoc,rep:64,+cov;2019-10-26 20:02:08.606119394;1096;347;200
id:000023,src:000018,op:havoc,rep:128,+cov;2019-10-26 20:02:09.754108667;1108;334;212
id:000024,src:000002,op:havoc,rep:32;2019-10-26 20:02:21.869996071;1108;337;212
id:000025,src:000007,op:havoc,rep:32;2019-10-26 20:02:09.774108648;1108;343;212
id:000026,src:000002,op:havoc,rep:128,+cov;2019-10-26 20:02:09.778108597;1112;300;216
