index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:mp4samplemin.mp4;2019-10-14 21:08:08.060465574;0.0;2352;2352;1
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-16 09:05:10.743766069;0.0;2422;1178;71
;id:000003,src:000000,op:flip1,pos:0,+cov;2019-10-16 09:05:10.771765947;0 days 00:00:00.027999;2423;1179;72
;id:000005,src:000000,op:flip1,pos:1,+cov;2019-10-16 09:05:10.795765638;0 days 00:00:00.051999;2426;1148;75
;id:000006,src:000000,op:flip1,pos:1,+cov;2019-10-16 09:05:10.815765381;0 days 00:00:00.071999;2439;1165;88
;id:000008,src:000000,op:flip1,pos:2;2019-10-16 09:05:10.843765259;0 days 00:00:00.099999;2441;1157;90
;id:000010,src:000000,op:flip1,pos:3,+cov;2019-10-16 09:05:10.871764898;0 days 00:00:00.127998;2445;1161;94
;id:000013,src:000000,op:flip1,pos:3,+cov;2019-10-16 09:05:10.915764570;0 days 00:00:00.171998;2451;1496;100
;id:000014,src:000000,op:flip1,pos:13,+cov;2019-10-16 09:05:11.943754911;0 days 00:00:01.199988;2460;2312;107
;id:000015,src:000000,op:flip1,pos:16;2019-10-16 09:05:12.007754326;0 days 00:00:01.263988;2461;2297;108
;id:000016,src:000000,op:flip1,pos:16,+cov;2019-10-16 09:05:12.027754068;0 days 00:00:01.283987;2462;2304;109
;id:000017,src:000000,op:flip1,pos:16;2019-10-16 09:05:12.047754049;0 days 00:00:01.303987;2462;2314;109
;id:000018,src:000000,op:flip1,pos:16,+cov;2019-10-16 09:05:12.067753792;0 days 00:00:01.323987;2464;2318;111
;id:000019,src:000000,op:flip1,pos:16,+cov;2019-10-16 09:05:12.083753586;0 days 00:00:01.339987;2466;2303;113
;id:000021,src:000000,op:flip1,pos:40,+cov;2019-10-16 09:05:12.471750021;0 days 00:00:01.727983;2492;1257;139
;id:000022,src:000000,op:flip1,pos:41;2019-10-16 09:05:12.503749609;0 days 00:00:01.759983;2492;1273;139
;id:000023,src:000000,op:flip1,pos:42;2019-10-16 09:05:12.567749023;0 days 00:00:01.823982;2492;1260;139
;id:000024,src:000000,op:flip1,pos:42;2019-10-16 09:05:12.579749107;0 days 00:00:01.835983;2492;1260;139
;id:000026,src:000000,op:flip1,pos:43;2019-10-16 09:05:12.611748695;0 days 00:00:01.867982;2492;2319;139
;id:000027,src:000000,op:flip1,pos:44;2019-10-16 09:05:12.639748573;0 days 00:00:01.895982;2492;2312;139
;id:000028,src:000000,op:flip1,pos:70,+cov;2019-10-16 09:05:13.087744236;0 days 00:00:02.343978;2493;2310;140
;id:000029,src:000000,op:flip1,pos:73,+cov;2019-10-16 09:05:13.151743650;0 days 00:00:02.407977;2494;2309;141
;id:000030,src:000000,op:flip1,pos:73,+cov;2019-10-16 09:05:13.171743393;0 days 00:00:02.427977;2497;2318;144
;id:000031,src:000000,op:flip1,pos:73,+cov;2019-10-16 09:05:13.191743374;0 days 00:00:02.447977;2500;2320;147
;id:000032,src:000000,op:flip1,pos:73,+cov;2019-10-16 09:05:13.211743116;0 days 00:00:02.467977;2502;2311;149
