index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:mp4samplemin.mp4;2019-10-14 21:08:24.216315508;0.0;2352;2352;1
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-16 09:06:07.907233;0.0;2422;1178;71
;id:000002,src:000000,op:flip1,pos:0,+cov;2019-10-16 09:06:07.923232794;0 days 00:00:00.015999;2423;1181;72
;id:000003,src:000000,op:flip1,pos:0,+cov;2019-10-16 09:06:07.939232826;0 days 00:00:00.031999;2424;1179;73
;id:000005,src:000000,op:flip1,pos:1,+cov;2019-10-16 09:06:07.967232466;0 days 00:00:00.059999;2427;1148;76
;id:000006,src:000000,op:flip1,pos:1,+cov;2019-10-16 09:06:07.987232208;0 days 00:00:00.079999;2440;1165;89
;id:000008,src:000000,op:flip1,pos:2;2019-10-16 09:06:08.011232138;0 days 00:00:00.103999;2442;1157;91
;id:000010,src:000000,op:flip1,pos:3,+cov;2019-10-16 09:06:08.047231674;0 days 00:00:00.139998;2446;1161;95
;id:000013,src:000000,op:flip1,pos:3,+cov;2019-10-16 09:06:08.087231398;0 days 00:00:00.179998;2452;1496;101
;id:000014,src:000000,op:flip1,pos:13,+cov;2019-10-16 09:06:09.083222151;0 days 00:00:01.175989;2460;2311;108
;id:000015,src:000000,op:flip1,pos:16;2019-10-16 09:06:09.151221514;0 days 00:00:01.243988;2461;2297;109
;id:000016,src:000000,op:flip1,pos:16,+cov;2019-10-16 09:06:09.171221256;0 days 00:00:01.263988;2462;2303;110
;id:000017,src:000000,op:flip1,pos:16;2019-10-16 09:06:09.191220999;0 days 00:00:01.283987;2462;2314;110
;id:000018,src:000000,op:flip1,pos:16,+cov;2019-10-16 09:06:09.211220980;0 days 00:00:01.303987;2464;2317;112
;id:000019,src:000000,op:flip1,pos:16,+cov;2019-10-16 09:06:09.231220722;0 days 00:00:01.323987;2466;2302;114
;id:000021,src:000000,op:flip1,pos:40,+cov;2019-10-16 09:06:09.635216951;0 days 00:00:01.727983;2492;1256;140
;id:000022,src:000000,op:flip1,pos:41;2019-10-16 09:06:09.671216726;0 days 00:00:01.763983;2492;1273;140
;id:000023,src:000000,op:flip1,pos:42;2019-10-16 09:06:09.691216469;0 days 00:00:01.783983;2492;1260;140
;id:000024,src:000000,op:flip1,pos:42;2019-10-16 09:06:09.703216314;0 days 00:00:01.795983;2492;1260;140
;id:000026,src:000000,op:flip1,pos:43;2019-10-16 09:06:09.739216089;0 days 00:00:01.831983;2492;2319;140
;id:000027,src:000000,op:flip1,pos:44;2019-10-16 09:06:09.767215729;0 days 00:00:01.859982;2492;2312;140
;id:000028,src:000000,op:flip1,pos:70,+cov;2019-10-16 09:06:10.235211372;0 days 00:00:02.327978;2493;2309;141
