index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:mp4samplemin.mp4;2019-10-20 15:40:38.962660313;0.0;2352;2352;1
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-20 15:41:31.794179440;0.0;2422;1178;71
;id:000002,src:000001,op:flip1,pos:0,+cov;2019-10-20 15:41:34.154157877;0 days 00:00:02.359978;2467;1572;116
;id:000003,src:000002,op:flip1,pos:0,+cov;2019-10-20 15:41:36.022140980;0 days 00:00:04.227961;2481;1185;130
;id:000010,src:000003,op:flip1,pos:0,+cov;2019-10-20 15:41:36.042140722;0 days 00:00:04.247961;2489;1588;138
;id:000004,src:000002,op:flip1,pos:0,+cov;2019-10-20 15:41:37.786124945;0 days 00:00:05.991945;2490;1188;139
;id:000011,src:000004,op:flip1,pos:1,+cov;2019-10-20 15:41:37.830124378;0 days 00:00:06.035944;2493;1187;142
;id:000012,src:000004,op:flip1,pos:1;2019-10-20 15:41:37.850124359;0 days 00:00:06.055944;2494;1189;143
;id:000005,src:000002,op:flip1,pos:0,+cov;2019-10-20 15:41:39.578108549;0 days 00:00:07.783929;2495;1186;144
;id:000013,src:000005,op:flip1,pos:0,+cov;2019-10-20 15:41:39.598108292;0 days 00:00:07.803928;2497;1186;146
;id:000014,src:000005,op:flip1,pos:1,+cov;2019-10-20 15:41:39.634108067;0 days 00:00:07.839928;2499;1188;148
;id:000006,src:000002,op:flip1,pos:0,+cov;2019-10-20 15:41:41.358092308;0 days 00:00:09.563912;2501;1187;150
;id:000015,src:000006,op:flip1,pos:0,+cov;2019-10-20 15:41:41.378092289;0 days 00:00:09.583912;2504;1187;153
;id:000016,src:000006,op:flip1,pos:1,+cov;2019-10-20 15:41:41.414091825;0 days 00:00:09.619912;2505;1187;154
;id:000008,src:000002,op:flip1,pos:1;2019-10-20 15:41:43.150076151;0 days 00:00:11.355896;2506;1154;155
;id:000009,src:000002,op:flip1,pos:2,+cov;2019-10-20 15:41:44.866060495;0 days 00:00:13.071881;2509;1163;158
;id:000017,src:000013,op:flip1,pos:0,+cov;2019-10-20 15:41:52.229993343;0 days 00:00:20.435813;2510;1184;159
;id:000018,src:000013,op:flip1,pos:0,+cov;2019-10-20 15:41:52.253993273;0 days 00:00:20.459813;2515;1182;164
;id:000019,src:000015,op:flip1,pos:0,+cov;2019-10-20 15:41:55.757961273;0 days 00:00:23.963781;2516;1184;165
;id:000020,src:000015,op:flip1,pos:0,+cov;2019-10-20 15:41:55.777961016;0 days 00:00:23.983781;2517;1184;166
;id:000021,src:000018,op:flip1,pos:0,+cov;2019-10-20 15:42:00.997913599;0 days 00:00:29.203734;2518;1184;167
;id:000022,src:000018,op:flip1,pos:0,+cov;2019-10-20 15:42:01.021913290;0 days 00:00:29.227733;2527;1192;176
;id:000023,src:000019,op:flip1,pos:0,+cov;2019-10-20 15:42:02.737897873;0 days 00:00:30.943718;2531;1184;180
;id:000024,src:000020,op:flip1,pos:0,+cov;2019-10-20 15:42:04.473881960;0 days 00:00:32.679702;2533;1187;182
;id:000025,src:000020,op:flip1,pos:0,+cov;2019-10-20 15:42:04.493881702;0 days 00:00:32.699702;2535;1186;184
;id:000026,src:000021,op:flip1,pos:0,+cov;2019-10-20 15:42:06.289865494;0 days 00:00:34.495686;2537;1186;186
;id:000027,src:000022,op:flip1,pos:1,+cov;2019-10-20 15:42:08.445845842;0 days 00:00:36.651666;2540;1189;189
;id:000028,src:000025,op:flip1,pos:0,+cov;2019-10-20 15:42:14.609789848;0 days 00:00:42.815610;2542;1186;191
;id:000029,src:000027,op:flip1,pos:3,+cov;2019-10-20 15:42:18.165757418;0 days 00:00:46.371577;2546;1192;195
;id:000030,src:000000,op:havoc,rep:4,+cov;2019-10-20 15:42:26.121685028;0 days 00:00:54.327505;2550;2323;199
;id:000034,src:000005,op:havoc,rep:64,+cov;2019-10-20 15:42:26.229683876;0 days 00:00:54.435504;2567;1186;215
;id:000031,src:000005,op:havoc,rep:128,+cov;2019-10-20 15:42:27.977668047;0 days 00:00:56.183488;2585;1187;233
;id:000032,src:000005,op:havoc,rep:128,+cov;2019-10-20 15:42:29.681652546;0 days 00:00:57.887473;2587;1180;235
;id:000033,src:000005,op:havoc,rep:128,+cov;2019-10-20 15:42:31.401636839;0 days 00:00:59.607457;2598;1192;246
;id:000036,src:000033,op:flip1,pos:0,+cov;2019-10-20 15:42:31.437636614;0 days 00:00:59.643457;2600;1537;248
;id:000037,src:000006,op:havoc,rep:4;2019-10-20 15:42:35.425600290;0 days 00:01:03.631420;2600;1189;248
;id:000007,src:000002,op:flip1,pos:1,+cov;2019-10-20 15:42:37.121584892;0 days 00:01:05.327405;2600;1155;248
;id:000038,src:000008,op:havoc,rep:128,+cov;2019-10-20 15:42:39.221565723;0 days 00:01:07.427386;2604;1136;252
;id:000039,src:000038,op:flip1,pos:0,+cov;2019-10-20 15:42:39.237565517;0 days 00:01:07.443386;2605;1167;253
;id:000040,src:000038,op:flip1,pos:1;2019-10-20 15:42:39.309565067;0 days 00:01:07.515385;2605;1524;253
;id:000045,src:000012,op:havoc,rep:64;2019-10-20 15:42:41.177547932;0 days 00:01:09.383368;2606;1191;254
;id:000042,src:000012,op:havoc,rep:128,+cov;2019-10-20 15:42:43.081530571;0 days 00:01:11.287351;2609;1186;257
;id:000048,src:000042,op:flip1,pos:2;2019-10-20 15:42:43.153529882;0 days 00:01:11.359350;2609;1185;257
;id:000049,src:000042,op:flip1,pos:3,+cov;2019-10-20 15:42:43.189529657;0 days 00:01:11.395350;2611;1188;259
;id:000050,src:000042,op:flip1,pos:4,+cov;2019-10-20 15:42:43.241529226;0 days 00:01:11.447349;2721;1168;369
;id:000051,src:000042,op:flip1,pos:6,+cov;2019-10-20 15:42:43.361528158;0 days 00:01:11.567348;2726;1169;374
;id:000052,src:000042,op:flip1,pos:7,+cov;2019-10-20 15:42:43.429527521;0 days 00:01:11.635348;2730;1169;378
;id:000053,src:000042,op:flip1,pos:7,+cov;2019-10-20 15:42:43.469527006;0 days 00:01:11.675347;2733;1169;381
;id:000054,src:000042,op:flip1,pos:13,+cov;2019-10-20 15:42:43.641525507;0 days 00:01:11.847346;2740;1177;388
;id:000055,src:000042,op:flip1,pos:16;2019-10-20 15:42:43.725524664;0 days 00:01:11.931345;2740;1162;388
;id:000056,src:000042,op:flip1,pos:16,+cov;2019-10-20 15:42:43.741524696;0 days 00:01:11.947345;2741;1168;389
;id:000057,src:000042,op:flip1,pos:16;2019-10-20 15:42:43.761524439;0 days 00:01:11.967344;2741;1181;389
;id:000058,src:000042,op:flip1,pos:16,+cov;2019-10-20 15:42:43.781524181;0 days 00:01:11.987344;2743;1183;391
;id:000059,src:000042,op:flip1,pos:16,+cov;2019-10-20 15:42:43.801524162;0 days 00:01:12.007344;2745;1167;393
;id:000060,src:000042,op:flip1,pos:42,+cov;2019-10-20 15:42:44.409518480;0 days 00:01:12.615339;2746;1178;394
;id:000046,src:000012,op:havoc,rep:128,+cov;2019-10-20 15:42:46.669497967;0 days 00:01:14.875318;2749;1179;397
;id:000047,src:000038,op:havoc,rep:64,+cov;2019-10-20 15:42:48.201483965;0 days 00:01:16.407304;2773;1116;421
;id:000061,src:000047,op:flip1,pos:0,+cov;2019-10-20 15:42:48.217483997;0 days 00:01:16.423304;2774;1132;422
;id:000062,src:000047,op:flip1,pos:1;2019-10-20 15:42:48.285483360;0 days 00:01:16.491303;2774;1127;422
;id:000063,src:000047,op:flip1,pos:3,+cov;2019-10-20 15:42:48.337482691;0 days 00:01:16.543303;2776;1118;424
;id:000064,src:000047,op:flip1,pos:4,+cov;2019-10-20 15:42:48.389482260;0 days 00:01:16.595302;3490;2372;1138
;id:000065,src:000047,op:flip1,pos:6;2019-10-20 15:42:48.505481242;0 days 00:01:16.711301;3490;2373;1138
;id:000066,src:000047,op:flip1,pos:7;2019-10-20 15:42:48.569480658;0 days 00:01:16.775301;3490;2373;1138
;id:000067,src:000047,op:flip1,pos:7;2019-10-20 15:42:48.601480484;0 days 00:01:16.807301;3490;2373;1138
;id:000068,src:000047,op:flip1,pos:26,+cov;2019-10-20 15:42:49.057476282;0 days 00:01:17.263296;3491;1102;1139
;id:000069,src:000047,op:flip1,pos:54,+cov;2019-10-20 15:42:49.673470736;0 days 00:01:17.879291;3495;1112;1143
;id:000070,src:000047,op:flip1,pos:57,+cov;2019-10-20 15:42:49.753469944;0 days 00:01:17.959290;3499;1105;1147
;id:000071,src:000047,op:flip1,pos:57,+cov;2019-10-20 15:42:49.769469738;0 days 00:01:17.975290;3502;1118;1150
;id:000072,src:000047,op:flip1,pos:57;2019-10-20 15:42:49.789469481;0 days 00:01:17.995290;3502;1119;1150
;id:000073,src:000047,op:flip1,pos:57,+cov;2019-10-20 15:42:49.813469410;0 days 00:01:18.019289;3504;1114;1152
;id:000074,src:000047,op:flip1,pos:60,+cov;2019-10-20 15:42:49.877468824;0 days 00:01:18.083289;3506;1118;1154
;id:000075,src:000047,op:flip1,pos:67;2019-10-20 15:42:50.041467190;0 days 00:01:18.247287;3506;1116;1154
;id:000076,src:000050,op:flip1,pos:0;2019-10-20 15:42:57.205402136;0 days 00:01:25.411222;3506;1165;1154
;id:000077,src:000061,op:flip1,pos:4;2019-10-20 15:43:18.425209045;0 days 00:01:46.631029;3506;1060;1154
;id:000078,src:000063,op:flip1,pos:1,+cov;2019-10-20 15:43:22.101175547;0 days 00:01:50.306996;3514;1124;1162
;id:000079,src:000066,op:flip1,pos:0;2019-10-20 15:43:24.973149300;0 days 00:01:53.178969;3514;1064;1162
;id:000080,src:000066,op:flip1,pos:0;2019-10-20 15:43:25.017148972;0 days 00:01:53.222969;3514;1063;1162
;id:000081,src:000066,op:flip1,pos:0;2019-10-20 15:43:25.057148695;0 days 00:01:53.262969;3514;1062;1162
;id:000082,src:000066,op:flip1,pos:1;2019-10-20 15:43:25.093148232;0 days 00:01:53.298968;3514;1046;1162
;id:000083,src:000066,op:flip1,pos:1;2019-10-20 15:43:25.153147697;0 days 00:01:53.358968;3514;1049;1162
;id:000084,src:000077,op:flip1,pos:3,+cov;2019-10-20 15:43:41.592998028;0 days 00:02:09.798818;3515;1063;1163
;id:000085,src:000077,op:flip1,pos:3,+cov;2019-10-20 15:43:41.628997803;0 days 00:02:09.834818;3516;1062;1164
;id:000086,src:000077,op:flip1,pos:3;2019-10-20 15:43:41.656997442;0 days 00:02:09.862818;3516;1062;1164
;id:000087,src:000080,op:flip1,pos:0;2019-10-20 15:43:46.948949337;0 days 00:02:15.154769;3516;1062;1164
;id:000088,src:000081,op:flip1,pos:0;2019-10-20 15:43:49.904922485;0 days 00:02:18.110743;3516;1063;1164
;id:000089,src:000082,op:flip1,pos:0;2019-10-20 15:43:52.828895807;0 days 00:02:21.034716;3516;1063;1164
