index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:ducks.gif;2019-10-24 19:32:15.801949501;0.0;352;352;0
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-29 12:49:28.719066858;0.0;355;22;3
;id:000002,src:000000,op:flip1,pos:3,+cov;2019-10-29 12:49:29.071063519;0 days 00:00:00.351996;380;374;28
;id:000003,src:000000,op:flip1,pos:10,+cov;2019-10-29 12:49:31.223043203;0 days 00:00:02.503976;421;69;69
;id:000004,src:000000,op:flip1,pos:10,+cov;2019-10-29 12:49:31.379041672;0 days 00:00:02.659974;422;46;70
;id:000005,src:000000,op:flip1,pos:10,+cov;2019-10-29 12:49:31.379041672;0 days 00:00:02.659974;436;75;84
;id:000006,src:000000,op:flip1,pos:10,+cov;2019-10-29 12:49:31.387041569;0 days 00:00:02.667974;437;72;85
;id:000007,src:000000,op:flip1,pos:11,+cov;2019-10-29 12:49:31.743038416;0 days 00:00:03.023971;444;358;92
;id:000008,src:000000,op:flip1,pos:11;2019-10-29 12:49:32.231034279;0 days 00:00:03.511967;444;356;92
;id:000009,src:000000,op:flip1,pos:11,+cov;2019-10-29 12:49:32.623031378;0 days 00:00:03.903964;446;373;94
;id:000010,src:000000,op:flip1,pos:12,+cov;2019-10-29 12:49:33.015028477;0 days 00:00:04.295961;449;378;97
;id:000011,src:000000,op:flip1,pos:13;2019-10-29 12:49:33.639023781;0 days 00:00:04.919956;449;370;97
;id:000012,src:000000,op:flip1,pos:62,+cov;2019-10-29 12:49:48.606910944;0 days 00:00:19.887844;457;75;105
;id:000013,src:000000,op:flip1,pos:62,+cov;2019-10-29 12:49:48.610910892;0 days 00:00:19.891844;460;76;108
;id:000014,src:000000,op:flip1,pos:63,+cov;2019-10-29 12:49:48.614910841;0 days 00:00:19.895843;461;80;109
;id:000015,src:000000,op:flip1,pos:63;2019-10-29 12:49:48.618910789;0 days 00:00:19.899843;461;80;109
;id:000016,src:000000,op:flip1,pos:63;2019-10-29 12:49:48.622910738;0 days 00:00:19.903843;461;80;109
;id:000017,src:000000,op:flip1,pos:63;2019-10-29 12:49:48.626910686;0 days 00:00:19.907843;461;80;109
;id:000018,src:000000,op:flip1,pos:64,+cov;2019-10-29 12:49:49.102907181;0 days 00:00:20.383840;482;389;130
;id:000019,src:000000,op:flip1,pos:64,+cov;2019-10-29 12:49:49.562903643;0 days 00:00:20.843836;486;379;134
;id:000020,src:000000,op:flip1,pos:65,+cov;2019-10-29 12:49:49.914901018;0 days 00:00:21.195834;487;390;135
;id:000021,src:000000,op:flip1,pos:68;2019-10-29 12:49:50.822894096;0 days 00:00:22.103827;487;80;135
;id:000022,src:000000,op:flip1,pos:68;2019-10-29 12:49:50.826894045;0 days 00:00:22.107827;487;80;135
;id:000023,src:000000,op:flip1,pos:68;2019-10-29 12:49:50.830893993;0 days 00:00:22.111827;487;80;135
;id:000024,src:000000,op:flip1,pos:70,+cov;2019-10-29 12:49:51.186891317;0 days 00:00:22.467824;489;377;137
;id:000025,src:000000,op:flip1,pos:74;2019-10-29 12:49:52.738879681;0 days 00:00:24.019812;489;369;137
;id:000026,src:000000,op:flip1,pos:74,+cov;2019-10-29 12:49:53.054877281;0 days 00:00:24.335810;501;213;149
;id:000027,src:000000,op:flip1,pos:74,+cov;2019-10-29 12:49:53.510873794;0 days 00:00:24.791806;503;201;151
;id:000028,src:000000,op:flip1,pos:74,+cov;2019-10-29 12:49:53.834871292;0 days 00:00:25.115804;504;195;152
;id:000029,src:000000,op:flip1,pos:75;2019-10-29 12:49:54.154868841;0 days 00:00:25.435801;504;213;152
;id:000030,src:000000,op:flip1,pos:75;2019-10-29 12:49:54.462866545;0 days 00:00:25.743799;504;213;152
;id:000031,src:000000,op:flip1,pos:75;2019-10-29 12:49:54.786864042;0 days 00:00:26.067797;504;213;152
;id:000032,src:000000,op:flip1,pos:75;2019-10-29 12:49:55.178861141;0 days 00:00:26.459794;504;213;152
;id:000033,src:000000,op:flip1,pos:75,+cov;2019-10-29 12:49:55.490858793;0 days 00:00:26.771791;506;371;154
;id:000034,src:000000,op:flip1,pos:75,+cov;2019-10-29 12:49:55.806856394;0 days 00:00:27.087789;507;213;155
;id:000035,src:000000,op:flip1,pos:76;2019-10-29 12:49:56.178853512;0 days 00:00:27.459786;507;373;155
;id:000036,src:000000,op:flip1,pos:77;2019-10-29 12:49:56.974847555;0 days 00:00:28.255780;507;370;155
;id:000037,src:000000,op:flip1,pos:78,+cov;2019-10-29 12:49:56.982847452;0 days 00:00:28.263780;551;155;199
;id:000038,src:000000,op:flip1,pos:78,+cov;2019-10-29 12:49:57.342844725;0 days 00:00:28.623777;562;386;210
;id:000039,src:000000,op:flip1,pos:79,+cov;2019-10-29 12:49:57.586842775;0 days 00:00:28.867775;568;143;216
;id:000040,src:000000,op:flip1,pos:79,+cov;2019-10-29 12:49:57.590842724;0 days 00:00:28.871775;607;223;255
;id:000041,src:000000,op:flip1,pos:79,+cov;2019-10-29 12:49:57.598842621;0 days 00:00:28.879775;611;135;259
;id:000042,src:000000,op:flip1,pos:80,+cov;2019-10-29 12:49:57.602842569;0 days 00:00:28.883775;620;239;268
;id:000043,src:000000,op:flip1,pos:80;2019-10-29 12:49:57.606842756;0 days 00:00:28.887775;620;218;268
;id:000044,src:000000,op:flip1,pos:80,+cov;2019-10-29 12:49:57.610842705;0 days 00:00:28.891775;626;208;274
;id:000045,src:000000,op:flip1,pos:80;2019-10-29 12:49:57.618842602;0 days 00:00:28.899775;626;218;274
;id:000046,src:000000,op:flip1,pos:80;2019-10-29 12:49:57.626842499;0 days 00:00:28.907775;626;217;274
;id:000047,src:000000,op:flip1,pos:80;2019-10-29 12:49:57.630842447;0 days 00:00:28.911775;626;217;274
;id:000048,src:000000,op:flip1,pos:80,+cov;2019-10-29 12:49:57.642842293;0 days 00:00:28.923775;637;257;285
;id:000049,src:000000,op:flip1,pos:81,+cov;2019-10-29 12:49:57.762841463;0 days 00:00:29.043774;638;248;286
;id:000050,src:000000,op:flip1,pos:82,+cov;2019-10-29 12:49:58.170838356;0 days 00:00:29.451771;640;382;288
;id:000051,src:000000,op:flip1,pos:82;2019-10-29 12:49:58.510835885;0 days 00:00:29.791769;640;373;288
;id:000052,src:000000,op:flip1,pos:82;2019-10-29 12:49:58.638834715;0 days 00:00:29.919767;640;147;288
;id:000053,src:000000,op:flip1,pos:83;2019-10-29 12:49:59.198830605;0 days 00:00:30.479763;640;380;288
;id:000054,src:000000,op:flip1,pos:84;2019-10-29 12:49:59.742826462;0 days 00:00:31.023759;640;379;288
;id:000055,src:000000,op:flip1,pos:84;2019-10-29 12:50:00.246822596;0 days 00:00:31.527755;640;379;288
;id:000056,src:000000,op:flip1,pos:85;2019-10-29 12:50:00.602819920;0 days 00:00:31.883753;640;379;288
;id:000057,src:000000,op:flip1,pos:85;2019-10-29 12:50:01.114815950;0 days 00:00:32.395749;640;379;288
;id:000058,src:000000,op:flip1,pos:86;2019-10-29 12:50:01.662811756;0 days 00:00:32.943744;640;382;288
;id:000059,src:000000,op:flip1,pos:90,+cov;2019-10-29 12:50:02.746803522;0 days 00:00:34.027736;641;251;289
;id:000060,src:000000,op:flip1,pos:90;2019-10-29 12:50:02.750803471;0 days 00:00:34.031736;641;254;289
;id:000061,src:000000,op:flip1,pos:90,+cov;2019-10-29 12:50:02.758803606;0 days 00:00:34.039736;642;210;290
;id:000062,src:000000,op:flip1,pos:91;2019-10-29 12:50:02.986801863;0 days 00:00:34.267735;642;201;290
;id:000063,src:000000,op:flip1,pos:99,+cov;2019-10-29 12:50:05.326783895;0 days 00:00:36.607717;648;254;296
;id:000064,src:000000,op:flip1,pos:99;2019-10-29 12:50:05.330783844;0 days 00:00:36.611716;648;212;296
;id:000065,src:000000,op:flip1,pos:100;2019-10-29 12:50:05.730780840;0 days 00:00:37.011713;648;255;296
;id:000066,src:000000,op:flip1,pos:109,+cov;2019-10-29 12:50:08.302761316;0 days 00:00:39.583694;649;249;297
;id:000067,src:000000,op:flip1,pos:109;2019-10-29 12:50:08.310761213;0 days 00:00:39.591694;649;212;297
;id:000068,src:000000,op:flip1,pos:118,+cov;2019-10-29 12:50:10.790742159;0 days 00:00:42.071675;651;254;299
;id:000069,src:000000,op:flip1,pos:119;2019-10-29 12:50:11.198739052;0 days 00:00:42.479672;651;254;299
;id:000070,src:000000,op:flip1,pos:127;2019-10-29 12:50:13.382722378;0 days 00:00:44.663655;651;212;299
;id:000071,src:000000,op:flip1,pos:128;2019-10-29 12:50:13.814719200;0 days 00:00:45.095652;651;263;299
;id:000072,src:000000,op:flip1,pos:128,+cov;2019-10-29 12:50:13.818719149;0 days 00:00:45.099652;652;263;300
;id:000073,src:000000,op:flip1,pos:137;2019-10-29 12:50:16.326699972;0 days 00:00:47.607633;652;252;300
;id:000074,src:000000,op:flip1,pos:147;2019-10-29 12:50:19.258677483;0 days 00:00:50.539610;652;244;300
;id:000075,src:000000,op:flip1,pos:156;2019-10-29 12:50:21.890657425;0 days 00:00:53.171590;652;244;300
;id:000076,src:000000,op:flip1,pos:156;2019-10-29 12:50:21.890657425;0 days 00:00:53.171590;652;247;300
;id:000077,src:000000,op:flip1,pos:165;2019-10-29 12:50:24.374638319;0 days 00:00:55.655571;652;249;300
;id:000078,src:000000,op:flip1,pos:184;2019-10-29 12:50:29.866596222;0 days 00:01:01.147529;652;236;300
;id:000079,src:000000,op:flip1,pos:184;2019-10-29 12:50:29.870596170;0 days 00:01:01.151529;652;239;300
;id:000080,src:000000,op:flip1,pos:193;2019-10-29 12:50:32.374576807;0 days 00:01:03.655509;652;236;300
;id:000081,src:000000,op:flip1,pos:194;2019-10-29 12:50:32.782573700;0 days 00:01:04.063506;652;236;300
;id:000082,src:000000,op:flip1,pos:195,+cov;2019-10-29 12:50:33.078571320;0 days 00:01:04.359504;653;214;301
;id:000083,src:000000,op:flip1,pos:197;2019-10-29 12:50:34.082563639;0 days 00:01:05.363496;653;376;301
;id:000084,src:000000,op:flip1,pos:203;2019-10-29 12:50:35.974549055;0 days 00:01:07.255482;653;245;301
;id:000085,src:000000,op:flip1,pos:212;2019-10-29 12:50:38.478529692;0 days 00:01:09.759462;653;236;301
;id:000086,src:000000,op:flip1,pos:212;2019-10-29 12:50:38.810527086;0 days 00:01:10.091460;653;214;301
;id:000087,src:000000,op:flip1,pos:231;2019-10-29 12:50:44.310484648;0 days 00:01:15.591417;653;243;301
;id:000088,src:000000,op:flip1,pos:259;2019-10-29 12:50:52.382422209;0 days 00:01:23.663355;653;240;301
;id:000089,src:000000,op:flip1,pos:259;2019-10-29 12:50:52.386422157;0 days 00:01:23.667355;653;245;301
;id:000090,src:000000,op:flip1,pos:269;2019-10-29 12:50:55.294399500;0 days 00:01:26.575332;653;242;301
;id:000091,src:000000,op:flip1,pos:287;2019-10-29 12:51:00.742357254;0 days 00:01:32.023290;653;414;301
