index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:ducks.gif;2019-10-24 19:32:19.057919502;0.0;352;352;0
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-24 19:33:38.625188351;0.0;355;22;3
;id:000002,src:000000,op:flip1,pos:3,+cov;2019-10-24 19:33:38.821186543;0 days 00:00:00.195998;380;374;28
;id:000003,src:000000,op:flip1,pos:10,+cov;2019-10-24 19:33:39.969176054;0 days 00:00:01.343987;421;69;69
;id:000004,src:000000,op:flip1,pos:10,+cov;2019-10-24 19:33:40.053175211;0 days 00:00:01.427986;422;46;70
;id:000005,src:000000,op:flip1,pos:10,+cov;2019-10-24 19:33:40.057175159;0 days 00:00:01.431986;436;75;84
;id:000006,src:000000,op:flip1,pos:10,+cov;2019-10-24 19:33:40.057175159;0 days 00:00:01.431986;437;72;85
;id:000007,src:000000,op:flip1,pos:11,+cov;2019-10-24 19:33:40.249173403;0 days 00:00:01.623985;444;358;92
;id:000008,src:000000,op:flip1,pos:11;2019-10-24 19:33:40.501171112;0 days 00:00:01.875982;444;356;92
;id:000009,src:000000,op:flip1,pos:11,+cov;2019-10-24 19:33:40.713169098;0 days 00:00:02.087980;446;373;94
;id:000010,src:000000,op:flip1,pos:12,+cov;2019-10-24 19:33:40.921167374;0 days 00:00:02.295979;449;378;97
;id:000011,src:000000,op:flip1,pos:13;2019-10-24 19:33:41.257164240;0 days 00:00:02.631975;449;370;97
;id:000012,src:000000,op:flip1,pos:62,+cov;2019-10-24 19:33:49.261090755;0 days 00:00:10.635902;457;75;105
;id:000013,src:000000,op:flip1,pos:62,+cov;2019-10-24 19:33:49.261090755;0 days 00:00:10.635902;460;76;108
;id:000014,src:000000,op:flip1,pos:63,+cov;2019-10-24 19:33:49.265090704;0 days 00:00:10.639902;461;80;109
;id:000016,src:000000,op:flip1,pos:63;2019-10-24 19:33:49.269090652;0 days 00:00:10.643902;461;80;109
;id:000015,src:000000,op:flip1,pos:63;2019-10-24 19:33:49.269090652;0 days 00:00:10.643902;461;80;109
;id:000017,src:000000,op:flip1,pos:63;2019-10-24 19:33:49.273090601;0 days 00:00:10.647902;461;80;109
;id:000018,src:000000,op:flip1,pos:64,+cov;2019-10-24 19:33:49.525088310;0 days 00:00:10.899899;482;389;130
;id:000019,src:000000,op:flip1,pos:64,+cov;2019-10-24 19:33:49.777086020;0 days 00:00:11.151897;486;379;134
