index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:ducks.gif;2019-10-24 19:32:29.333825111;0.0;352;352;0
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-24 19:35:01.164429903;0.0;355;22;3
;id:000002,src:000001,op:flip1,pos:0,+cov;2019-10-24 19:35:01.164429903;0.0;357;25;5
;id:000004,src:000000,op:havoc,rep:8,+cov;2019-10-24 19:35:01.376427889;0 days 00:00:00.211997;439;432;87
;id:000034,src:000000,op:havoc,rep:4;2019-10-24 19:35:02.540417194;0 days 00:00:01.375987;440;428;88
;id:000046,src:000000,op:havoc,rep:2;2019-10-24 19:35:03.112411976;0 days 00:00:01.947982;440;370;88
;id:000051,src:000000,op:havoc,rep:2;2019-10-24 19:35:03.528408289;0 days 00:00:02.363978;440;370;88
;id:000005,src:000000,op:havoc,rep:64,+cov;2019-10-24 19:35:15.392299175;0 days 00:00:14.227869;458;223;106
;id:000007,src:000000,op:havoc,rep:64;2019-10-24 19:35:15.532297849;0 days 00:00:14.367867;459;222;107
;id:000009,src:000000,op:havoc,rep:128,+cov;2019-10-24 19:35:16.316290617;0 days 00:00:15.151860;464;267;112
;id:000013,src:000000,op:havoc,rep:32,+cov;2019-10-24 19:35:17.208282471;0 days 00:00:16.043852;465;214;113
;id:000019,src:000000,op:havoc,rep:16;2019-10-24 19:35:17.668278217;0 days 00:00:16.503848;466;242;114
;id:000029,src:000000,op:havoc,rep:32,+cov;2019-10-24 19:35:20.036256552;0 days 00:00:18.871826;467;249;115
;id:000033,src:000000,op:havoc,rep:4;2019-10-24 19:35:21.728240967;0 days 00:00:20.563811;479;254;127
;id:000037,src:000000,op:havoc,rep:8;2019-10-24 19:35:21.828239918;0 days 00:00:20.663810;480;240;128
;id:000041,src:000000,op:havoc,rep:4,+cov;2019-10-24 19:35:31.624150038;0 days 00:00:30.459720;482;217;130
;id:000047,src:000000,op:havoc,rep:4,+cov;2019-10-24 19:35:42.236052513;0 days 00:00:41.071622;488;248;136
;id:000054,src:000000,op:havoc,rep:64;2019-10-24 19:35:55.431931257;0 days 00:00:54.267501;489;225;137
;id:000055,src:000019,op:flip1,pos:3,+cov;2019-10-24 19:35:55.819927692;0 days 00:00:54.655497;491;243;139
;id:000056,src:000055,op:flip1,pos:10,+cov;2019-10-24 19:35:55.983926058;0 days 00:00:54.819496;527;70;175
;id:000057,src:000055,op:flip1,pos:10,+cov;2019-10-24 19:35:56.051925659;0 days 00:00:54.887495;528;47;176
;id:000058,src:000055,op:flip1,pos:10,+cov;2019-10-24 19:35:56.055925608;0 days 00:00:54.891495;542;76;190
