index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:15dfc433a135a658b9f4b1a861b5cdd9658ccbb9.ttf;2019-10-23 18:49:56.332028389;0.0;2673;2673;0
;id:000002,src:000000,op:flip1,pos:0,+cov;2019-11-01 15:12:51.276992559;0.0;3006;1871;333
;id:000003,src:000000,op:flip1,pos:4,+cov;2019-11-01 15:12:51.292992592;0.0;3012;1877;339
;id:000004,src:000000,op:flip1,pos:4,+cov;2019-11-01 15:12:51.296992540;0.0;3019;1880;346
;id:000006,src:000000,op:flip1,pos:5,+cov;2019-11-01 15:12:51.304992437;0.0;3020;2674;347
;id:000007,src:000000,op:flip1,pos:5,+cov;2019-11-01 15:12:51.312992334;0.0;3021;2670;348
;id:000008,src:000000,op:flip1,pos:12,+cov;2019-11-01 15:12:51.336992025;0.0;3025;2663;352
;id:000009,src:000000,op:flip1,pos:12;2019-11-01 15:12:51.340991974;0.0;3025;2664;352
;id:000010,src:000000,op:flip1,pos:13;2019-11-01 15:12:51.348991871;0.0;3025;2664;352
;id:000011,src:000000,op:flip1,pos:13;2019-11-01 15:12:51.352992058;0.0;3025;2664;352
;id:000012,src:000000,op:flip1,pos:20,+cov;2019-11-01 15:12:51.380991697;0.0;3027;2663;354
;id:000013,src:000000,op:flip1,pos:22,+cov;2019-11-01 15:12:51.392991543;0.0;3034;2669;361
;id:000014,src:000000,op:flip1,pos:27,+cov;2019-11-01 15:12:51.412991285;0.0;3059;2707;386
;id:000015,src:000000,op:flip1,pos:27,+cov;2019-11-01 15:12:51.416991472;0.0;3065;2693;392
;id:000016,src:000000,op:flip1,pos:27,+cov;2019-11-01 15:12:51.420991421;0.0;3066;2694;393
;id:000017,src:000000,op:flip1,pos:27,+cov;2019-11-01 15:12:51.424991369;0.0;3067;2696;394
;id:000018,src:000000,op:flip1,pos:28,+cov;2019-11-01 15:12:51.428991318;0.0;3077;2570;404
;id:000019,src:000000,op:flip1,pos:28;2019-11-01 15:12:51.436991215;0.0;3077;2571;404
;id:000020,src:000000,op:flip1,pos:28;2019-11-01 15:12:51.440991163;0.0;3077;2571;404
;id:000021,src:000000,op:flip1,pos:29;2019-11-01 15:12:51.444991112;0.0;3077;2571;404
;id:000022,src:000000,op:flip1,pos:38,+cov;2019-11-01 15:12:51.480990648;0.0;3084;2577;411
;id:000023,src:000000,op:flip1,pos:39,+cov;2019-11-01 15:12:51.488990784;0.0;3085;2576;412
;id:000024,src:000000,op:flip1,pos:39,+cov;2019-11-01 15:12:51.492990732;0.0;3113;2614;440
;id:000025,src:000000,op:flip1,pos:43,+cov;2019-11-01 15:12:51.508990526;0.0;3129;2471;456
;id:000026,src:000000,op:flip1,pos:43,+cov;2019-11-01 15:12:51.512990474;0.0;3145;2651;472
;id:000027,src:000000,op:flip1,pos:43,+cov;2019-11-01 15:12:51.516990423;0.0;3149;2664;476
;id:000028,src:000000,op:flip1,pos:43,+cov;2019-11-01 15:12:51.520990372;0.0;3150;2704;477
;id:000029,src:000000,op:flip1,pos:44;2019-11-01 15:12:51.524990320;0.0;3150;2500;477
;id:000030,src:000000,op:flip1,pos:44;2019-11-01 15:12:51.532990217;0.0;3150;2500;477
;id:000031,src:000000,op:flip1,pos:54,+cov;2019-11-01 15:12:51.568989992;0.0;3154;2503;481
;id:000032,src:000000,op:flip1,pos:55,+cov;2019-11-01 15:12:51.576989889;0.0;3167;2534;494
;id:000034,src:000000,op:flip1,pos:59,+cov;2019-11-01 15:12:51.596989632;0.0;3191;2643;518
;id:000035,src:000000,op:flip1,pos:60;2019-11-01 15:12:51.604989529;0.0;3191;2669;518
;id:000036,src:000000,op:flip1,pos:75,+cov;2019-11-01 15:12:51.660989046;0.0;3194;2673;521
;id:000037,src:000000,op:flip1,pos:76;2019-11-01 15:12:51.668988943;0.0;3194;2515;521
;id:000038,src:000000,op:flip1,pos:86,+cov;2019-11-01 15:12:51.708988667;0.0;3198;2518;525
;id:000039,src:000000,op:flip1,pos:87,+cov;2019-11-01 15:12:51.712988615;0.0;3199;2525;526
;id:000040,src:000000,op:flip1,pos:87,+cov;2019-11-01 15:12:51.720988512;0.0;3211;2579;538
;id:000041,src:000000,op:flip1,pos:91,+cov;2019-11-01 15:12:51.736988306;0.0;3332;2788;659
;id:000042,src:000000,op:flip1,pos:108;2019-11-01 15:12:51.800987720;0.0;3332;2673;659
;id:000043,src:000000,op:flip1,pos:124;2019-11-01 15:12:51.860987186;0.0;3332;2672;659
;id:000044,src:000000,op:flip1,pos:140;2019-11-01 15:12:51.920986652;0.0;3332;2666;659
;id:000045,src:000000,op:flip1,pos:148;2019-11-01 15:12:51.952986479;0.0;3332;2667;659
;id:000046,src:000000,op:flip1,pos:150,+cov;2019-11-01 15:12:51.964986324;0.0;3337;2672;664
;id:000047,src:000000,op:flip1,pos:155,+cov;2019-11-01 15:12:51.984986067;0.0;3339;2669;666
;id:000048,src:000000,op:flip1,pos:166,+cov;2019-11-01 15:12:52.028985739;0.0;3342;2674;669
;id:000049,src:000000,op:flip1,pos:171,+cov;2019-11-01 15:12:52.048985481;0.0;3343;2673;670
;id:000050,src:000000,op:flip1,pos:172,+cov;2019-11-01 15:12:52.056985378;0.0;3345;2675;672
;id:000051,src:000000,op:flip1,pos:183,+cov;2019-11-01 15:12:52.100985050;0.0;3347;2675;674
;id:000052,src:000000,op:flip1,pos:183;2019-11-01 15:12:52.104984999;0.0;3347;2675;674
;id:000053,src:000000,op:flip1,pos:188;2019-11-01 15:12:52.124984741;0.0;3347;2703;674
;id:000054,src:000000,op:flip1,pos:198,+cov;2019-11-01 15:12:52.164984465;0.0;3348;2707;675
;id:000055,src:000000,op:flip1,pos:198,+cov;2019-11-01 15:12:52.168984413;0.0;3349;2706;676
;id:000056,src:000000,op:flip1,pos:198,+cov;2019-11-01 15:12:52.172984362;0.0;3353;2675;680
;id:000057,src:000000,op:flip1,pos:3208,+cov;2019-11-01 15:13:02.936884403;0.0;3355;2671;682
;id:000058,src:000000,op:flip1,pos:3246,+cov;2019-11-01 15:13:03.072883368;0.0;3359;2687;686
;id:000059,src:000000,op:flip1,pos:3247,+cov;2019-11-01 15:13:03.084883213;0.0;3360;2674;687
;id:000060,src:000000,op:flip1,pos:3248,+cov;2019-11-01 15:13:03.088883162;0.0;3361;2686;688
;id:000061,src:000000,op:flip1,pos:3260;2019-11-01 15:13:03.132882594;0.0;3361;2675;688
;id:000062,src:000000,op:flip1,pos:3571,+cov;2019-11-01 15:13:04.244872332;0.0;3364;2603;691
;id:000063,src:000000,op:flip1,pos:3571,+cov;2019-11-01 15:13:04.248872280;0.0;3365;2523;692
;id:000064,src:000000,op:flip1,pos:3571,+cov;2019-11-01 15:13:04.252872229;0.0;3378;2648;705
;id:000065,src:000000,op:flip1,pos:3572,+cov;2019-11-01 15:13:04.256872176;0.0;3379;2671;706
;id:000066,src:000000,op:flip1,pos:3576,+cov;2019-11-01 15:13:04.276872158;0.0;3380;2536;707
;id:000067,src:000000,op:flip1,pos:3579,+cov;2019-11-01 15:13:04.288872004;0.0;3393;2753;720
;id:000068,src:000000,op:flip1,pos:3579;2019-11-01 15:13:04.292871952;0.0;3393;2674;720
;id:000069,src:000000,op:flip1,pos:3579,+cov;2019-11-01 15:13:04.296871901;0.0;3394;2674;721
;id:000070,src:000000,op:flip1,pos:3580,+cov;2019-11-01 15:13:04.304871798;0.0;3395;2671;722
;id:000071,src:000000,op:flip1,pos:3583,+cov;2019-11-01 15:13:04.320871592;0.0;3405;2675;732
;id:000072,src:000000,op:flip1,pos:3584;2019-11-01 15:13:04.324871540;0.0;3405;2566;732
;id:000073,src:000000,op:flip1,pos:3587;2019-11-01 15:13:04.340871572;0.0;3405;2674;732
;id:000074,src:000000,op:flip1,pos:3587;2019-11-01 15:13:04.344871521;0.0;3405;2762;732
;id:000075,src:000000,op:flip1,pos:3588,+cov;2019-11-01 15:13:04.348871469;0.0;3406;2671;733
;id:000076,src:000000,op:flip1,pos:3592;2019-11-01 15:13:04.368871212;0.0;3406;2594;733
