index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:15dfc433a135a658b9f4b1a861b5cdd9658ccbb9.ttf;2019-10-23 18:50:02.551974535;0.0;2673;2673;0
;id:000002,src:000000,op:flip1,pos:0,+cov;2019-11-02 17:00:31.911524057;0.0;3006;1871;333
;id:000003,src:000000,op:flip1,pos:4,+cov;2019-11-02 17:00:31.927523851;0.0;3012;1877;339
;id:000004,src:000000,op:flip1,pos:4,+cov;2019-11-02 17:00:31.935523748;0.0;3019;1880;346
;id:000005,src:000000,op:flip1,pos:5;2019-11-02 17:00:31.939523697;0.0;3019;1880;346
;id:000006,src:000000,op:flip1,pos:5,+cov;2019-11-02 17:00:31.943523884;0.0;3020;2674;347
;id:000007,src:000000,op:flip1,pos:5,+cov;2019-11-02 17:00:31.947523832;0.0;3021;2670;348
;id:000008,src:000000,op:flip1,pos:12,+cov;2019-11-02 17:00:31.975523710;0.0;3025;2663;352
;id:000009,src:000000,op:flip1,pos:12;2019-11-02 17:00:31.979523659;0.0;3025;2664;352
;id:000010,src:000000,op:flip1,pos:13;2019-11-02 17:00:31.987523556;0.0;3025;2664;352
;id:000011,src:000000,op:flip1,pos:13;2019-11-02 17:00:31.991523504;0.0;3025;2664;352
;id:000012,src:000000,op:flip1,pos:20,+cov;2019-11-02 17:00:32.019523382;0.0;3027;2663;354
;id:000013,src:000000,op:flip1,pos:22,+cov;2019-11-02 17:00:32.031523228;0.0;3034;2669;361
;id:000014,src:000000,op:flip1,pos:27,+cov;2019-11-02 17:00:32.055523157;0.0;3059;2707;386
;id:000015,src:000000,op:flip1,pos:27,+cov;2019-11-02 17:00:32.059523106;0.0;3065;2693;392
;id:000016,src:000000,op:flip1,pos:27,+cov;2019-11-02 17:00:32.063523053;0.0;3066;2694;393
;id:000017,src:000000,op:flip1,pos:27,+cov;2019-11-02 17:00:32.067523003;0.0;3067;2696;394
;id:000018,src:000000,op:flip1,pos:28,+cov;2019-11-02 17:00:32.071522951;0.0;3077;2570;404
