index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:15dfc433a135a658b9f4b1a861b5cdd9658ccbb9.ttf;2019-10-23 19:12:38.527033329;0.0;2673;2673;0
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-23 19:14:05.210167885;0.0;3006;1871;333
;id:000003,src:000001,op:flip1,pos:0,+cov;2019-10-23 19:14:05.214167833;0 days 00:00:00.003999;3008;1888;335
;id:000002,src:000000,op:flip1,pos:0,+cov;2019-10-23 19:14:05.398166418;0 days 00:00:00.187998;3013;1871;340
;id:000004,src:000000,op:havoc,rep:2,+cov;2019-10-23 19:14:05.558165073;0 days 00:00:00.347997;3051;2621;378
;id:000005,src:000000,op:havoc,rep:8;2019-10-23 19:14:06.070161343;0 days 00:00:00.859993;3051;2673;378
;id:000006,src:000000,op:havoc,rep:8,+cov;2019-10-23 19:14:07.082153797;0 days 00:00:01.871985;3106;1989;433
;id:000007,src:000000,op:havoc,rep:2,+cov;2019-10-23 19:14:07.590150118;0 days 00:00:02.379982;3139;1997;466
;id:000008,src:000000,op:havoc,rep:4,+cov;2019-10-23 19:14:08.062146664;0 days 00:00:02.851978;3173;1996;500
;id:000009,src:000000,op:havoc,rep:32,+cov;2019-10-23 19:14:08.542143106;0 days 00:00:03.331975;3176;1954;503
;id:000010,src:000000,op:havoc,rep:128,+cov;2019-10-23 19:14:09.014139652;0 days 00:00:03.803971;3180;1976;507
;id:000011,src:000000,op:havoc,rep:64,+cov;2019-10-23 19:14:09.526135920;0 days 00:00:04.315968;3201;2020;528
;id:000016,src:000001,op:havoc,rep:128,+cov;2019-10-23 19:14:09.550135612;0 days 00:00:04.339967;3202;1728;529
;id:000013,src:000001,op:havoc,rep:32,+cov;2019-10-23 19:14:09.718134403;0 days 00:00:04.507966;3213;1868;540
;id:000022,src:000013,op:flip1,pos:0,+cov;2019-10-23 19:14:09.722134352;0 days 00:00:04.511966;3219;1874;546
;id:000014,src:000001,op:havoc,rep:4,+cov;2019-10-23 19:14:10.378129482;0 days 00:00:05.167961;3593;2188;920
;id:000015,src:000001,op:havoc,rep:128,+cov;2019-10-23 19:14:10.490128756;0 days 00:00:05.279960;3597;1867;924
;id:000017,src:000001,op:havoc,rep:16,+cov;2019-10-23 19:14:11.282123089;0 days 00:00:06.071955;3599;1873;926
;id:000019,src:000001,op:havoc,rep:32,+cov;2019-10-23 19:14:11.422122002;0 days 00:00:06.211954;3632;1904;959
;id:000020,src:000001,op:havoc,rep:32;2019-10-23 19:14:11.554121017;0 days 00:00:06.343953;3632;1734;959
;id:000021,src:000001,op:havoc,rep:128,+cov;2019-10-23 19:14:11.662120342;0 days 00:00:06.451952;3648;1731;975
;id:000023,src:000004,op:havoc,rep:8,+cov;2019-10-23 19:14:12.298115730;0 days 00:00:07.087947;3650;1928;977
;id:000025,src:000006,op:havoc,rep:64,+cov;2019-10-23 19:14:12.802111864;0 days 00:00:07.591943;3651;1949;978
;id:000026,src:000004,op:havoc,rep:4,+cov;2019-10-23 19:14:12.810112;0 days 00:00:07.599944;3652;2582;979
