index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:ShowText-ShadingPattern.pdf;2019-10-25 19:51:28.712307453;0.0;2255;2255;0
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-30 13:00:48.451429844;0.0;3077;2763;822
;id:000002,src:000000,op:flip1,pos:0,+cov;2019-10-30 13:00:48.459429741;0 days 00:00:00.007999;3080;2758;825
;id:000003,src:000000,op:flip1,pos:0,+cov;2019-10-30 13:00:48.467429638;0 days 00:00:00.015999;3089;2767;834
;id:000005,src:000000,op:flip1,pos:0,+cov;2019-10-30 13:00:48.487429380;0 days 00:00:00.035999;3090;2758;835
;id:000006,src:000000,op:flip1,pos:1,+cov;2019-10-30 13:00:48.499429226;0 days 00:00:00.047999;3096;2767;841
;id:000007,src:000000,op:flip1,pos:1,+cov;2019-10-30 13:00:48.507429123;0 days 00:00:00.055999;3097;2762;842
;id:000008,src:000000,op:flip1,pos:1,+cov;2019-10-30 13:00:48.519429206;0 days 00:00:00.067999;3099;2762;844
;id:000009,src:000000,op:flip1,pos:3;2019-10-30 13:00:48.535429001;0 days 00:00:00.083999;3099;2766;844
;id:000010,src:000000,op:flip1,pos:4,+cov;2019-10-30 13:00:48.551428795;0 days 00:00:00.099998;3102;2739;847
;id:000011,src:000000,op:flip1,pos:4,+cov;2019-10-30 13:00:48.563428640;0 days 00:00:00.111998;3107;2731;852
;id:000012,src:000000,op:flip1,pos:5,+cov;2019-10-30 13:00:48.575428486;0 days 00:00:00.123998;3130;2262;875
;id:000013,src:000000,op:flip1,pos:5;2019-10-30 13:00:48.583428621;0 days 00:00:00.131998;3130;2274;875
;id:000014,src:000000,op:flip1,pos:5,+cov;2019-10-30 13:00:48.591428518;0 days 00:00:00.139998;3132;2274;877
;id:000015,src:000000,op:flip1,pos:5;2019-10-30 13:00:48.595428467;0 days 00:00:00.143998;3132;2273;877
;id:000016,src:000000,op:flip1,pos:7,+cov;2019-10-30 13:00:48.611428261;0 days 00:00:00.159998;3133;2252;878
;id:000017,src:000000,op:flip1,pos:7,+cov;2019-10-30 13:00:48.619428158;0 days 00:00:00.167998;3136;2257;881
;id:000018,src:000000,op:flip1,pos:8,+cov;2019-10-30 13:00:48.627428055;0 days 00:00:00.175998;3137;2256;882
;id:000019,src:000000,op:flip1,pos:553,+cov;2019-10-30 13:00:51.819398403;0 days 00:00:03.367968;3212;3003;957
;id:000020,src:000000,op:flip1,pos:553,+cov;2019-10-30 13:00:51.827398300;0 days 00:00:03.375968;3213;2997;958
;id:000021,src:000000,op:flip1,pos:553,+cov;2019-10-30 13:00:51.835398436;0 days 00:00:03.383968;3216;3004;961
;id:000022,src:000000,op:flip1,pos:553,+cov;2019-10-30 13:00:51.843398333;0 days 00:00:03.391968;3219;2977;964
;id:000023,src:000000,op:flip1,pos:553;2019-10-30 13:00:51.851398230;0 days 00:00:03.399968;3219;2976;964
;id:000024,src:000000,op:flip1,pos:553;2019-10-30 13:00:51.859398127;0 days 00:00:03.407968;3219;2979;964
;id:000025,src:000000,op:flip1,pos:554,+cov;2019-10-30 13:00:51.867398024;0 days 00:00:03.415968;3224;2996;969
;id:000026,src:000000,op:flip1,pos:554,+cov;2019-10-30 13:00:51.879397869;0 days 00:00:03.427968;3228;3000;973
;id:000027,src:000000,op:flip1,pos:554,+cov;2019-10-30 13:00:51.887397766;0 days 00:00:03.435967;3252;3008;997
;id:000028,src:000000,op:flip1,pos:555,+cov;2019-10-30 13:00:51.899397850;0 days 00:00:03.447968;3253;2997;998
;id:000029,src:000000,op:flip1,pos:555,+cov;2019-10-30 13:00:51.907397747;0 days 00:00:03.455967;3257;3008;1002
;id:000030,src:000000,op:flip1,pos:555,+cov;2019-10-30 13:00:51.915397644;0 days 00:00:03.463967;3259;2998;1004
;id:000031,src:000000,op:flip1,pos:556,+cov;2019-10-30 13:00:51.927397490;0 days 00:00:03.475967;3265;2996;1010
;id:000032,src:000000,op:flip1,pos:556;2019-10-30 13:00:51.939397335;0 days 00:00:03.487967;3265;3008;1010
;id:000033,src:000000,op:flip1,pos:557,+cov;2019-10-30 13:00:51.951397181;0 days 00:00:03.499967;3266;3003;1011
;id:000034,src:000000,op:flip1,pos:557,+cov;2019-10-30 13:00:51.959397078;0 days 00:00:03.507967;3267;2996;1012
;id:000035,src:000000,op:flip1,pos:557,+cov;2019-10-30 13:00:51.967397213;0 days 00:00:03.515967;3268;2998;1013
;id:000036,src:000000,op:flip1,pos:558,+cov;2019-10-30 13:00:51.979397058;0 days 00:00:03.527967;3270;3000;1015
;id:000037,src:000000,op:flip1,pos:559,+cov;2019-10-30 13:00:51.991396904;0 days 00:00:03.539967;3271;3001;1016
;id:000038,src:000000,op:flip1,pos:560,+cov;2019-10-30 13:00:52.007396698;0 days 00:00:03.555966;3275;3005;1020
;id:000039,src:000000,op:flip1,pos:561,+cov;2019-10-30 13:00:52.019396544;0 days 00:00:03.567966;3280;2243;1025
;id:000040,src:000000,op:flip1,pos:561,+cov;2019-10-30 13:00:52.027396441;0 days 00:00:03.575966;3281;2242;1026
