index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:ShowText-ShadingPattern.pdf;2019-10-25 19:51:34.276256084;0.0;2255;2255;0
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-30 13:01:26.815073729;0.0;3077;2763;822
;id:000002,src:000000,op:flip1,pos:0,+cov;2019-10-30 13:01:26.823073626;0 days 00:00:00.007999;3080;2758;825
;id:000003,src:000000,op:flip1,pos:0,+cov;2019-10-30 13:01:26.831073761;0 days 00:00:00.016000;3089;2767;834
;id:000005,src:000000,op:flip1,pos:0,+cov;2019-10-30 13:01:26.851073503;0 days 00:00:00.035999;3090;2758;835
;id:000006,src:000000,op:flip1,pos:1,+cov;2019-10-30 13:01:26.863073349;0 days 00:00:00.047999;3096;2767;841
;id:000007,src:000000,op:flip1,pos:1,+cov;2019-10-30 13:01:26.871073246;0 days 00:00:00.055999;3097;2762;842
;id:000008,src:000000,op:flip1,pos:1,+cov;2019-10-30 13:01:26.883073092;0 days 00:00:00.067999;3099;2762;844
;id:000009,src:000000,op:flip1,pos:3;2019-10-30 13:01:26.903073072;0 days 00:00:00.087999;3099;2766;844
;id:000010,src:000000,op:flip1,pos:4,+cov;2019-10-30 13:01:26.919072866;0 days 00:00:00.103999;3102;2739;847
;id:000012,src:000000,op:flip1,pos:5,+cov;2019-10-30 13:01:26.939072609;0 days 00:00:00.123998;3125;2262;870
;id:000013,src:000000,op:flip1,pos:5;2019-10-30 13:01:26.951072454;0 days 00:00:00.135998;3125;2274;870
;id:000014,src:000000,op:flip1,pos:5,+cov;2019-10-30 13:01:26.955072403;0 days 00:00:00.139998;3127;2274;872
;id:000015,src:000000,op:flip1,pos:5;2019-10-30 13:01:26.963072300;0 days 00:00:00.147998;3127;2273;872
;id:000016,src:000000,op:flip1,pos:7,+cov;2019-10-30 13:01:26.975072384;0 days 00:00:00.159998;3128;2252;873
;id:000017,src:000000,op:flip1,pos:7,+cov;2019-10-30 13:01:26.987072229;0 days 00:00:00.171998;3131;2257;876
;id:000018,src:000000,op:flip1,pos:8,+cov;2019-10-30 13:01:26.995072126;0 days 00:00:00.179998;3132;2256;877
;id:000019,src:000000,op:flip1,pos:553,+cov;2019-10-30 13:01:30.295041561;0 days 00:00:03.479967;3207;3003;952
;id:000020,src:000000,op:flip1,pos:553,+cov;2019-10-30 13:01:30.303041458;0 days 00:00:03.487967;3208;2997;953
;id:000021,src:000000,op:flip1,pos:553,+cov;2019-10-30 13:01:30.311041355;0 days 00:00:03.495967;3211;3004;956
;id:000022,src:000000,op:flip1,pos:553,+cov;2019-10-30 13:01:30.319041252;0 days 00:00:03.503967;3214;2977;959
;id:000023,src:000000,op:flip1,pos:553;2019-10-30 13:01:30.327041149;0 days 00:00:03.511967;3214;2976;959
;id:000024,src:000000,op:flip1,pos:553;2019-10-30 13:01:30.339040995;0 days 00:00:03.523967;3214;2979;959
;id:000025,src:000000,op:flip1,pos:554,+cov;2019-10-30 13:01:30.347041130;0 days 00:00:03.531967;3219;2996;964
;id:000026,src:000000,op:flip1,pos:554,+cov;2019-10-30 13:01:30.355041027;0 days 00:00:03.539967;3223;3000;968
;id:000027,src:000000,op:flip1,pos:554,+cov;2019-10-30 13:01:30.367040873;0 days 00:00:03.551967;3247;3008;992
;id:000028,src:000000,op:flip1,pos:555,+cov;2019-10-30 13:01:30.379040718;0 days 00:00:03.563966;3248;2997;993
;id:000029,src:000000,op:flip1,pos:555,+cov;2019-10-30 13:01:30.387040615;0 days 00:00:03.571966;3252;3008;997
;id:000030,src:000000,op:flip1,pos:555,+cov;2019-10-30 13:01:30.395040512;0 days 00:00:03.579966;3254;2998;999
;id:000031,src:000000,op:flip1,pos:556,+cov;2019-10-30 13:01:30.407040358;0 days 00:00:03.591966;3260;2996;1005
;id:000032,src:000000,op:flip1,pos:556;2019-10-30 13:01:30.419040442;0 days 00:00:03.603966;3260;3008;1005
;id:000033,src:000000,op:flip1,pos:557,+cov;2019-10-30 13:01:30.431040287;0 days 00:00:03.615966;3261;3003;1006
;id:000034,src:000000,op:flip1,pos:557,+cov;2019-10-30 13:01:30.439040184;0 days 00:00:03.623966;3262;2996;1007
;id:000035,src:000000,op:flip1,pos:557,+cov;2019-10-30 13:01:30.447040081;0 days 00:00:03.631966;3263;2998;1008
;id:000036,src:000000,op:flip1,pos:558,+cov;2019-10-30 13:01:30.459039927;0 days 00:00:03.643966;3265;3000;1010
;id:000037,src:000000,op:flip1,pos:559,+cov;2019-10-30 13:01:30.475039721;0 days 00:00:03.659965;3266;3001;1011
;id:000038,src:000000,op:flip1,pos:560,+cov;2019-10-30 13:01:30.491039753;0 days 00:00:03.675966;3270;3005;1015
;id:000039,src:000000,op:flip1,pos:561,+cov;2019-10-30 13:01:30.503039598;0 days 00:00:03.687965;3275;2243;1020
;id:000040,src:000000,op:flip1,pos:561,+cov;2019-10-30 13:01:30.511039495;0 days 00:00:03.695965;3276;2242;1021
;id:000041,src:000000,op:flip1,pos:561;2019-10-30 13:01:30.515039444;0 days 00:00:03.699965;3276;2245;1021
;id:000042,src:000000,op:flip1,pos:561,+cov;2019-10-30 13:01:30.523039341;0 days 00:00:03.707965;3290;2253;1035
;id:000043,src:000000,op:flip1,pos:561,+cov;2019-10-30 13:01:30.531039237;0 days 00:00:03.715965;3298;2267;1043
;id:000044,src:000000,op:flip1,pos:562;2019-10-30 13:01:30.539039135;0 days 00:00:03.723965;3298;2267;1043
;id:000045,src:000000,op:flip1,pos:562,+cov;2019-10-30 13:01:30.551039219;0 days 00:00:03.735965;3301;2252;1046
;id:000046,src:000000,op:flip1,pos:563,+cov;2019-10-30 13:01:30.559039116;0 days 00:00:03.743965;3307;2248;1052
;id:000047,src:000000,op:flip1,pos:563,+cov;2019-10-30 13:01:30.563039064;0 days 00:00:03.747965;3309;2247;1054
;id:000048,src:000000,op:flip1,pos:563,+cov;2019-10-30 13:01:30.575038910;0 days 00:00:03.759965;3312;2245;1057
;id:000049,src:000000,op:flip1,pos:563,+cov;2019-10-30 13:01:30.579038858;0 days 00:00:03.763965;3317;2269;1062
;id:000050,src:000000,op:flip1,pos:564;2019-10-30 13:01:30.587038755;0 days 00:00:03.771965;3317;2284;1062
;id:000051,src:000000,op:flip1,pos:564;2019-10-30 13:01:30.595038652;0 days 00:00:03.779964;3317;2282;1062
;id:000052,src:000000,op:flip1,pos:565,+cov;2019-10-30 13:01:30.611038685;0 days 00:00:03.795964;3318;2243;1063
;id:000053,src:000000,op:flip1,pos:567;2019-10-30 13:01:30.623038530;0 days 00:00:03.807964;3318;2278;1063
;id:000054,src:000000,op:flip1,pos:568;2019-10-30 13:01:30.639038324;0 days 00:00:03.823964;3318;2265;1063
;id:000055,src:000000,op:flip1,pos:569,+cov;2019-10-30 13:01:30.651038170;0 days 00:00:03.835964;3319;2248;1064
;id:000056,src:000000,op:flip1,pos:569,+cov;2019-10-30 13:01:30.655038118;0 days 00:00:03.839964;3320;2247;1065
;id:000057,src:000000,op:flip1,pos:569;2019-10-30 13:01:30.663038015;0 days 00:00:03.847964;3320;2249;1065
;id:000058,src:000000,op:flip1,pos:569;2019-10-30 13:01:30.671037912;0 days 00:00:03.855964;3320;2251;1065
;id:000059,src:000000,op:flip1,pos:569,+cov;2019-10-30 13:01:30.679038048;0 days 00:00:03.863964;3322;2276;1067
;id:000060,src:000000,op:flip1,pos:575;2019-10-30 13:01:30.715037584;0 days 00:00:03.899963;3322;2282;1067
;id:000061,src:000000,op:flip1,pos:577;2019-10-30 13:01:30.739037275;0 days 00:00:03.923963;3322;2270;1067
;id:000062,src:000000,op:flip1,pos:579,+cov;2019-10-30 13:01:30.751037359;0 days 00:00:03.935963;3325;2295;1070
;id:000063,src:000000,op:flip1,pos:582;2019-10-30 13:01:30.779036999;0 days 00:00:03.963963;3325;2286;1070
;id:000064,src:000000,op:flip1,pos:584,+cov;2019-10-30 13:01:30.795036793;0 days 00:00:03.979963;3327;2253;1072
;id:000065,src:000000,op:flip1,pos:584;2019-10-30 13:01:30.803036690;0 days 00:00:03.987962;3327;2271;1072
;id:000066,src:000000,op:flip1,pos:585,+cov;2019-10-30 13:01:30.815036774;0 days 00:00:03.999963;3329;2254;1074
;id:000067,src:000000,op:flip1,pos:585,+cov;2019-10-30 13:01:30.823036671;0 days 00:00:04.007962;3334;2258;1079
;id:000068,src:000000,op:flip1,pos:587,+cov;2019-10-30 13:01:30.839036465;0 days 00:00:04.023962;3336;2253;1081
;id:000069,src:000000,op:flip1,pos:587;2019-10-30 13:01:30.847036362;0 days 00:00:04.031962;3336;2251;1081
;id:000070,src:000000,op:flip1,pos:588,+cov;2019-10-30 13:01:30.855036259;0 days 00:00:04.039962;3337;2249;1082
