index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:ShowText-ShadingPattern.pdf;2019-10-25 19:51:41.296191454;0.0;2255;2255;0
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-25 19:53:44.991051435;0.0;3077;2763;822
;id:000002,src:000000,op:flip1,pos:0,+cov;2019-10-25 19:53:46.211040020;0 days 00:00:01.219988;3080;2758;825
;id:000003,src:000000,op:flip1,pos:0,+cov;2019-10-25 19:53:47.475028515;0 days 00:00:02.483977;3089;2767;834
;id:000004,src:000000,op:flip1,pos:0,+cov;2019-10-25 19:53:48.683017254;0 days 00:00:03.691965;3098;2765;843
;id:000007,src:000000,op:flip1,pos:1,+cov;2019-10-25 19:53:49.891006231;0 days 00:00:04.899954;3106;2762;851
;id:000008,src:000000,op:flip1,pos:1,+cov;2019-10-25 19:53:51.098994970;0 days 00:00:06.107943;3108;2762;853
;id:000009,src:000001,op:flip1,pos:0,+cov;2019-10-25 19:53:52.386983156;0 days 00:00:07.395931;3145;2853;890
;id:000012,src:000000,op:havoc,rep:4,+cov;2019-10-25 19:53:52.498982191;0 days 00:00:07.507930;3178;2887;923
;id:000015,src:000000,op:havoc,rep:32,+cov;2019-10-25 19:53:52.534981728;0 days 00:00:07.543930;3279;2935;1024
;id:000017,src:000000,op:havoc,rep:4;2019-10-25 19:53:52.558981657;0 days 00:00:07.567930;3284;2860;1029
;id:000023,src:000000,op:havoc,rep:32,+cov;2019-10-25 19:53:52.634980917;0 days 00:00:07.643929;3307;2260;1052
;id:000024,src:000000,op:havoc,rep:32,+cov;2019-10-25 19:53:52.646980762;0 days 00:00:07.655929;3361;2843;1106
;id:000026,src:000000,op:havoc,rep:8,+cov;2019-10-25 19:53:52.674980640;0 days 00:00:07.683929;3369;2871;1114
;id:000032,src:000000,op:havoc,rep:16,+cov;2019-10-25 19:53:52.742980003;0 days 00:00:07.751928;3384;2262;1129
