index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:test;2019-10-11 19:39:52.707919;0.0;1306;1306;0
;id:000005,src:000000,op:flip1,pos:4,+cov;2019-10-12 19:48:21.727890;0.0;1324;475;18
;id:000008,src:000000,op:flip1,pos:7,+cov;2019-10-12 19:48:21.743889;0 days 00:00:00.015999;1326;1308;20
;id:000009,src:000000,op:flip1,pos:16,+cov;2019-10-12 19:48:21.775889;0 days 00:00:00.047999;1330;1305;24
;id:000010,src:000000,op:flip1,pos:16,+cov;2019-10-12 19:48:21.783889;0 days 00:00:00.055999;1332;1305;26
;id:000011,src:000000,op:flip1,pos:18,+cov;2019-10-12 19:48:21.787889;0 days 00:00:00.059999;1353;1307;47
;id:000012,src:000000,op:flip1,pos:28,+cov;2019-10-12 19:48:21.823889;0 days 00:00:00.095999;1355;1289;49
;id:000013,src:000000,op:flip1,pos:28,+cov;2019-10-12 19:48:21.827889;0 days 00:00:00.099999;1360;1308;54
;id:000014,src:000000,op:flip1,pos:28,+cov;2019-10-12 19:48:21.831889;0 days 00:00:00.103999;1361;1306;55
;id:000015,src:000000,op:flip1,pos:28;2019-10-12 19:48:21.835889;0 days 00:00:00.107999;1361;1293;55
;id:000016,src:000000,op:flip1,pos:29,+cov;2019-10-12 19:48:21.839889;0 days 00:00:00.111999;1369;522;63
;id:000017,src:000000,op:flip1,pos:29,+cov;2019-10-12 19:48:21.843889;0 days 00:00:00.115999;1389;1302;83
;id:000018,src:000000,op:flip1,pos:32,+cov;2019-10-12 19:48:21.851888;0 days 00:00:00.123998;1396;585;90
;id:000019,src:000000,op:flip1,pos:32,+cov;2019-10-12 19:48:21.855888;0 days 00:00:00.127998;1397;597;91
;id:000021,src:000000,op:flip1,pos:32,+cov;2019-10-12 19:48:21.859888;0 days 00:00:00.131998;1399;600;93
;id:000020,src:000000,op:flip1,pos:32,+cov;2019-10-12 19:48:21.859888;0 days 00:00:00.131998;1400;468;94
;id:000024,src:000000,op:flip1,pos:33;2019-10-12 19:48:21.871888;0 days 00:00:00.143998;1400;595;94
;id:000026,src:000000,op:flip1,pos:44;2019-10-12 19:48:21.907888;0 days 00:00:00.179998;1400;1306;94
;id:000025,src:000000,op:flip1,pos:44;2019-10-12 19:48:21.907888;0 days 00:00:00.179998;1400;1306;94
;id:000027,src:000000,op:flip1,pos:44;2019-10-12 19:48:21.911888;0 days 00:00:00.183998;1400;1306;94
;id:000028,src:000000,op:flip1,pos:44;2019-10-12 19:48:21.915888;0 days 00:00:00.187998;1400;1278;94
;id:000029,src:000000,op:flip1,pos:46,+cov;2019-10-12 19:48:21.923888;0 days 00:00:00.195998;1402;513;96
;id:000032,src:000000,op:flip1,pos:48;2019-10-12 19:48:21.939888;0 days 00:00:00.211998;1402;603;96
;id:000033,src:000000,op:flip1,pos:50,+cov;2019-10-12 19:48:21.943888;0 days 00:00:00.215998;1431;621;125
;id:000034,src:000000,op:flip1,pos:50,+cov;2019-10-12 19:48:21.947888;0 days 00:00:00.219998;1453;1317;147
;id:000035,src:000000,op:flip1,pos:52,+cov;2019-10-12 19:48:21.959888;0 days 00:00:00.231998;1454;1307;148
;id:000036,src:000000,op:flip1,pos:84;2019-10-12 19:48:22.063887;0 days 00:00:00.335997;1454;1306;148
;id:000037,src:000000,op:flip1,pos:116;2019-10-12 19:48:22.167886;0 days 00:00:00.439996;1454;1306;148
;id:000038,src:000000,op:flip1,pos:121;2019-10-12 19:48:22.183886;0 days 00:00:00.455996;1454;1307;148
;id:000039,src:000000,op:flip1,pos:121;2019-10-12 19:48:22.187886;0 days 00:00:00.459996;1454;1307;148
;id:000040,src:000000,op:flip1,pos:121;2019-10-12 19:48:22.191885;0 days 00:00:00.463995;1454;1308;148
;id:000041,src:000000,op:flip1,pos:121;2019-10-12 19:48:22.195885;0 days 00:00:00.467995;1454;1308;148
;id:000042,src:000000,op:flip1,pos:125,+cov;2019-10-12 19:48:22.211885;0 days 00:00:00.483995;1455;1309;149
;id:000043,src:000000,op:flip1,pos:125;2019-10-12 19:48:22.215885;0 days 00:00:00.487995;1455;1309;149
;id:000044,src:000000,op:flip1,pos:125;2019-10-12 19:48:22.219885;0 days 00:00:00.491995;1455;1309;149
;id:000045,src:000000,op:flip1,pos:132;2019-10-12 19:48:22.243885;0 days 00:00:00.515995;1455;1308;149
;id:000046,src:000000,op:flip1,pos:133;2019-10-12 19:48:22.251885;0 days 00:00:00.523995;1455;1305;149
;id:000047,src:000000,op:flip1,pos:133;2019-10-12 19:48:22.255885;0 days 00:00:00.527995;1455;1308;149
;id:000048,src:000000,op:flip1,pos:133;2019-10-12 19:48:22.259885;0 days 00:00:00.531995;1455;1308;149
;id:000049,src:000000,op:flip1,pos:137;2019-10-12 19:48:22.275885;0 days 00:00:00.547995;1455;1308;149
;id:000050,src:000000,op:flip1,pos:152;2019-10-12 19:48:22.323884;0 days 00:00:00.595994;1455;1307;149
;id:000051,src:000000,op:flip1,pos:156;2019-10-12 19:48:22.339884;0 days 00:00:00.611994;1455;1308;149
;id:000052,src:000000,op:flip1,pos:156;2019-10-12 19:48:22.343884;0 days 00:00:00.615994;1455;1308;149
;id:000053,src:000000,op:flip1,pos:360,+cov;2019-10-12 19:48:22.995878;0 days 00:00:01.267988;1456;1306;150
;id:000054,src:000000,op:flip1,pos:360,+cov;2019-10-12 19:48:22.999878;0 days 00:00:01.271988;1457;1306;151
;id:000055,src:000000,op:flip1,pos:360,+cov;2019-10-12 19:48:23.003878;0 days 00:00:01.275988;1458;1306;152
;id:000056,src:000000,op:flip1,pos:360,+cov;2019-10-12 19:48:23.007878;0 days 00:00:01.279988;1464;1311;158
;id:000057,src:000000,op:flip1,pos:364,+cov;2019-10-12 19:48:23.023878;0 days 00:00:01.295988;1466;1312;160
;id:000058,src:000000,op:flip1,pos:368;2019-10-12 19:48:23.039878;0 days 00:00:01.311988;1466;1305;160
