index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:test;2019-10-11 19:40:19.323683;0.0;1306;1306;0
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-14 09:50:16.171345;0.0;1327;469;21
;id:000005,src:000000,op:flip1,pos:4,+cov;2019-10-14 09:50:16.191345;0 days 00:00:00.020000;1328;475;22
;id:000008,src:000000,op:flip1,pos:7,+cov;2019-10-14 09:50:16.207345;0 days 00:00:00.036000;1330;1308;24
;id:000009,src:000000,op:flip1,pos:16,+cov;2019-10-14 09:50:16.239345;0 days 00:00:00.068000;1334;1305;28
;id:000010,src:000000,op:flip1,pos:16,+cov;2019-10-14 09:50:16.247344;0 days 00:00:00.075999;1336;1305;30
;id:000011,src:000000,op:flip1,pos:18,+cov;2019-10-14 09:50:16.255345;0 days 00:00:00.084000;1357;1307;51
;id:000012,src:000000,op:flip1,pos:28,+cov;2019-10-14 09:50:16.291344;0 days 00:00:00.119999;1359;1289;53
;id:000013,src:000000,op:flip1,pos:28,+cov;2019-10-14 09:50:16.295344;0 days 00:00:00.123999;1364;1308;58
;id:000014,src:000000,op:flip1,pos:28,+cov;2019-10-14 09:50:16.299344;0 days 00:00:00.127999;1365;1306;59
;id:000015,src:000000,op:flip1,pos:28;2019-10-14 09:50:16.303344;0 days 00:00:00.131999;1365;1293;59
;id:000016,src:000000,op:flip1,pos:29,+cov;2019-10-14 09:50:16.307344;0 days 00:00:00.135999;1373;522;67
;id:000017,src:000000,op:flip1,pos:29,+cov;2019-10-14 09:50:16.311344;0 days 00:00:00.139999;1393;1302;87
;id:000018,src:000000,op:flip1,pos:32,+cov;2019-10-14 09:50:16.323344;0 days 00:00:00.151999;1400;585;94
;id:000019,src:000000,op:flip1,pos:32,+cov;2019-10-14 09:50:16.327344;0 days 00:00:00.155999;1401;597;95
;id:000020,src:000000,op:flip1,pos:32,+cov;2019-10-14 09:50:16.327344;0 days 00:00:00.155999;1402;468;96
;id:000021,src:000000,op:flip1,pos:32,+cov;2019-10-14 09:50:16.331344;0 days 00:00:00.159999;1404;600;98
