index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:empty;2019-09-23 09:08:57.071697;0.0;281;281;0
;id:000001,src:000000,op:havoc,rep:16,+cov;2019-09-23 09:09:13.087551;0.0;349;340;68
;id:000002,src:000000,op:havoc,rep:2,+cov;2019-09-23 09:09:13.091551;0 days 00:00:00.004000;351;327;70
;id:000004,src:000000,op:havoc,rep:128;2019-09-23 09:09:13.131550;0 days 00:00:00.043999;351;337;70
;id:000007,src:000000,op:havoc,rep:64,+cov;2019-09-23 09:09:13.247549;0 days 00:00:00.159998;353;338;72
;id:000010,src:000000,op:havoc,rep:128,+cov;2019-09-23 09:09:13.487547;0 days 00:00:00.399996;355;341;74
;id:000011,src:000000,op:havoc,rep:2,+cov;2019-09-23 09:09:14.039542;0 days 00:00:00.951991;501;435;220
;id:000012,src:000000,op:havoc,rep:16,+cov;2019-09-23 09:09:14.179541;0 days 00:00:01.091990;509;336;228
;id:000013,src:000000,op:havoc,rep:4;2019-09-23 09:09:14.351539;0 days 00:00:01.263988;509;328;228
;id:000014,src:000000,op:havoc,rep:16;2019-09-23 09:09:14.575537;0 days 00:00:01.487986;509;339;228
;id:000015,src:000000,op:havoc,rep:8,+cov;2019-09-23 09:09:14.903534;0 days 00:00:01.815983;512;329;231
;id:000016,src:000000,op:havoc,rep:32,+cov;2019-09-23 09:09:15.079533;0 days 00:00:01.991982;521;349;240
;id:000018,src:000000,op:havoc,rep:64;2019-09-23 09:09:16.135523;0 days 00:00:03.047972;531;345;250
;id:000019,src:000000,op:havoc,rep:32,+cov;2019-09-23 09:09:19.091496;0 days 00:00:06.003945;540;348;259
;id:000020,src:000000,op:havoc,rep:64;2019-09-23 09:09:19.703490;0 days 00:00:06.615939;540;328;259
;id:000003,src:000000,op:havoc,rep:32,+cov;2019-09-23 09:09:23.063460;0 days 00:00:09.975909;544;346;263
;id:000022,src:000003,op:flip2,pos:0,+cov;2019-09-23 09:09:23.191459;0 days 00:00:10.103908;547;347;266
;id:000023,src:000003,op:arith16,pos:0,val:+11,+cov;2019-09-23 09:09:24.359448;0 days 00:00:11.271897;548;346;267
;id:000024,src:000003,op:arith16,pos:0,val:+15,+cov;2019-09-23 09:09:24.363448;0 days 00:00:11.275897;550;349;269
;id:000005,src:000000,op:havoc,rep:32,+cov;2019-09-23 09:09:26.231431;0 days 00:00:13.143880;554;350;273
;id:000006,src:000000,op:havoc,rep:64,+cov;2019-09-23 09:09:29.591400;0 days 00:00:16.503849;562;346;281
;id:000025,src:000006,op:int32,pos:0,val:be:+65535,+cov;2019-09-23 09:09:31.075387;0 days 00:00:17.987836;563;355;282
;id:000026,src:000007,op:havoc,rep:4;2019-09-23 09:09:31.887379;0 days 00:00:18.799828;563;339;282
;id:000008,src:000000,op:havoc,rep:16,+cov;2019-09-23 09:09:32.491374;0 days 00:00:19.403823;565;341;284
;id:000009,src:000000,op:havoc,rep:128,+cov;2019-09-23 09:09:33.511365;0 days 00:00:20.423814;566;341;285
;id:000028,src:000009,op:havoc,rep:16,+cov;2019-09-23 09:09:34.291358;0 days 00:00:21.203807;568;343;287
;id:000029,src:000010,op:flip1,pos:1,+cov;2019-09-23 09:09:34.623354;0 days 00:00:21.535803;569;342;288
;id:000030,src:000011,op:flip1,pos:3,+cov;2019-09-23 09:09:35.359348;0 days 00:00:22.271797;605;363;324
;id:000031,src:000011,op:flip1,pos:3,+cov;2019-09-23 09:09:35.363348;0 days 00:00:22.275797;607;364;326
;id:000032,src:000011,op:flip1,pos:3,+cov;2019-09-23 09:09:35.367348;0 days 00:00:22.279797;610;365;329
;id:000033,src:000011,op:arith8,pos:3,val:+3,+cov;2019-09-23 09:09:35.443347;0 days 00:00:22.355796;612;437;331
;id:000034,src:000011,op:arith8,pos:3,val:+22,+cov;2019-09-23 09:09:35.455347;0 days 00:00:22.367796;613;330;332
;id:000035,src:000011,op:arith8,pos:3,val:+26,+cov;2019-09-23 09:09:35.459347;0 days 00:00:22.371796;614;330;333
;id:000036,src:000011,op:havoc,rep:2;2019-09-23 09:09:35.615345;0 days 00:00:22.527794;614;444;333
;id:000037,src:000011,op:havoc,rep:2;2019-09-23 09:09:35.711344;0 days 00:00:22.623793;614;446;333
;id:000038,src:000011,op:havoc,rep:2;2019-09-23 09:09:35.783344;0 days 00:00:22.695793;614;443;333
;id:000039,src:000011,op:havoc,rep:2;2019-09-23 09:09:35.827343;0 days 00:00:22.739792;614;378;333
;id:000040,src:000011,op:havoc,rep:2;2019-09-23 09:09:35.919343;0 days 00:00:22.831792;614;446;333
;id:000041,src:000011,op:havoc,rep:2;2019-09-23 09:09:36.387338;0 days 00:00:23.299787;614;446;333
;id:000042,src:000011,op:havoc,rep:8;2019-09-23 09:09:36.783335;0 days 00:00:23.695784;614;380;333
;id:000043,src:000011,op:havoc,rep:2;2019-09-23 09:09:36.971333;0 days 00:00:23.883782;614;448;333
;id:000044,src:000011,op:havoc,rep:2,+cov;2019-09-23 09:09:37.943324;0 days 00:00:24.855773;619;438;338
;id:000045,src:000011,op:havoc,rep:64;2019-09-23 09:09:38.815316;0 days 00:00:25.727765;619;450;338
;id:000046,src:000011,op:havoc,rep:4;2019-09-23 09:09:39.151313;0 days 00:00:26.063762;619;446;338
;id:000048,src:000011,op:havoc,rep:4;2019-09-23 09:09:41.475292;0 days 00:00:28.387741;619;377;338
;id:000049,src:000011,op:havoc,rep:2,+cov;2019-09-23 09:09:44.947260;0 days 00:00:31.859709;630;341;349
;id:000050,src:000016,op:flip1,pos:3,+cov;2019-09-23 09:09:46.703244;0 days 00:00:33.615693;631;343;350
;id:000051,src:000016,op:flip1,pos:4,+cov;2019-09-23 09:09:46.707244;0 days 00:00:33.619693;632;344;351
;id:000052,src:000016,op:flip1,pos:6,+cov;2019-09-23 09:09:46.715244;0 days 00:00:33.627693;633;346;352
;id:000053,src:000016,op:flip1,pos:7,+cov;2019-09-23 09:09:46.723244;0 days 00:00:33.635693;634;347;353
;id:000054,src:000016,op:flip1,pos:8,+cov;2019-09-23 09:09:46.727244;0 days 00:00:33.639693;635;348;354
;id:000017,src:000000,op:havoc,rep:8,+cov;2019-09-23 09:09:47.479237;0 days 00:00:34.391686;637;344;356
;id:000056,src:000017,op:flip1,pos:2,+cov;2019-09-23 09:09:47.487237;0 days 00:00:34.399686;639;345;358
;id:000059,src:000019,op:flip16,pos:4,+cov;2019-09-23 09:09:50.559209;0 days 00:00:37.471658;647;309;366
;id:000060,src:000019,op:flip32,pos:4,+cov;2019-09-23 09:09:50.571209;0 days 00:00:37.483658;658;380;377
;id:000061,src:000019,op:arith32,pos:4,val:be:+2,+cov;2019-09-23 09:09:51.463201;0 days 00:00:38.375650;660;309;379
;id:000062,src:000019,op:arith32,pos:4,val:be:+3,+cov;2019-09-23 09:09:51.467201;0 days 00:00:38.379650;664;376;383
;id:000063,src:000019,op:arith32,pos:4,val:be:+4,+cov;2019-09-23 09:09:51.471201;0 days 00:00:38.383650;665;307;384
;id:000021,src:000000,op:havoc,rep:32,+cov;2019-09-23 09:09:52.495192;0 days 00:00:39.407641;666;345;385
;id:000064,src:000022,op:int8,pos:2,val:+0,+cov;2019-09-23 09:09:54.999169;0 days 00:00:41.911618;788;461;507
;id:000065,src:000022,op:int8,pos:2,val:+100,+cov;2019-09-23 09:09:55.003169;0 days 00:00:41.915618;789;459;508
;id:000066,src:000022,op:int16,pos:2,val:+0,+cov;2019-09-23 09:09:55.095168;0 days 00:00:42.007617;792;463;511
;id:000067,src:000022,op:int32,pos:1,val:be:+1,+cov;2019-09-23 09:09:55.479164;0 days 00:00:42.391613;794;464;513
;id:000068,src:000022,op:havoc,rep:4,+cov;2019-09-23 09:09:56.195158;0 days 00:00:43.107607;796;459;515
;id:000070,src:000022,op:havoc,rep:2,+cov;2019-09-23 09:09:56.395156;0 days 00:00:43.307605;799;465;518
;id:000073,src:000022,op:havoc,rep:64;2019-09-23 09:09:57.527146;0 days 00:00:44.439595;799;462;518
;id:000075,src:000022,op:havoc,rep:64;2019-09-23 09:10:05.067077;0 days 00:00:51.979526;800;468;519
;id:000076,src:000022,op:havoc,rep:4;2019-09-23 09:10:05.723071;0 days 00:00:52.635520;800;461;519
;id:000077,src:000023,op:int8,pos:2,val:+0,+cov;2019-09-23 09:10:08.395047;0 days 00:00:55.307496;808;465;527
;id:000078,src:000024,op:int8,pos:2,val:+0,+cov;2019-09-23 09:10:11.699017;0 days 00:00:58.611466;813;464;532
;id:000079,src:000024,op:int16,pos:2,val:+0,+cov;2019-09-23 09:10:11.799016;0 days 00:00:58.711465;814;464;533
;id:000027,src:000008,op:havoc,rep:4,+cov;2019-09-23 09:10:13.203003;0 days 00:01:00.115452;828;334;547
;id:000081,src:000034,op:havoc,rep:2,+cov;2019-09-23 09:10:17.874960;0 days 00:01:04.787409;839;355;558
;id:000082,src:000034,op:havoc,rep:4,+cov;2019-09-23 09:10:18.094958;0 days 00:01:05.007407;840;358;559
;id:000083,src:000034,op:havoc,rep:2,+cov;2019-09-23 09:10:18.202957;0 days 00:01:05.115406;841;342;560
;id:000084,src:000034,op:havoc,rep:2,+cov;2019-09-23 09:10:18.446955;0 days 00:01:05.359404;855;400;574
;id:000085,src:000034,op:havoc,rep:2,+cov;2019-09-23 09:10:18.538954;0 days 00:01:05.451403;856;352;575
;id:000086,src:000034,op:havoc,rep:2;2019-09-23 09:10:19.110949;0 days 00:01:06.023398;856;347;575
;id:000087,src:000034,op:havoc,rep:2,+cov;2019-09-23 09:10:20.054940;0 days 00:01:06.967389;859;338;578
;id:000088,src:000034,op:havoc,rep:8,+cov;2019-09-23 09:10:20.222939;0 days 00:01:07.135388;861;396;580
;id:000089,src:000034,op:havoc,rep:4;2019-09-23 09:10:20.950932;0 days 00:01:07.863381;861;355;580
;id:000090,src:000034,op:havoc,rep:8;2019-09-23 09:10:23.242912;0 days 00:01:10.155361;861;355;580
;id:000091,src:000034,op:havoc,rep:8,+cov;2019-09-23 09:10:23.490909;0 days 00:01:10.403358;868;409;587
;id:000092,src:000034,op:havoc,rep:2;2019-09-23 09:10:24.018904;0 days 00:01:10.931353;868;354;587
;id:000093,src:000034,op:havoc,rep:2,+cov;2019-09-23 09:10:24.402901;0 days 00:01:11.315350;869;358;588
;id:000094,src:000034,op:havoc,rep:2,+cov;2019-09-23 09:10:24.562899;0 days 00:01:11.475348;871;348;590
;id:000095,src:000034,op:havoc,rep:4,+cov;2019-09-23 09:10:24.750898;0 days 00:01:11.663347;872;343;591
;id:000096,src:000034,op:havoc,rep:32,+cov;2019-09-23 09:10:25.038895;0 days 00:01:11.951344;875;412;594
;id:000097,src:000034,op:havoc,rep:2;2019-09-23 09:10:25.274893;0 days 00:01:12.187342;875;354;594
;id:000099,src:000034,op:havoc,rep:4;2019-09-23 09:10:27.710871;0 days 00:01:14.623320;875;400;594
;id:000047,src:000011,op:havoc,rep:16,+cov;2019-09-23 09:10:28.890860;0 days 00:01:15.803309;876;319;595
;id:000100,src:000049,op:havoc,rep:2,+cov;2019-09-23 09:10:29.718853;0 days 00:01:16.631302;878;386;597
;id:000055,src:000016,op:arith8,pos:0,val:+25,+cov;2019-09-23 09:10:34.318810;0 days 00:01:21.231259;901;354;620
;id:000101,src:000055,op:arith8,pos:1,val:-10,+cov;2019-09-23 09:10:34.410810;0 days 00:01:21.323259;902;353;621
;id:000102,src:000055,op:arith8,pos:1,val:-16,+cov;2019-09-23 09:10:34.418810;0 days 00:01:21.331259;903;352;622
;id:000057,src:000017,op:havoc,rep:64,+cov;2019-09-23 09:10:37.050786;0 days 00:01:23.963235;911;449;630
;id:000104,src:000057,op:flip1,pos:137;2019-09-23 09:10:37.406782;0 days 00:01:24.319231;913;450;632
;id:000105,src:000057,op:flip1,pos:138;2019-09-23 09:10:37.414782;0 days 00:01:24.327231;913;349;632
;id:000106,src:000057,op:flip2,pos:137;2019-09-23 09:10:37.782779;0 days 00:01:24.695228;913;351;632
;id:000107,src:000057,op:flip4,pos:1;2019-09-23 09:10:37.802779;0 days 00:01:24.715228;913;450;632
