index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:empty;2019-09-20 14:00:34.150658;0.0;281;281;0
;id:000001,src:000000,op:havoc,rep:128,+cov;2019-09-20 14:01:16.866278;0.0;344;337;63
;id:000002,src:000000,op:havoc,rep:64,+cov;2019-09-20 14:01:16.870278;0 days 00:00:00.004000;351;340;70
;id:000003,src:000000,op:havoc,rep:8;2019-09-20 14:01:16.882278;0 days 00:00:00.016000;351;327;70
;id:000004,src:000000,op:havoc,rep:8,+cov;2019-09-20 14:01:16.886278;0 days 00:00:00.020000;353;328;72
;id:000005,src:000000,op:havoc,rep:32,+cov;2019-09-20 14:01:16.898278;0 days 00:00:00.032000;357;342;76
;id:000006,src:000000,op:havoc,rep:128,+cov;2019-09-20 14:01:16.902278;0 days 00:00:00.036000;371;350;90
;id:000010,src:000000,op:havoc,rep:128,+cov;2019-09-20 14:01:17.674271;0 days 00:00:00.807993;373;341;92
;id:000011,src:000000,op:havoc,rep:128,+cov;2019-09-20 14:01:17.878269;0 days 00:00:01.011991;375;338;94
;id:000012,src:000000,op:havoc,rep:64,+cov;2019-09-20 14:01:18.218266;0 days 00:00:01.351988;384;345;103
;id:000014,src:000000,op:havoc,rep:128;2019-09-20 14:01:19.610254;0 days 00:00:02.743976;422;328;141
;id:000016,src:000000,op:havoc,rep:16;2019-09-20 14:01:20.666244;0 days 00:00:03.799966;422;345;141
;id:000017,src:000000,op:havoc,rep:32;2019-09-20 14:01:21.158240;0 days 00:00:04.291962;422;339;141
;id:000019,src:000000,op:havoc,rep:32;2019-09-20 14:01:26.710190;0 days 00:00:09.843912;422;339;141
;id:000021,src:000000,op:havoc,rep:2,+cov;2019-09-20 14:01:27.366184;0 days 00:00:10.499906;538;435;257
;id:000008,src:000000,op:havoc,rep:128,+cov;2019-09-20 14:01:28.706173;0 days 00:00:11.839895;540;341;259
;id:000009,src:000000,op:havoc,rep:128,+cov;2019-09-20 14:01:28.726172;0 days 00:00:11.859894;548;346;267
;id:000023,src:000012,op:int16,pos:4,val:+0,+cov;2019-09-20 14:01:31.550147;0 days 00:00:14.683869;549;273;268
;id:000015,src:000000,op:havoc,rep:128,+cov;2019-09-20 14:01:32.038143;0 days 00:00:15.171865;551;352;270
;id:000024,src:000015,op:flip1,pos:2,+cov;2019-09-20 14:01:32.046143;0 days 00:00:15.179865;553;353;272
;id:000025,src:000015,op:arith8,pos:0,val:-25,+cov;2019-09-20 14:01:32.674137;0 days 00:00:15.807859;555;352;274
;id:000018,src:000000,op:havoc,rep:128,+cov;2019-09-20 14:01:36.286105;0 days 00:00:19.419827;557;344;276
;id:000026,src:000018,op:flip1,pos:2,+cov;2019-09-20 14:01:36.294105;0 days 00:00:19.427827;578;447;297
;id:000027,src:000018,op:flip1,pos:2;2019-09-20 14:01:36.298105;0 days 00:00:19.431827;578;447;297
;id:000028,src:000018,op:flip2,pos:2;2019-09-20 14:01:36.398104;0 days 00:00:19.531826;578;446;297
;id:000029,src:000018,op:flip2,pos:2;2019-09-20 14:01:36.402104;0 days 00:00:19.535826;578;447;297
;id:000030,src:000018,op:flip2,pos:2,+cov;2019-09-20 14:01:36.406104;0 days 00:00:19.539826;579;345;298
;id:000031,src:000018,op:flip4,pos:2;2019-09-20 14:01:36.498103;0 days 00:00:19.631825;579;447;298
;id:000032,src:000018,op:arith8,pos:2,val:+5;2019-09-20 14:01:36.666102;0 days 00:00:19.799824;579;447;298
;id:000033,src:000018,op:arith8,pos:2,val:-9;2019-09-20 14:01:36.674102;0 days 00:00:19.807824;579;447;298
;id:000034,src:000018,op:arith8,pos:2,val:-16;2019-09-20 14:01:36.678102;0 days 00:00:19.811824;579;447;298
;id:000035,src:000018,op:havoc,rep:8;2019-09-20 14:01:38.254088;0 days 00:00:21.387810;579;447;298
;id:000036,src:000018,op:havoc,rep:16;2019-09-20 14:01:38.334087;0 days 00:00:21.467809;579;451;298
;id:000037,src:000018,op:havoc,rep:8,+cov;2019-09-20 14:01:38.446086;0 days 00:00:21.579808;582;319;301
;id:000039,src:000018,op:havoc,rep:64;2019-09-20 14:01:38.470086;0 days 00:00:21.603808;582;451;301
;id:000041,src:000018,op:havoc,rep:16;2019-09-20 14:01:39.374078;0 days 00:00:22.507800;582;454;301
;id:000042,src:000018,op:havoc,rep:8,+cov;2019-09-20 14:01:40.710066;0 days 00:00:23.843788;588;372;307
;id:000046,src:000018,op:havoc,rep:64,+cov;2019-09-20 14:01:46.146018;0 days 00:00:29.279740;591;350;310
;id:000048,src:000018,op:havoc,rep:16;2019-09-20 14:01:46.234017;0 days 00:00:29.367739;591;339;310
;id:000049,src:000018,op:havoc,rep:8,+cov;2019-09-20 14:01:46.570014;0 days 00:00:29.703736;594;346;313
;id:000050,src:000018,op:havoc,rep:32;2019-09-20 14:01:47.942002;0 days 00:00:31.075724;595;451;314
;id:000020,src:000000,op:havoc,rep:16,+cov;2019-09-20 14:01:50.529979;0 days 00:00:33.663701;632;354;351
;id:000052,src:000020,op:arith8,pos:1,val:-14,+cov;2019-09-20 14:01:50.637978;0 days 00:00:33.771700;633;353;352
;id:000053,src:000020,op:arith8,pos:1,val:-20,+cov;2019-09-20 14:01:50.641978;0 days 00:00:33.775700;634;352;353
;id:000054,src:000020,op:havoc,rep:2,+cov;2019-09-20 14:01:51.085974;0 days 00:00:34.219696;635;343;354
;id:000056,src:000021,op:flip1,pos:3,+cov;2019-09-20 14:01:52.513961;0 days 00:00:35.647683;670;363;389
;id:000057,src:000021,op:flip1,pos:3,+cov;2019-09-20 14:01:52.517961;0 days 00:00:35.651683;672;364;391
;id:000058,src:000021,op:flip1,pos:3,+cov;2019-09-20 14:01:52.521961;0 days 00:00:35.655683;675;365;394
;id:000059,src:000021,op:arith8,pos:3,val:+3,+cov;2019-09-20 14:01:52.613960;0 days 00:00:35.747682;676;437;395
;id:000060,src:000021,op:arith8,pos:3,val:+22,+cov;2019-09-20 14:01:52.629960;0 days 00:00:35.763682;677;330;396
;id:000061,src:000021,op:arith8,pos:3,val:+26,+cov;2019-09-20 14:01:52.633960;0 days 00:00:35.767682;678;330;397
;id:000062,src:000021,op:havoc,rep:2;2019-09-20 14:01:52.741959;0 days 00:00:35.875681;678;446;397
;id:000063,src:000021,op:havoc,rep:2;2019-09-20 14:01:52.841958;0 days 00:00:35.975680;678;377;397
;id:000064,src:000021,op:havoc,rep:2;2019-09-20 14:01:52.885957;0 days 00:00:36.019679;678;377;397
