index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:empty;2019-10-19 16:15:14.108491;0.0;281;281;0
;id:000001,src:000000,op:havoc,rep:8,+cov;2019-10-19 16:42:35.909930;0.0;349;340;68
;id:000002,src:000001,op:flip1,pos:0,+cov;2019-10-19 16:42:35.917930;0 days 00:00:00.008000;351;341;70
;id:000003,src:000002,op:flip1,pos:0,+cov;2019-10-19 16:42:36.001929;0 days 00:00:00.091999;353;341;72
;id:000004,src:000001,op:havoc,rep:128,+cov;2019-10-19 16:42:36.021929;0 days 00:00:00.111999;355;337;74
;id:000005,src:000004,op:havoc,rep:8;2019-10-19 16:42:36.033929;0 days 00:00:00.123999;355;327;74
;id:000006,src:000001,op:havoc,rep:64,+cov;2019-10-19 16:42:36.049928;0 days 00:00:00.139998;373;350;92
;id:000007,src:000006,op:havoc,rep:32;2019-10-19 16:42:36.597924;0 days 00:00:00.687994;373;346;92
;id:000008,src:000006,op:havoc,rep:128,+cov;2019-10-19 16:42:36.941921;0 days 00:00:01.031991;380;350;99
;id:000009,src:000003,op:havoc,rep:2,+cov;2019-10-19 16:42:37.653914;0 days 00:00:01.743984;382;342;101
;id:000010,src:000009,op:arith8,pos:0,val:+21,+cov;2019-10-19 16:42:37.997911;0 days 00:00:02.087981;385;342;104
;id:000011,src:000010,op:flip1,pos:1,+cov;2019-10-19 16:42:38.521906;0 days 00:00:02.611976;386;341;105
;id:000012,src:000003,op:havoc,rep:8,+cov;2019-10-19 16:42:38.681905;0 days 00:00:02.771975;424;339;143
;id:000013,src:000011,op:havoc,rep:128,+cov;2019-10-19 16:42:38.949903;0 days 00:00:03.039973;426;344;145
;id:000014,src:000012,op:havoc,rep:2;2019-10-19 16:42:39.501898;0 days 00:00:03.591968;426;339;145
;id:000015,src:000013,op:havoc,rep:4,+cov;2019-10-19 16:42:39.533897;0 days 00:00:03.623967;428;346;147
;id:000016,src:000005,op:havoc,rep:4,+cov;2019-10-19 16:42:40.733886;0 days 00:00:04.823956;430;341;149
;id:000017,src:000012,op:havoc,rep:4;2019-10-19 16:42:41.153883;0 days 00:00:05.243953;430;328;149
