index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000468,src:000107,op:havoc,rep:2;2019-09-15 14:58:23.035685;0.0;1072;1072;131
;id:000237,src:000107,op:flip1,pos:45;2019-09-15 14:58:23.035685;0.0;1089;984;135
;id:000489,src:000107,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;1106;978;141
;id:000816,src:000228,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;1141;959;154
;id:000484,src:000107,op:havoc,rep:4;2019-09-15 14:58:23.035685;0.0;1155;796;155
;id:001132,src:000610,op:havoc,rep:4;2019-09-15 14:58:23.035685;0.0;1277;1201;215
;id:000836,src:000229,op:havoc,rep:2;2019-09-15 14:58:23.035685;0.0;1302;1001;232
;id:000378,src:000107,op:havoc,rep:4;2019-09-15 14:58:23.035685;0.0;1304;1038;234
;id:000344,src:000107,op:havoc,rep:4;2019-09-15 14:58:23.035685;0.0;1306;884;236
;id:001448,src:000934,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;1315;1016;245
;id:000744,src:000143,op:havoc,rep:32;2019-09-15 14:58:23.035685;0.0;1360;449;283
;id:000047,src:000015,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;1440;377;360
;id:000199,src:000082,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;1478;383;396
;id:000348,src:000107,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;1478;961;396
;id:000315,src:000107,op:int8,pos:45,val:+100;2019-09-15 14:58:23.035685;0.0;1488;988;400
;id:000044,src:000015,op:havoc,rep:64;2019-09-15 14:58:23.035685;0.0;1494;349;401
;id:000035,src:000015,op:arith8,pos:14,val:-26,+cov;2019-09-15 14:58:23.035685;0.0;1501;446;408
;id:001373,src:000861,op:flip4,pos:64;2019-09-15 14:58:23.035685;0.0;1506;993;413
;id:000007,src:000000,op:havoc,rep:64,+cov;2019-09-15 14:58:23.035685;0.0;1532;344;439
;id:000259,src:000107,op:flip2,pos:53;2019-09-15 14:58:23.035685;0.0;1532;964;439
;id:001286,src:000737,op:havoc,rep:2;2019-09-15 14:58:23.035685;0.0;1566;483;463
;id:000126,src:000060,op:havoc,rep:2;2019-09-15 14:58:23.035685;0.0;1578;988;473
;id:001080,src:000593,op:int16,pos:40,val:+1000,+cov;2019-09-15 14:58:23.035685;0.0;1598;940;482
;id:000621,src:000117,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;1601;926;482
;id:000628,src:000117,op:havoc,rep:2;2019-09-15 14:58:23.035685;0.0;1604;972;484
;id:000235,src:000107,op:flip1,pos:39,+cov;2019-09-15 14:58:23.035685;0.0;1608;988;484
;id:000808,src:000208,op:flip2,pos:7,+cov;2019-09-15 14:58:23.035685;0.0;1627;382;501
;id:001429,src:000916,op:arith32,pos:52,val:be:+17,+cov;2019-09-15 14:58:23.035685;0.0;1692;1020;565
;id:001064,src:000584,op:havoc,rep:4;2019-09-15 14:58:23.035685;0.0;1735;991;594
;id:000041,src:000015,op:havoc,rep:2;2019-09-15 14:58:23.035685;0.0;1739;375;598
;id:001451,src:000936,op:havoc,rep:2;2019-09-15 14:58:23.035685;0.0;1742;1036;601
;id:000008,src:000000,op:havoc,rep:32,+cov;2019-09-15 14:58:23.035685;0.0;1750;346;609
;id:000721,src:000124,op:havoc,rep:4;2019-09-15 14:58:23.035685;0.0;1759;992;609
;id:001249,src:000697,op:havoc,rep:2,+cov;2019-09-15 14:58:23.035685;0.0;1794;1011;640
;id:000240,src:000107,op:flip1,pos:51;2019-09-15 14:58:23.035685;0.0;1794;963;640
;id:000042,src:000015,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;1794;377;640
;id:001115,src:000610,op:arith8,pos:84,val:-23;2019-09-15 14:58:23.035685;0.0;1826;1208;657
;id:000005,src:000000,op:havoc,rep:64,+cov;2019-09-15 14:58:23.035685;0.0;1830;350;661
;id:001401,src:000913,op:flip1,pos:43;2019-09-15 14:58:23.035685;0.0;1838;900;669
;id:001481,src:000943,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;1888;1125;687
;id:001361,src:000810,op:arith16,pos:12,val:+31,+cov;2019-09-15 14:58:23.035685;0.0;1897;326;696
;id:000791,src:000182,op:arith8,pos:11,val:+18,+cov;2019-09-15 14:58:23.035685;0.0;1969;544;741
;id:001019,src:000546,op:arith8,pos:48,val:+28,+cov;2019-09-15 14:58:23.035685;0.0;1988;987;754
;id:000572,src:000109,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;1988;1011;754
;id:001273,src:000705,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;2001;1035;764
;id:001043,src:000564,op:havoc,rep:16;2019-09-15 14:58:23.035685;0.0;2006;927;765
;id:000831,src:000229,op:havoc,rep:4;2019-09-15 14:58:23.035685;0.0;2007;1016;765
;id:001489,src:000948,op:havoc,rep:16;2019-09-15 14:58:23.035685;0.0;2032;1200;783
;id:001199,src:000651,op:havoc,rep:4;2019-09-15 14:58:23.035685;0.0;2033;1018;783
;id:000371,src:000107,op:havoc,rep:16;2019-09-15 14:58:23.035685;0.0;2036;1062;783
;id:001054,src:000582,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;2059;1025;796
;id:001394,src:000895,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;2065;1094;802
;id:000421,src:000107,op:havoc,rep:64;2019-09-15 14:58:23.035685;0.0;2072;1087;802
;id:001494,src:000948,op:havoc,rep:2;2019-09-15 14:58:23.035685;0.0;2078;1052;808
;id:000741,src:000143,op:havoc,rep:4,+cov;2019-09-15 14:58:23.035685;0.0;2087;384;817
;id:000379,src:000107,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;2087;1044;817
;id:000079,src:000045,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;2090;412;820
;id:000642,src:000117,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;2090;990;820
;id:001127,src:000610,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;2095;1141;825
;id:001207,src:000651,op:havoc,rep:16;2019-09-15 14:58:23.035685;0.0;2097;1093;826
;id:000668,src:000118,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;2098;1064;827
;id:000466,src:000107,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;2098;1047;827
;id:001484,src:000943,op:havoc,rep:16;2019-09-15 14:58:23.035685;0.0;2103;1059;832
;id:001113,src:000610,op:arith8,pos:67,val:-21;2019-09-15 14:58:23.035685;0.0;2109;1157;836
;id:001059,src:000584,op:flip1,pos:34;2019-09-15 14:58:23.035685;0.0;2110;821;837
;id:000567,src:000109,op:havoc,rep:32;2019-09-15 14:58:23.035685;0.0;2126;1099;847
;id:001280,src:000729,op:havoc,rep:16,+cov;2019-09-15 14:58:23.035685;0.0;2131;384;852
;id:001462,src:000940,op:havoc,rep:8,+cov;2019-09-15 14:58:23.035685;0.0;2131;978;852
;id:000691,src:000124,op:havoc,rep:2;2019-09-15 14:58:23.035685;0.0;2131;990;852
;id:000579,src:000111,op:havoc,rep:2;2019-09-15 14:58:23.035685;0.0;2131;955;852
;id:000166,src:000076,op:havoc,rep:2,+cov;2019-09-15 14:58:23.035685;0.0;2135;506;856
;id:001012,src:000510,op:havoc,rep:4,+cov;2019-09-15 14:58:23.035685;0.0;2148;468;869
;id:001509,src:000975,op:havoc,rep:4;2019-09-15 14:58:23.035685;0.0;2153;1034;874
;id:000247,src:000107,op:flip2,pos:4,+cov;2019-09-15 14:58:23.035685;0.0;2153;986;874
;id:000293,src:000107,op:arith8,pos:49,val:+25;2019-09-15 14:58:23.035685;0.0;2153;986;874
;id:000386,src:000107,op:havoc,rep:4;2019-09-15 14:58:23.035685;0.0;2153;973;874
;id:000626,src:000117,op:havoc,rep:4;2019-09-15 14:58:23.035685;0.0;2154;940;875
;id:000036,src:000015,op:havoc,rep:16;2019-09-15 14:58:23.035685;0.0;2154;381;875
;id:000485,src:000107,op:havoc,rep:4;2019-09-15 14:58:23.035685;0.0;2154;994;875
;id:000542,src:000109,op:havoc,rep:64;2019-09-15 14:58:23.035685;0.0;2156;1073;876
;id:000154,src:000070,op:havoc,rep:16,+cov;2019-09-15 14:58:23.035685;0.0;2157;370;877
;id:001095,src:000597,op:havoc,rep:8,+cov;2019-09-15 14:58:23.035685;0.0;2170;1004;890
;id:001490,src:000948,op:havoc,rep:8;2019-09-15 14:58:23.035685;0.0;2180;1103;900
;id:000603,src:000116,op:havoc,rep:32;2019-09-15 14:58:23.035685;0.0;2180;1059;900
;id:000376,src:000107,op:havoc,rep:4;2019-09-15 14:58:23.035685;0.0;2180;1028;900
