index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:test;2019-10-09 19:30:26.540848;0.0;2325;2325;0
;id:000005,src:000000,op:flip1,pos:4,+cov;2019-10-09 19:34:31.634591;0.0;2373;360;48
;id:000007,src:000000,op:flip1,pos:6,+cov;2019-10-09 19:34:31.646591;0 days 00:00:00.012000;2403;409;78
;id:000008,src:000000,op:flip1,pos:7,+cov;2019-10-09 19:34:31.658591;0 days 00:00:00.024000;2405;2326;80
;id:000009,src:000000,op:flip1,pos:16,+cov;2019-10-09 19:34:31.762590;0 days 00:00:00.127999;2416;2163;91
;id:000010,src:000000,op:flip1,pos:16,+cov;2019-10-09 19:34:31.782590;0 days 00:00:00.147999;2418;2324;93
;id:000011,src:000000,op:flip1,pos:18,+cov;2019-10-09 19:34:31.798590;0 days 00:00:00.163999;2457;1231;132
;id:000012,src:000000,op:flip1,pos:28,+cov;2019-10-09 19:34:31.898589;0 days 00:00:00.263998;2459;2309;134
;id:000013,src:000000,op:flip1,pos:28,+cov;2019-10-09 19:34:31.910589;0 days 00:00:00.275998;2464;2327;139
;id:000014,src:000000,op:flip1,pos:28,+cov;2019-10-09 19:34:31.922589;0 days 00:00:00.287998;2465;2325;140
;id:000015,src:000000,op:flip1,pos:28;2019-10-09 19:34:31.938588;0 days 00:00:00.303997;2465;2313;140
;id:000016,src:000000,op:flip1,pos:29,+cov;2019-10-09 19:34:31.942588;0 days 00:00:00.307997;2474;374;149
;id:000017,src:000000,op:flip1,pos:29,+cov;2019-10-09 19:34:31.954588;0 days 00:00:00.319997;2494;2322;169
;id:000018,src:000000,op:flip1,pos:32,+cov;2019-10-09 19:34:31.966588;0 days 00:00:00.331997;2503;496;178
;id:000019,src:000000,op:flip1,pos:32,+cov;2019-10-09 19:34:31.970588;0 days 00:00:00.335997;2504;508;179
;id:000020,src:000000,op:flip1,pos:32,+cov;2019-10-09 19:34:31.974588;0 days 00:00:00.339997;2505;320;180
;id:000021,src:000000,op:flip1,pos:32,+cov;2019-10-09 19:34:31.978588;0 days 00:00:00.343997;2507;511;182
