index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:test;2019-10-09 19:30:46.756662;0.0;2325;2325;0
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-10 19:42:48.353775;0.0;2372;350;47
;id:000005,src:000000,op:flip1,pos:4,+cov;2019-10-10 19:42:48.377774;0 days 00:00:00.023999;2381;360;56
;id:000007,src:000000,op:flip1,pos:6,+cov;2019-10-10 19:42:48.389774;0 days 00:00:00.035999;2411;409;86
;id:000008,src:000000,op:flip1,pos:7,+cov;2019-10-10 19:42:48.405774;0 days 00:00:00.051999;2413;2326;88
;id:000009,src:000000,op:flip1,pos:16,+cov;2019-10-10 19:42:48.525773;0 days 00:00:00.171998;2424;2163;99
;id:000010,src:000000,op:flip1,pos:16,+cov;2019-10-10 19:42:48.549773;0 days 00:00:00.195998;2426;2324;101
;id:000011,src:000000,op:flip1,pos:18,+cov;2019-10-10 19:42:48.565773;0 days 00:00:00.211998;2465;1231;140
;id:000012,src:000000,op:flip1,pos:28,+cov;2019-10-10 19:42:48.681772;0 days 00:00:00.327997;2467;2309;142
;id:000013,src:000000,op:flip1,pos:28,+cov;2019-10-10 19:42:48.693771;0 days 00:00:00.339996;2472;2327;147
;id:000014,src:000000,op:flip1,pos:28,+cov;2019-10-10 19:42:48.709771;0 days 00:00:00.355996;2473;2325;148
;id:000015,src:000000,op:flip1,pos:28;2019-10-10 19:42:48.725771;0 days 00:00:00.371996;2473;2313;148
;id:000016,src:000000,op:flip1,pos:29,+cov;2019-10-10 19:42:48.729771;0 days 00:00:00.375996;2482;374;157
;id:000017,src:000000,op:flip1,pos:29,+cov;2019-10-10 19:42:48.745771;0 days 00:00:00.391996;2502;2322;177
;id:000019,src:000000,op:flip1,pos:32,+cov;2019-10-10 19:42:48.761771;0 days 00:00:00.407996;2512;508;187
;id:000018,src:000000,op:flip1,pos:32,+cov;2019-10-10 19:42:48.761771;0 days 00:00:00.407996;2512;496;187
;id:000020,src:000000,op:flip1,pos:32,+cov;2019-10-10 19:42:48.765771;0 days 00:00:00.411996;2513;320;188
;id:000021,src:000000,op:flip1,pos:32,+cov;2019-10-10 19:42:48.769771;0 days 00:00:00.415996;2515;511;190
;id:000022,src:000000,op:flip1,pos:33,+cov;2019-10-10 19:42:48.773771;0 days 00:00:00.419996;2516;308;191
;id:000024,src:000000,op:flip1,pos:33;2019-10-10 19:42:48.781770;0 days 00:00:00.427995;2516;506;191
;id:000025,src:000000,op:flip1,pos:44;2019-10-10 19:42:48.897769;0 days 00:00:00.543994;2516;2325;191
;id:000026,src:000000,op:flip1,pos:44;2019-10-10 19:42:48.913769;0 days 00:00:00.559994;2516;2325;191
;id:000027,src:000000,op:flip1,pos:44;2019-10-10 19:42:48.925769;0 days 00:00:00.571994;2516;2325;191
;id:000028,src:000000,op:flip1,pos:44;2019-10-10 19:42:48.941769;0 days 00:00:00.587994;2516;2298;191
;id:000030,src:000000,op:flip1,pos:48,+cov;2019-10-10 19:42:48.961769;0 days 00:00:00.607994;2518;509;193
;id:000032,src:000000,op:flip1,pos:48;2019-10-10 19:42:48.969769;0 days 00:00:00.615994;2518;514;193
;id:000033,src:000000,op:flip1,pos:50,+cov;2019-10-10 19:42:48.977769;0 days 00:00:00.623994;2549;474;224
;id:000034,src:000000,op:flip1,pos:50,+cov;2019-10-10 19:42:48.993769;0 days 00:00:00.639994;2574;2228;249
;id:000035,src:000000,op:flip1,pos:52,+cov;2019-10-10 19:42:49.017768;0 days 00:00:00.663993;2575;2326;250
;id:000036,src:000000,op:flip1,pos:84;2019-10-10 19:42:49.413765;0 days 00:00:01.059990;2575;2325;250
;id:000037,src:000000,op:flip1,pos:116;2019-10-10 19:42:49.801761;0 days 00:00:01.447986;2575;2325;250
;id:000038,src:000000,op:flip1,pos:121;2019-10-10 19:42:49.873761;0 days 00:00:01.519986;2575;2326;250
;id:000039,src:000000,op:flip1,pos:121;2019-10-10 19:42:49.889760;0 days 00:00:01.535985;2575;2326;250
;id:000040,src:000000,op:flip1,pos:121;2019-10-10 19:42:49.905760;0 days 00:00:01.551985;2575;2327;250
;id:000041,src:000000,op:flip1,pos:121;2019-10-10 19:42:49.917760;0 days 00:00:01.563985;2575;2327;250
;id:000042,src:000000,op:flip1,pos:125,+cov;2019-10-10 19:42:49.969760;0 days 00:00:01.615985;2576;2328;251
