index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:test;2019-10-21 17:45:21.512081;0.0;2325;2325;0
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-21 17:56:26.518252;0.0;2372;350;47
;id:000002,src:000001,op:flip1,pos:0,+cov;2019-10-21 17:56:26.530252;0 days 00:00:00.012000;2381;308;56
;id:000003,src:000002,op:flip1,pos:0,+cov;2019-10-21 17:56:26.534252;0 days 00:00:00.016000;2384;350;59
;id:000008,src:000000,op:havoc,rep:8,+cov;2019-10-21 17:56:26.626251;0 days 00:00:00.107999;2391;551;66
;id:000011,src:000000,op:havoc,rep:8;2019-10-21 17:56:26.646251;0 days 00:00:00.127999;2391;2316;66
;id:000012,src:000000,op:havoc,rep:4;2019-10-21 17:56:26.658251;0 days 00:00:00.139999;2391;2325;66
;id:000014,src:000000,op:havoc,rep:4,+cov;2019-10-21 17:56:26.674251;0 days 00:00:00.155999;2392;2326;67
;id:000017,src:000000,op:havoc,rep:2;2019-10-21 17:56:26.698251;0 days 00:00:00.179999;2392;2323;67
;id:000018,src:000000,op:havoc,rep:4,+cov;2019-10-21 17:56:26.710251;0 days 00:00:00.191999;2406;2336;81
;id:000019,src:000000,op:havoc,rep:2;2019-10-21 17:56:26.726250;0 days 00:00:00.207998;2406;2325;81
;id:000020,src:000000,op:havoc,rep:2,+cov;2019-10-21 17:56:26.742250;0 days 00:00:00.223998;2410;2329;85
;id:000023,src:000000,op:havoc,rep:4;2019-10-21 17:56:26.762250;0 days 00:00:00.243998;2410;2325;85
;id:000024,src:000000,op:havoc,rep:16,+cov;2019-10-21 17:56:26.774250;0 days 00:00:00.255998;2443;936;118
;id:000025,src:000000,op:havoc,rep:2,+cov;2019-10-21 17:56:26.790250;0 days 00:00:00.271998;2444;2326;119
;id:000026,src:000000,op:havoc,rep:2,+cov;2019-10-21 17:56:26.806250;0 days 00:00:00.287998;2446;2327;121
;id:000032,src:000000,op:havoc,rep:4;2019-10-21 17:56:26.854249;0 days 00:00:00.335997;2446;2323;121
;id:000034,src:000000,op:havoc,rep:8,+cov;2019-10-21 17:56:26.882249;0 days 00:00:00.363997;2465;2362;140
;id:000035,src:000000,op:havoc,rep:4,+cov;2019-10-21 17:56:26.902249;0 days 00:00:00.383997;2471;2344;146
;id:000036,src:000000,op:havoc,rep:8,+cov;2019-10-21 17:56:26.918249;0 days 00:00:00.399997;2482;2370;157
;id:000037,src:000000,op:havoc,rep:4,+cov;2019-10-21 17:56:26.934249;0 days 00:00:00.415997;2510;2385;185
;id:000039,src:000000,op:havoc,rep:2,+cov;2019-10-21 17:56:26.974248;0 days 00:00:00.455996;2511;2326;186
;id:000040,src:000000,op:havoc,rep:16,+cov;2019-10-21 17:56:26.986248;0 days 00:00:00.467996;2517;1059;192
;id:000043,src:000000,op:havoc,rep:8,+cov;2019-10-21 17:56:27.010248;0 days 00:00:00.491996;2543;670;218
;id:000044,src:000000,op:havoc,rep:4;2019-10-21 17:56:27.026248;0 days 00:00:00.507996;2543;2356;218
;id:000046,src:000000,op:havoc,rep:4;2019-10-21 17:56:27.054248;0 days 00:00:00.535996;2543;2324;218
;id:000047,src:000000,op:havoc,rep:8;2019-10-21 17:56:27.074247;0 days 00:00:00.555995;2543;2341;218
;id:000049,src:000000,op:havoc,rep:2;2019-10-21 17:56:27.098247;0 days 00:00:00.579995;2543;752;218
;id:000050,src:000000,op:havoc,rep:2,+cov;2019-10-21 17:56:27.114247;0 days 00:00:00.595995;2552;2326;227
;id:000051,src:000000,op:havoc,rep:2,+cov;2019-10-21 17:56:27.126247;0 days 00:00:00.607995;2564;1917;239
;id:000053,src:000000,op:havoc,rep:4,+cov;2019-10-21 17:56:27.146247;0 days 00:00:00.627995;2567;2361;242
;id:000056,src:000000,op:havoc,rep:2,+cov;2019-10-21 17:56:27.202246;0 days 00:00:00.683994;2569;2360;244
;id:000058,src:000000,op:havoc,rep:4;2019-10-21 17:56:27.242246;0 days 00:00:00.723994;2569;2327;244
;id:000059,src:000000,op:havoc,rep:4;2019-10-21 17:56:27.254246;0 days 00:00:00.735994;2569;2325;244
;id:000061,src:000000,op:havoc,rep:2;2019-10-21 17:56:27.274246;0 days 00:00:00.755994;2569;696;244
;id:000063,src:000000,op:havoc,rep:2;2019-10-21 17:56:27.306245;0 days 00:00:00.787993;2569;2325;244
;id:000064,src:000000,op:havoc,rep:4,+cov;2019-10-21 17:56:27.314245;0 days 00:00:00.795993;2570;720;245
;id:000065,src:000000,op:havoc,rep:4,+cov;2019-10-21 17:56:27.330245;0 days 00:00:00.811993;2595;2342;270
;id:000066,src:000000,op:havoc,rep:8,+cov;2019-10-21 17:56:27.354245;0 days 00:00:00.835993;2596;2358;271
;id:000067,src:000000,op:havoc,rep:4;2019-10-21 17:56:27.374245;0 days 00:00:00.855993;2596;2328;271
;id:000068,src:000000,op:havoc,rep:2,+cov;2019-10-21 17:56:27.390245;0 days 00:00:00.871993;2597;2325;272
;id:000070,src:000000,op:havoc,rep:2,+cov;2019-10-21 17:56:27.430244;0 days 00:00:00.911992;2601;2329;276
;id:000071,src:000000,op:havoc,rep:8,+cov;2019-10-21 17:56:27.454244;0 days 00:00:00.935992;2607;2333;282
;id:000072,src:000000,op:havoc,rep:8,+cov;2019-10-21 17:56:27.466244;0 days 00:00:00.947992;2608;673;283
;id:000073,src:000000,op:havoc,rep:4,+cov;2019-10-21 17:56:27.482244;0 days 00:00:00.963992;2609;2326;284
;id:000074,src:000000,op:havoc,rep:8;2019-10-21 17:56:27.490244;0 days 00:00:00.971992;2609;740;284
;id:000075,src:000000,op:havoc,rep:2;2019-10-21 17:56:27.510244;0 days 00:00:00.991992;2609;2262;284
;id:000076,src:000000,op:havoc,rep:2;2019-10-21 17:56:27.534243;0 days 00:00:01.015991;2609;2320;284
;id:000077,src:000000,op:havoc,rep:8;2019-10-21 17:56:27.570243;0 days 00:00:01.051991;2609;2328;284
;id:000079,src:000000,op:havoc,rep:4,+cov;2019-10-21 17:56:27.586243;0 days 00:00:01.067991;2610;651;285
;id:000080,src:000000,op:havoc,rep:32,+cov;2019-10-21 17:56:27.606243;0 days 00:00:01.087991;2611;746;286
;id:000081,src:000000,op:havoc,rep:2,+cov;2019-10-21 17:56:27.622243;0 days 00:00:01.103991;2612;2320;287
;id:000084,src:000000,op:havoc,rep:2,+cov;2019-10-21 17:56:27.670242;0 days 00:00:01.151990;2631;2375;306
;id:000085,src:000000,op:havoc,rep:4,+cov;2019-10-21 17:56:27.678242;0 days 00:00:01.159990;2651;1020;326
;id:000086,src:000000,op:havoc,rep:4;2019-10-21 17:56:27.698242;0 days 00:00:01.179990;2651;754;326
;id:000087,src:000000,op:havoc,rep:8,+cov;2019-10-21 17:56:27.714242;0 days 00:00:01.195990;2652;2361;327
;id:000088,src:000000,op:havoc,rep:4;2019-10-21 17:56:27.718242;0 days 00:00:01.199990;2693;508;368
;id:000009,src:000000,op:havoc,rep:16,+cov;2019-10-21 17:56:28.774233;0 days 00:00:02.255981;2695;497;370
;id:000021,src:000000,op:havoc,rep:4,+cov;2019-10-21 17:56:30.290219;0 days 00:00:03.771967;2702;324;377
;id:000090,src:000021,op:flip1,pos:16,+cov;2019-10-21 17:56:30.430218;0 days 00:00:03.911966;2704;323;379
;id:000022,src:000000,op:havoc,rep:16;2019-10-21 17:56:31.258211;0 days 00:00:04.739959;2704;507;379
;id:000027,src:000000,op:havoc,rep:64,+cov;2019-10-21 17:56:32.250202;0 days 00:00:05.731950;2708;346;383
;id:000028,src:000000,op:havoc,rep:128,+cov;2019-10-21 17:56:32.274202;0 days 00:00:05.755950;2711;409;386
;id:000029,src:000000,op:havoc,rep:128;2019-10-21 17:56:32.298202;0 days 00:00:05.779950;2712;361;387
;id:000030,src:000000,op:havoc,rep:2,+cov;2019-10-21 17:56:32.706198;0 days 00:00:06.187946;2714;462;389
;id:000042,src:000000,op:havoc,rep:128;2019-10-21 17:56:35.614173;0 days 00:00:09.095921;2719;490;394
;id:000045,src:000000,op:havoc,rep:128,+cov;2019-10-21 17:56:36.686163;0 days 00:00:10.167911;2723;350;398
;id:000052,src:000000,op:havoc,rep:128,+cov;2019-10-21 17:56:37.682155;0 days 00:00:11.163903;2725;360;400
;id:000054,src:000000,op:havoc,rep:4,+cov;2019-10-21 17:56:38.222150;0 days 00:00:11.703898;2727;510;402
;id:000055,src:000000,op:havoc,rep:8,+cov;2019-10-21 17:56:38.246150;0 days 00:00:11.727898;2731;364;406
;id:000057,src:000000,op:havoc,rep:128,+cov;2019-10-21 17:56:38.758145;0 days 00:00:12.239893;2739;420;414
;id:000060,src:000000,op:havoc,rep:64,+cov;2019-10-21 17:56:38.782145;0 days 00:00:12.263893;2742;424;417
;id:000082,src:000000,op:havoc,rep:8,+cov;2019-10-21 17:56:43.226106;0 days 00:00:16.707854;2744;475;419
;id:000083,src:000000,op:havoc,rep:8,+cov;2019-10-21 17:56:43.886101;0 days 00:00:17.367849;2746;478;421
;id:000089,src:000008,op:flip1,pos:3,+cov;2019-10-21 17:56:45.418087;0 days 00:00:18.899835;2750;354;425
;id:000092,src:000042,op:flip1,pos:32;2019-10-21 17:56:46.258080;0 days 00:00:19.739828;2751;465;426
;id:000094,src:000066,op:havoc,rep:2;2019-10-21 17:56:46.358079;0 days 00:00:19.839827;2751;2359;426
;id:000093,src:000002,op:havoc,rep:8,+cov;2019-10-21 17:56:46.366079;0 days 00:00:19.847827;2754;352;429
;id:000095,src:000002,op:havoc,rep:2,+cov;2019-10-21 17:56:46.870074;0 days 00:00:20.351822;2759;456;434
;id:000096,src:000002,op:havoc,rep:16,+cov;2019-10-21 17:56:46.874074;0 days 00:00:20.355822;2768;337;443
;id:000097,src:000002,op:havoc,rep:32;2019-10-21 17:56:46.878074;0 days 00:00:20.359822;2768;340;443
;id:000015,src:000000,op:havoc,rep:32,+cov;2019-10-21 17:56:46.906074;0 days 00:00:20.387822;2768;423;443
;id:000098,src:000024,op:havoc,rep:4,+cov;2019-10-21 17:56:47.906065;0 days 00:00:21.387813;2770;552;445
;id:000099,src:000003,op:havoc,rep:64,+cov;2019-10-21 17:56:47.914065;0 days 00:00:21.395813;2773;281;448
;id:000005,src:000000,op:havoc,rep:128,+cov;2019-10-21 17:56:47.930065;0 days 00:00:21.411813;2773;308;448
;id:000100,src:000036,op:havoc,rep:8,+cov;2019-10-21 17:56:48.974056;0 days 00:00:22.455804;2786;424;461
;id:000007,src:000000,op:havoc,rep:32,+cov;2019-10-21 17:56:50.014047;0 days 00:00:23.495795;2786;358;461
;id:000101,src:000014,op:havoc,rep:4,+cov;2019-10-21 17:56:50.030047;0 days 00:00:23.511795;2788;2364;463
;id:000013,src:000000,op:havoc,rep:64;2019-10-21 17:56:51.106037;0 days 00:00:24.587785;2788;505;463
;id:000103,src:000013,op:flip1,pos:16;2019-10-21 17:56:51.238036;0 days 00:00:24.719784;2788;504;463
;id:000104,src:000013,op:flip1,pos:16;2019-10-21 17:56:51.250036;0 days 00:00:24.731784;2788;504;463
;id:000105,src:000013,op:flip1,pos:18;2019-10-21 17:56:51.262036;0 days 00:00:24.743784;2788;499;463
;id:000106,src:000013,op:flip1,pos:33;2019-10-21 17:56:52.126028;0 days 00:00:25.607776;2788;551;463
;id:000004,src:000000,op:havoc,rep:64,+cov;2019-10-21 17:56:52.538025;0 days 00:00:26.019773;2788;320;463
;id:000031,src:000000,op:havoc,rep:8;2019-10-21 17:56:54.550007;0 days 00:00:28.031755;2788;507;463
;id:000102,src:000014,op:havoc,rep:32;2019-10-21 17:56:56.085994;0 days 00:00:29.567742;2788;513;463
;id:000108,src:000024,op:havoc,rep:4,+cov;2019-10-21 17:56:56.625989;0 days 00:00:30.107737;2789;928;464
;id:000006,src:000000,op:havoc,rep:64,+cov;2019-10-21 17:56:57.621980;0 days 00:00:31.103728;2789;496;464
;id:000109,src:000020,op:havoc,rep:8;2019-10-21 17:56:57.633980;0 days 00:00:31.115728;2789;699;464
;id:000110,src:000002,op:havoc,rep:16;2019-10-21 17:56:58.613972;0 days 00:00:32.095720;2789;327;464
;id:000111,src:000034,op:havoc,rep:2,+cov;2019-10-21 17:56:58.677971;0 days 00:00:32.159719;2791;2358;466
