index;filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
;id_1_9_001251;2019-10-29 16:37:27.068676;0 days 02:19:54.800273;2329;2329;188
;id_0_2_000230;2019-10-29 14:17:32.268403;0.0;2513;2392;67
;id_0_3_000354;2019-10-29 14:20:41.846668;0 days 00:03:09.578265;2578;2260;150
;id_3_9_003077;2019-10-30 07:26:20.244505;0 days 17:08:47.976102;3040;1716;538
;id_3_9_002919;2019-10-30 06:05:58.974201;0 days 15:48:26.705798;3103;1660;485
;id_1_2_001525;2019-10-29 17:15:17.903352;0 days 02:57:45.634949;3197;706;133
;id_0_2_000288;2019-10-29 14:19:16.147453;0 days 00:01:43.879050;3197;2390;65
;id_0_3_000654;2019-10-29 14:41:46.863044;0 days 00:24:14.594641;3202;2279;106
;id_3_8_003110;2019-10-30 07:46:46.028870;0 days 17:29:13.760467;3287;1765;573
;id_0_7_000185;2019-10-29 14:16:49.912791;0.0;3309;1544;101
;id_0_7_000656;2019-10-29 14:42:08.806842;0 days 00:24:36.538439;3334;513;98
;id_1_5_001110_cov;2019-10-29 16:28:12.901875;0 days 02:10:40.633472;3404;747;257
;id_2_5_002030;2019-10-29 22:05:50.958650;0 days 07:48:18.690247;3482;2299;231
;id:000502,src:000000,op:flip1,pos:6361;2019-10-29 13:44:34.621859;0.0;3482;2262;3
;id_0_4_000436;2019-10-29 14:22:24.293729;0 days 00:04:52.025326;3485;2424;105
;id_2_8_002705;2019-10-30 02:13:02.250486;0 days 11:55:29.982083;3513;678;68
;id_0_2_000064;2019-10-29 14:15:33.661487;0.0;3525;2415;92
;id_3_8_002937;2019-10-30 06:09:03.840443;0 days 15:51:31.572040;3591;1903;663
;id:000271,src:000000,op:flip1,pos:1572;2019-10-29 13:44:34.653858;0.0;3591;2330;5
;id_1_8_001586;2019-10-29 17:26:25.149055;0 days 03:08:52.880652;3668;2243;231
;id:000305,src:000000,op:flip1,pos:4496;2019-10-29 13:44:34.653858;0.0;3668;2325;0
;id_0_3_000641;2019-10-29 14:40:29.135759;0 days 00:22:56.867356;3672;2357;35
;id:001107,src:000000,op:arith8,pos:6445,val:+23;2019-10-29 13:44:34.653858;0.0;3672;2384;60
;id_3_8_003290;2019-10-30 09:12:39.088129;0 days 18:55:06.819726;3700;1718;530
;id_3_12_003237;2019-10-30 08:18:47.498718;0 days 18:01:15.230315;3711;1700;504
;id:000583,src:000000,op:flip1,pos:6521;2019-10-29 13:44:34.653858;0.0;3723;2330;44
;id:001021,src:000000,op:arith8,pos:152,val:+9;2019-10-29 13:44:34.653858;0.0;3723;2327;2
;id_3_4_002776;2019-10-30 04:13:06.498488;0 days 13:55:34.230085;3744;1703;450
;id_0_4_000038_cov;2019-10-29 14:15:30.217518;0.0;3748;602;121
;id_1_3_001927;2019-10-29 19:42:34.651994;0 days 05:25:02.383591;3750;1035;76
;id:001216,src:000000,op:arith8,pos:7280,val:+23;2019-10-29 13:44:34.653858;0.0;3760;2230;24
;id_1_1_001206;2019-10-29 16:31:36.075971;0 days 02:14:03.807568;3781;761;98
;id_1_9_001189;2019-10-29 16:30:34.884545;0 days 02:13:02.616142;3793;2139;161
;id_0_2_000404;2019-10-29 14:21:37.922154;0 days 00:04:05.653751;3793;2409;84
;id:000629,src:000000,op:flip1,pos:6625;2019-10-29 13:44:34.653858;0.0;3801;738;68
;id_0_7_000532;2019-10-29 14:29:56.321579;0 days 00:12:24.053176;3802;826;147
;id_2_1_002441;2019-10-29 23:36:31.179433;0 days 09:18:58.911030;3849;2165;141
;id_2_9_002343;2019-10-29 23:22:36.979356;0 days 09:05:04.710953;3856;2316;278
;id_0_2_000250;2019-10-29 14:17:48.672253;0 days 00:00:16.403850;3856;2391;73
;id_1_5_001319;2019-10-29 16:42:18.725941;0 days 02:24:46.457538;3871;2310;258
;id:000056,src:000000,op:flip1,pos:340;2019-10-29 13:44:34.657858;0.0;3871;2325;0
;id_3_7_003328;2019-10-30 10:02:01.156276;0 days 19:44:28.887873;3881;773;103
;id_0_7_000741;2019-10-29 14:47:52.447679;0 days 00:30:20.179276;3881;840;308
;id_1_8_001641_cov;2019-10-29 17:45:45.486130;0 days 03:28:13.217727;3886;2061;76
;id_3_0_002731;2019-10-30 02:31:27.731998;0 days 12:13:55.463595;3890;1230;92
;id:001343,src:000000,op:havoc,rep:2;2019-10-29 13:44:34.657858;0.0;3890;2321;13
;id_1_7_001547_cov;2019-10-29 17:20:17.372522;0 days 03:02:45.104119;3909;1810;195
;id_3_6_002738;2019-10-30 02:42:14.925863;0 days 12:24:42.657460;3910;574;84
;id_0_0_000413;2019-10-29 14:22:10.865852;0 days 00:04:38.597449;3910;2347;30
;id_2_3_002477;2019-10-30 00:10:52.691867;0 days 09:53:20.423464;3942;1870;577
;id_1_2_001509;2019-10-29 17:13:11.440544;0 days 02:55:39.172141;3946;659;67
;id:000786,src:000000,op:flip2,pos:607;2019-10-29 13:44:34.657858;0.0;3946;2326;1
;id:000396,src:000000,op:flip1,pos:6165;2019-10-29 13:44:34.657858;0.0;3946;2359;34
;id:001408,src:000000,op:havoc,rep:16;2019-10-29 13:44:34.657858;0.0;3964;1064;99
;id:000588,src:000000,op:flip1,pos:6525;2019-10-29 13:44:34.657858;0.0;3979;2394;81
;id_2_6_002203;2019-10-29 23:05:00.873339;0 days 08:47:28.604936;3990;1753;494
;id_2_10_002700;2019-10-30 02:11:38.387279;0 days 11:54:06.118876;3992;780;264
;id_0_2_000962;2019-10-29 15:05:23.469076;0 days 00:47:51.200673;3992;2406;86
;id_2_11_002237;2019-10-29 23:09:08.914990;0 days 08:51:36.646587;4010;1668;520
;id:001017,src:000000,op:arith8,pos:48,val:-26;2019-10-29 13:44:34.657858;0.0;4021;589;44
;id_2_3_002261_cov;2019-10-29 23:12:46.424933;0 days 08:55:14.156530;4058;1824;232
;id_1_2_001059;2019-10-29 15:47:13.848814;0 days 01:29:41.580411;4063;1054;80
;id_2_10_002098;2019-10-29 22:44:12.177135;0 days 08:26:39.908732;4075;2358;294
;id_3_12_003118;2019-10-30 07:47:04.192697;0 days 17:29:31.924294;4103;1759;570
;id_1_10_001412;2019-10-29 17:01:43.519010;0 days 02:44:11.250607;4112;2388;190
;id_1_10_001836;2019-10-29 18:38:06.888424;0 days 04:20:34.620021;4117;2342;268
;id:000147,src:000000,op:flip1,pos:607,+cov;2019-10-29 13:44:34.657858;0.0;4117;2326;1
;id_3_9_003248;2019-10-30 08:34:21.449887;0 days 18:16:49.181484;4121;841;137
;id:001200,src:000000,op:arith8,pos:7201,val:-10;2019-10-29 13:44:34.657858;0.0;4129;937;43
;id:000839,src:000000,op:flip2,pos:6365;2019-10-29 13:44:34.657858;0.0;4129;2389;65
;id:000428,src:000000,op:flip1,pos:6241;2019-10-29 13:44:34.657858;0.0;4132;574;25
;id:000209,src:000000,op:flip1,pos:893,+cov;2019-10-29 13:44:34.657858;0.0;4132;2332;7
;id:000373,src:000000,op:flip1,pos:6148,+cov;2019-10-29 13:44:34.657858;0.0;4132;2329;4
;id_1_6_001665;2019-10-29 17:46:06.833930;0 days 03:28:34.565527;4132;1696;442
;id_0_6_000044_cov;2019-10-29 14:15:30.909512;0.0;4179;422;96
;id_0_7_000569;2019-10-29 14:31:35.916663;0 days 00:14:03.648260;4179;1844;172
;id:000900,src:000000,op:flip2,pos:7200;2019-10-29 13:44:34.657858;0.0;4180;2300;45
;id:000131,src:000000,op:flip1,pos:488,+cov;2019-10-29 13:44:34.657858;0.0;4180;2327;2
;id_0_4_000316;2019-10-29 14:20:23.698834;0 days 00:02:51.430431;4185;926;102
;id_3_10_002772;2019-10-30 04:01:33.961035;0 days 13:44:01.692632;4201;1916;254
;id:000270,src:000000,op:flip1,pos:1567;2019-10-29 13:44:34.657858;0.0;4201;2325;0
;id:000758,src:000000,op:flip1,pos:7280;2019-10-29 13:44:34.657858;0.0;4201;2229;23
;id_3_9_003273;2019-10-30 08:49:06.681480;0 days 18:31:34.413077;4209;621;204
;id:000182,src:000000,op:flip1,pos:772,+cov;2019-10-29 13:44:34.657858;0.0;4210;2316;1
;id_1_6_001370;2019-10-29 16:51:17.224893;0 days 02:33:44.956490;4212;2377;288
;id_0_2_000118;2019-10-29 14:16:06.233189;0.0;4212;2403;84
