index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:test;2019-11-06 12:30:45.047915220;0.0;1177;1177;0
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-11-06 12:35:22.173189402;0.0;1183;82;6
;id:000002,src:000000,op:flip1,pos:4,+cov;2019-11-06 12:35:22.185189247;0 days 00:00:00.011999;1187;1180;10
;id:000003,src:000000,op:flip1,pos:4,+cov;2019-11-06 12:35:22.189189196;0 days 00:00:00.015999;1188;1178;11
;id:000004,src:000000,op:flip1,pos:5,+cov;2019-11-06 12:35:22.193189144;0 days 00:00:00.019999;1192;1180;15
;id:000005,src:000000,op:flip1,pos:5,+cov;2019-11-06 12:35:22.201189041;0 days 00:00:00.027999;1193;1178;16
;id:000006,src:000000,op:flip1,pos:6,+cov;2019-11-06 12:35:22.205189228;0 days 00:00:00.031999;1195;1178;18
;id:000007,src:000000,op:flip1,pos:6,+cov;2019-11-06 12:35:22.213189125;0 days 00:00:00.039999;1197;1179;20
;id:000008,src:000000,op:flip1,pos:7,+cov;2019-11-06 12:35:22.241188765;0 days 00:00:00.067999;1203;1181;26
;id:000009,src:000000,op:flip1,pos:7,+cov;2019-11-06 12:35:22.245188713;0 days 00:00:00.071999;1204;1177;27
;id:000010,src:000000,op:flip1,pos:7,+cov;2019-11-06 12:35:22.253188609;0 days 00:00:00.079999;1205;1178;28
;id:000011,src:000000,op:flip1,pos:16,+cov;2019-11-06 12:35:22.285188437;0 days 00:00:00.111999;1209;1179;32
;id:000012,src:000000,op:flip1,pos:18,+cov;2019-11-06 12:35:22.293188334;0 days 00:00:00.119998;1241;1176;64
;id:000013,src:000000,op:flip1,pos:18,+cov;2019-11-06 12:35:22.297188282;0 days 00:00:00.123998;1257;1173;80
;id:000014,src:000000,op:flip1,pos:18,+cov;2019-11-06 12:35:22.301188231;0 days 00:00:00.127998;1273;1181;96
;id:000015,src:000000,op:flip1,pos:18,+cov;2019-11-06 12:35:22.305188179;0 days 00:00:00.131998;1286;1187;109
;id:000016,src:000000,op:flip1,pos:18,+cov;2019-11-06 12:35:22.309188128;0 days 00:00:00.135998;1293;1179;116
;id:000017,src:000000,op:flip1,pos:18,+cov;2019-11-06 12:35:22.313188076;0 days 00:00:00.139998;1299;1175;122
;id:000018,src:000000,op:flip1,pos:18,+cov;2019-11-06 12:35:22.321187973;0 days 00:00:00.147998;1303;1172;126
;id:000019,src:000000,op:flip1,pos:18,+cov;2019-11-06 12:35:22.325187922;0 days 00:00:00.151998;1317;1188;140
;id:000020,src:000000,op:flip1,pos:19,+cov;2019-11-06 12:35:22.329187870;0 days 00:00:00.155998;1333;1176;156
;id:000021,src:000000,op:flip1,pos:19,+cov;2019-11-06 12:35:22.333187819;0 days 00:00:00.159998;1339;1176;162
;id:000022,src:000000,op:flip1,pos:19,+cov;2019-11-06 12:35:22.337187767;0 days 00:00:00.163998;1340;1175;163
;id:000023,src:000000,op:flip1,pos:19,+cov;2019-11-06 12:35:22.341187716;0 days 00:00:00.167998;1350;1179;173
;id:000024,src:000000,op:flip1,pos:28,+cov;2019-11-06 12:35:22.373187542;0 days 00:00:00.199998;1384;1063;207
;id:000025,src:000000,op:flip1,pos:28,+cov;2019-11-06 12:35:22.377187490;0 days 00:00:00.203998;1387;1176;210
;id:000026,src:000000,op:flip1,pos:28,+cov;2019-11-06 12:35:22.381187439;0 days 00:00:00.207998;1391;1178;214
