index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:test;2019-11-06 12:31:03.555732489;0.0;1177;1177;0
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-11-06 12:42:34.140955925;0.0;1183;82;6
;id:000002,src:000001,op:flip1,pos:0,+cov;2019-11-06 12:42:34.144955873;0 days 00:00:00.003999;1263;424;86
;id:000003,src:000000,op:havoc,rep:2,+cov;2019-11-06 12:42:34.596951485;0 days 00:00:00.455995;1264;1178;87
;id:000006,src:000003,op:flip1,pos:4,+cov;2019-11-06 12:42:35.292944670;0 days 00:00:01.151988;1268;1181;91
;id:000007,src:000003,op:flip1,pos:4,+cov;2019-11-06 12:42:35.304944515;0 days 00:00:01.163988;1269;1179;92
;id:000008,src:000003,op:flip1,pos:5,+cov;2019-11-06 12:42:35.308944464;0 days 00:00:01.167988;1273;1181;96
;id:000004,src:000000,op:havoc,rep:64,+cov;2019-11-06 12:42:35.764940023;0 days 00:00:01.623984;1286;409;109
;id:000005,src:000000,op:havoc,rep:64,+cov;2019-11-06 12:42:36.196935654;0 days 00:00:02.055979;1295;274;118
;id:000009,src:000000,op:havoc,rep:2,+cov;2019-11-06 12:42:38.720910788;0 days 00:00:04.579954;1382;905;205
;id:000010,src:000000,op:havoc,rep:8,+cov;2019-11-06 12:42:39.284905434;0 days 00:00:05.143949;1394;618;217
;id:000011,src:000000,op:havoc,rep:32,+cov;2019-11-06 12:42:39.992898464;0 days 00:00:05.851942;1467;706;290
;id:000013,src:000000,op:havoc,rep:4,+cov;2019-11-06 12:42:40.688891649;0 days 00:00:06.547935;1468;639;291
;id:000015,src:000000,op:havoc,rep:32,+cov;2019-11-06 12:42:41.316885471;0 days 00:00:07.175929;1478;673;301
;id:000016,src:000015,op:flip1,pos:5,+cov;2019-11-06 12:42:41.360884905;0 days 00:00:07.219928;1479;674;302
;id:000017,src:000015,op:flip1,pos:6,+cov;2019-11-06 12:42:41.364884853;0 days 00:00:07.223928;1481;674;304
;id:000018,src:000015,op:flip1,pos:6,+cov;2019-11-06 12:42:41.372884750;0 days 00:00:07.231928;1483;675;306
;id:000019,src:000015,op:flip1,pos:7,+cov;2019-11-06 12:42:41.380884886;0 days 00:00:07.239928;1489;677;312
;id:000020,src:000015,op:flip1,pos:7,+cov;2019-11-06 12:42:41.384884834;0 days 00:00:07.243928;1490;673;313
;id:000021,src:000015,op:flip1,pos:7,+cov;2019-11-06 12:42:41.388884783;0 days 00:00:07.247928;1491;674;314
;id:000022,src:000015,op:flip1,pos:16,+cov;2019-11-06 12:42:41.456883907;0 days 00:00:07.315927;1495;675;318
;id:000023,src:000015,op:flip1,pos:18,+cov;2019-11-06 12:42:41.476883888;0 days 00:00:07.335927;1508;671;331
;id:000024,src:000015,op:flip1,pos:18,+cov;2019-11-06 12:42:41.480883837;0 days 00:00:07.339927;1516;674;339
;id:000025,src:000015,op:flip1,pos:18,+cov;2019-11-06 12:42:41.484883785;0 days 00:00:07.343927;1525;676;348
;id:000026,src:000015,op:flip1,pos:18,+cov;2019-11-06 12:42:41.488883734;0 days 00:00:07.347927;1527;676;350
;id:000027,src:000015,op:flip1,pos:18,+cov;2019-11-06 12:42:41.492883682;0 days 00:00:07.351927;1528;673;351
;id:000028,src:000015,op:flip1,pos:18,+cov;2019-11-06 12:42:41.496883631;0 days 00:00:07.355927;1532;674;355
;id:000029,src:000015,op:flip1,pos:18,+cov;2019-11-06 12:42:41.504883528;0 days 00:00:07.363927;1533;670;356
;id:000030,src:000015,op:flip1,pos:18,+cov;2019-11-06 12:42:41.508883475;0 days 00:00:07.367927;1534;673;357
;id:000031,src:000015,op:flip1,pos:19,+cov;2019-11-06 12:42:41.512883424;0 days 00:00:07.371927;1545;674;368
;id:000032,src:000015,op:flip1,pos:19,+cov;2019-11-06 12:42:41.516883373;0 days 00:00:07.375927;1548;673;371
;id:000033,src:000015,op:flip1,pos:19,+cov;2019-11-06 12:42:41.520883322;0 days 00:00:07.379927;1549;672;372
;id:000034,src:000015,op:flip1,pos:19,+cov;2019-11-06 12:42:41.524883270;0 days 00:00:07.383927;1556;674;379
;id:000036,src:000015,op:flip1,pos:28,+cov;2019-11-06 12:42:41.596882582;0 days 00:00:07.455926;1568;678;391
;id:000037,src:000015,op:flip1,pos:28,+cov;2019-11-06 12:42:41.604882479;0 days 00:00:07.463926;1572;673;395
;id:000051,src:000015,op:flip1,pos:36,+cov;2019-11-06 12:42:41.708881617;0 days 00:00:07.567925;1579;679;402
;id:000052,src:000015,op:flip1,pos:42;2019-11-06 12:42:41.756880999;0 days 00:00:07.615925;1579;674;402
;id:000062,src:000015,op:flip1,pos:44,+cov;2019-11-06 12:42:41.808880568;0 days 00:00:07.667924;1605;684;428
;id:000063,src:000015,op:flip1,pos:46,+cov;2019-11-06 12:42:41.820880413;0 days 00:00:07.679924;1606;670;429
;id:000066,src:000015,op:flip1,pos:48;2019-11-06 12:42:41.852880239;0 days 00:00:07.711924;1606;864;429
;id:000069,src:000015,op:flip1,pos:52;2019-11-06 12:42:41.896879673;0 days 00:00:07.755923;1607;672;430
;id:000071,src:000015,op:flip1,pos:52,+cov;2019-11-06 12:42:41.904879570;0 days 00:00:07.763923;1608;674;431
;id:000072,src:000015,op:flip1,pos:55;2019-11-06 12:42:41.924879313;0 days 00:00:07.783923;1610;676;433
;id:000035,src:000015,op:flip1,pos:28,+cov;2019-11-06 12:42:54.304757833;0 days 00:00:20.163801;1620;623;443
;id:000039,src:000015,op:flip1,pos:28,+cov;2019-11-06 12:42:56.028740883;0 days 00:00:21.887784;1632;319;455
;id:000042,src:000015,op:flip1,pos:29,+cov;2019-11-06 12:42:56.440736771;0 days 00:00:22.299780;1638;223;461
;id:000046,src:000015,op:flip1,pos:33,+cov;2019-11-06 12:42:57.028731108;0 days 00:00:22.887775;1645;657;468
;id:000047,src:000015,op:flip1,pos:33;2019-11-06 12:42:57.732724190;0 days 00:00:23.591768;1645;850;468
;id:000048,src:000015,op:flip1,pos:33,+cov;2019-11-06 12:42:58.528716325;0 days 00:00:24.387760;1663;918;486
;id:000053,src:000015,op:flip1,pos:42,+cov;2019-11-06 12:42:59.572705984;0 days 00:00:25.431750;1664;218;487
;id:000055,src:000015,op:flip1,pos:44,+cov;2019-11-06 12:43:00.160700321;0 days 00:00:26.019744;1666;439;489
;id:000058,src:000015,op:flip1,pos:44;2019-11-06 12:43:00.652695417;0 days 00:00:26.511739;1666;438;489
