index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:test;2019-10-26 19:58:48.223993778;0.0;896;896;0
;id:000005,src:000000,op:flip1,pos:4,+cov;2019-10-31 14:50:06.836735964;0.0;947;357;51
;id:000007,src:000000,op:flip1,pos:6,+cov;2019-10-31 14:50:06.848736048;0.0;979;406;83
;id:000008,src:000000,op:flip1,pos:7,+cov;2019-10-31 14:50:06.852735996;0.0;981;897;85
;id:000009,src:000000,op:flip1,pos:16,+cov;2019-10-31 14:50:06.880735636;0.0;984;896;88
;id:000010,src:000000,op:flip1,pos:16,+cov;2019-10-31 14:50:06.884735584;0.0;986;895;90
;id:000011,src:000000,op:flip1,pos:18,+cov;2019-10-31 14:50:06.892735481;0.0;1005;896;109
;id:000012,src:000000,op:flip1,pos:28,+cov;2019-10-31 14:50:06.920735359;0.0;1007;879;111
;id:000013,src:000000,op:flip1,pos:28,+cov;2019-10-31 14:50:06.924735308;0.0;1012;898;116
;id:000014,src:000000,op:flip1,pos:28,+cov;2019-10-31 14:50:06.928735256;0.0;1013;896;117
;id:000016,src:000000,op:flip1,pos:29,+cov;2019-10-31 14:50:06.932735205;0.0;1022;453;126
;id:000015,src:000000,op:flip1,pos:28;2019-10-31 14:50:06.932735205;0.0;1022;883;126
;id:000017,src:000000,op:flip1,pos:29,+cov;2019-10-31 14:50:06.936735153;0.0;1042;892;146
;id:000018,src:000000,op:flip1,pos:32,+cov;2019-10-31 14:50:06.948734999;0.0;1051;493;155
;id:000019,src:000000,op:flip1,pos:32,+cov;2019-10-31 14:50:06.948734999;0.0;1052;505;156
;id:000020,src:000000,op:flip1,pos:32,+cov;2019-10-31 14:50:06.952734947;0.0;1053;405;157
;id:000021,src:000000,op:flip1,pos:32,+cov;2019-10-31 14:50:06.956734896;0.0;1055;508;159
;id:000022,src:000000,op:flip1,pos:33,+cov;2019-10-31 14:50:06.960734844;0.0;1057;393;161
;id:000024,src:000000,op:flip1,pos:33;2019-10-31 14:50:06.964734793;0.0;1057;503;161
;id:000025,src:000000,op:flip1,pos:44;2019-10-31 14:50:06.996734619;0.0;1057;896;161
;id:000027,src:000000,op:flip1,pos:44;2019-10-31 14:50:07.000734568;0.0;1057;896;161
;id:000026,src:000000,op:flip1,pos:44;2019-10-31 14:50:07.000734568;0.0;1057;896;161
;id:000028,src:000000,op:flip1,pos:44;2019-10-31 14:50:07.004734516;0.0;1057;868;161
;id:000029,src:000000,op:flip1,pos:46,+cov;2019-10-31 14:50:07.012734413;0.0;1059;420;163
;id:000032,src:000000,op:flip1,pos:48;2019-10-31 14:50:07.024734259;0.0;1059;511;163
;id:000033,src:000000,op:flip1,pos:50,+cov;2019-10-31 14:50:07.032734156;0.0;1090;529;194
;id:000034,src:000000,op:flip1,pos:50,+cov;2019-10-31 14:50:07.036734104;0.0;1107;906;211
;id:000035,src:000000,op:flip1,pos:52,+cov;2019-10-31 14:50:07.044734240;0.0;1108;897;212
;id:000036,src:000000,op:flip1,pos:84;2019-10-31 14:50:07.132733345;0.0;1108;896;212
;id:000037,src:000000,op:flip1,pos:116;2019-10-31 14:50:07.220732450;0.0;1108;896;212
