index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:test;2019-10-26 19:58:51.363964081;0.0;896;896;0
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-27 20:34:23.392176151;0.0;946;347;50
;id:000005,src:000000,op:flip1,pos:4,+cov;2019-10-27 20:34:23.412175894;0 days 00:00:00.019999;955;357;59
;id:000007,src:000000,op:flip1,pos:6,+cov;2019-10-27 20:34:23.420175791;0 days 00:00:00.027999;987;406;91
;id:000008,src:000000,op:flip1,pos:7,+cov;2019-10-27 20:34:23.424175739;0 days 00:00:00.031999;989;897;93
;id:000009,src:000000,op:flip1,pos:16,+cov;2019-10-27 20:34:23.452175617;0 days 00:00:00.059999;992;896;96
;id:000010,src:000000,op:flip1,pos:16,+cov;2019-10-27 20:34:23.456175566;0 days 00:00:00.063999;994;895;98
;id:000011,src:000000,op:flip1,pos:18,+cov;2019-10-27 20:34:23.464175463;0 days 00:00:00.071999;1013;896;117
;id:000012,src:000000,op:flip1,pos:28,+cov;2019-10-27 20:34:23.492175102;0 days 00:00:00.099998;1015;879;119
;id:000013,src:000000,op:flip1,pos:28,+cov;2019-10-27 20:34:23.496175051;0 days 00:00:00.103998;1020;898;124
;id:000014,src:000000,op:flip1,pos:28,+cov;2019-10-27 20:34:23.500174998;0 days 00:00:00.107998;1021;896;125
;id:000015,src:000000,op:flip1,pos:28;2019-10-27 20:34:23.504174947;0 days 00:00:00.111998;1021;883;125
;id:000016,src:000000,op:flip1,pos:29,+cov;2019-10-27 20:34:23.508174896;0 days 00:00:00.115998;1030;453;134
;id:000017,src:000000,op:flip1,pos:29,+cov;2019-10-27 20:34:23.512175083;0 days 00:00:00.119998;1050;892;154
;id:000018,src:000000,op:flip1,pos:32,+cov;2019-10-27 20:34:23.520174979;0 days 00:00:00.127998;1059;493;163
;id:000019,src:000000,op:flip1,pos:32,+cov;2019-10-27 20:34:23.520174979;0 days 00:00:00.127998;1060;505;164
;id:000020,src:000000,op:flip1,pos:32,+cov;2019-10-27 20:34:23.524174928;0 days 00:00:00.131998;1061;405;165
;id:000021,src:000000,op:flip1,pos:32,+cov;2019-10-27 20:34:23.528174877;0 days 00:00:00.135998;1063;508;167
;id:000024,src:000000,op:flip1,pos:33;2019-10-27 20:34:23.536174774;0 days 00:00:00.143998;1063;503;167
;id:000025,src:000000,op:flip1,pos:44;2019-10-27 20:34:23.568174362;0 days 00:00:00.175998;1063;896;167
;id:000026,src:000000,op:flip1,pos:44;2019-10-27 20:34:23.572174549;0 days 00:00:00.179998;1063;896;167
;id:000027,src:000000,op:flip1,pos:44;2019-10-27 20:34:23.572174549;0 days 00:00:00.179998;1063;896;167
;id:000028,src:000000,op:flip1,pos:44;2019-10-27 20:34:23.576174498;0 days 00:00:00.183998;1063;868;167
;id:000029,src:000000,op:flip1,pos:46,+cov;2019-10-27 20:34:23.584174395;0 days 00:00:00.191998;1065;420;169
;id:000032,src:000000,op:flip1,pos:48;2019-10-27 20:34:23.596174240;0 days 00:00:00.203998;1065;511;169
;id:000033,src:000000,op:flip1,pos:50,+cov;2019-10-27 20:34:23.604174137;0 days 00:00:00.211997;1096;529;200
;id:000034,src:000000,op:flip1,pos:50,+cov;2019-10-27 20:34:23.608174086;0 days 00:00:00.215997;1113;906;217
;id:000035,src:000000,op:flip1,pos:52,+cov;2019-10-27 20:34:23.616173983;0 days 00:00:00.223997;1114;897;218
;id:000036,src:000000,op:flip1,pos:84;2019-10-27 20:34:23.704173326;0 days 00:00:00.311997;1114;896;218
;id:000037,src:000000,op:flip1,pos:116;2019-10-27 20:34:23.792172432;0 days 00:00:00.399996;1114;896;218
;id:000038,src:000000,op:flip1,pos:121;2019-10-27 20:34:23.808172226;0 days 00:00:00.415996;1114;897;218
;id:000039,src:000000,op:flip1,pos:121;2019-10-27 20:34:23.812172174;0 days 00:00:00.419996;1114;897;218
;id:000040,src:000000,op:flip1,pos:121;2019-10-27 20:34:23.816172123;0 days 00:00:00.423995;1114;898;218
;id:000041,src:000000,op:flip1,pos:121;2019-10-27 20:34:23.820172071;0 days 00:00:00.427995;1114;898;218
;id:000042,src:000000,op:flip1,pos:125,+cov;2019-10-27 20:34:23.828172207;0 days 00:00:00.435996;1115;899;219
;id:000043,src:000000,op:flip1,pos:125;2019-10-27 20:34:23.832172155;0 days 00:00:00.439996;1115;899;219
;id:000044,src:000000,op:flip1,pos:125;2019-10-27 20:34:23.836172104;0 days 00:00:00.443995;1115;899;219
;id:000045,src:000000,op:flip1,pos:132;2019-10-27 20:34:23.856171846;0 days 00:00:00.463995;1115;898;219
;id:000046,src:000000,op:flip1,pos:133;2019-10-27 20:34:23.860171795;0 days 00:00:00.467995;1115;895;219
;id:000048,src:000000,op:flip1,pos:133;2019-10-27 20:34:23.868171692;0 days 00:00:00.475995;1115;898;219
;id:000047,src:000000,op:flip1,pos:133;2019-10-27 20:34:23.868171692;0 days 00:00:00.475995;1115;898;219
;id:000049,src:000000,op:flip1,pos:137;2019-10-27 20:34:23.884171724;0 days 00:00:00.491995;1115;898;219
;id:000050,src:000000,op:flip1,pos:152;2019-10-27 20:34:23.924171209;0 days 00:00:00.531995;1115;897;219
;id:000051,src:000000,op:flip1,pos:156;2019-10-27 20:34:23.940171003;0 days 00:00:00.547994;1115;898;219
;id:000052,src:000000,op:flip1,pos:156;2019-10-27 20:34:23.944170952;0 days 00:00:00.551994;1115;898;219
;id:000054,src:000000,op:flip1,pos:360,+cov;2019-10-27 20:34:24.496165991;0 days 00:00:01.103989;1116;896;220
;id:000053,src:000000,op:flip1,pos:360,+cov;2019-10-27 20:34:24.496165991;0 days 00:00:01.103989;1117;896;221
;id:000055,src:000000,op:flip1,pos:360,+cov;2019-10-27 20:34:24.500165938;0 days 00:00:01.107989;1118;896;222
;id:000056,src:000000,op:flip1,pos:360,+cov;2019-10-27 20:34:24.504166126;0 days 00:00:01.111989;1124;901;228
;id:000057,src:000000,op:flip1,pos:364,+cov;2019-10-27 20:34:24.516165972;0 days 00:00:01.123989;1126;902;230
;id:000058,src:000000,op:flip1,pos:368;2019-10-27 20:34:24.532165766;0 days 00:00:01.139989;1126;895;230
;id:000059,src:000000,op:flip1,pos:372,+cov;2019-10-27 20:34:24.544165611;0 days 00:00:01.151989;1127;896;231
;id:000060,src:000000,op:flip1,pos:400;2019-10-27 20:34:24.620164871;0 days 00:00:01.227988;1127;891;231
;id:000061,src:000000,op:flip1,pos:5867;2019-10-27 20:34:39.440031052;0 days 00:00:16.047854;1127;896;231
;id:000062,src:000000,op:flip1,pos:5867;2019-10-27 20:34:39.444031;0 days 00:00:16.051854;1127;896;231
;id:000063,src:000000,op:flip1,pos:5874;2019-10-27 20:34:39.464030743;0 days 00:00:16.071854;1127;896;231
;id:000064,src:000000,op:flip1,pos:6092;2019-10-27 20:34:40.088025093;0 days 00:00:16.695848;1127;893;231
;id:000065,src:000000,op:flip1,pos:6093,+cov;2019-10-27 20:34:40.096024990;0 days 00:00:16.703848;1129;896;233
;id:000066,src:000000,op:flip1,pos:6093,+cov;2019-10-27 20:34:40.100024939;0 days 00:00:16.707848;1131;894;235
;id:000068,src:000000,op:flip1,pos:6145,+cov;2019-10-27 20:34:40.244023800;0 days 00:00:16.851847;1139;547;243
;id:000067,src:000000,op:flip1,pos:6144,+cov;2019-10-27 20:34:40.244023800;0 days 00:00:16.851847;1141;898;245
;id:000069,src:000000,op:flip1,pos:6148,+cov;2019-10-27 20:34:40.256023645;0 days 00:00:16.863847;1145;900;249
;id:000070,src:000000,op:flip1,pos:6148,+cov;2019-10-27 20:34:40.260023594;0 days 00:00:16.867847;1147;517;251
;id:000072,src:000000,op:flip1,pos:6148,+cov;2019-10-27 20:34:40.264023542;0 days 00:00:16.871847;1148;897;252
;id:000071,src:000000,op:flip1,pos:6148,+cov;2019-10-27 20:34:40.264023542;0 days 00:00:16.871847;1149;516;253
;id:000073,src:000000,op:flip1,pos:6148,+cov;2019-10-27 20:34:40.268023491;0 days 00:00:16.875847;1162;910;266
;id:000074,src:000000,op:flip1,pos:6148;2019-10-27 20:34:40.272023439;0 days 00:00:16.879847;1166;900;270
;id:000075,src:000000,op:flip1,pos:6151,+cov;2019-10-27 20:34:40.280023336;0 days 00:00:16.887847;1167;900;271
;id:000076,src:000000,op:flip1,pos:6152,+cov;2019-10-27 20:34:40.288023233;0 days 00:00:16.895847;1179;930;283
;id:000077,src:000000,op:flip1,pos:6152;2019-10-27 20:34:40.288023233;0 days 00:00:16.895847;1179;896;283
;id:000078,src:000000,op:flip1,pos:6152,+cov;2019-10-27 20:34:40.292023420;0 days 00:00:16.899847;1180;897;284
;id:000079,src:000000,op:flip1,pos:6152;2019-10-27 20:34:40.296023369;0 days 00:00:16.903847;1180;896;284
;id:000080,src:000000,op:flip1,pos:6152;2019-10-27 20:34:40.300023317;0 days 00:00:16.907847;1180;896;284
