index;filename;m_timestamp;running_s;total_coverage;current_coverage;total_coverage_own_finds
;id:000000,orig:test;2019-10-26 19:55:50.089624405;0.0;896;896;0
;id:000001,src:000000,op:flip1,pos:0,+cov;2019-10-26 20:02:04.954153299;0.0;946;347;50
;id:000002,src:000001,op:flip1,pos:0,+cov;2019-10-26 20:02:04.954153299;0.0;991;393;95
;id:000005,src:000000,op:havoc,rep:4,+cov;2019-10-26 20:02:04.998152971;0 days 00:00:00.043999;993;898;97
;id:000010,src:000000,op:havoc,rep:2,+cov;2019-10-26 20:02:05.030152798;0 days 00:00:00.075999;995;900;99
;id:000012,src:000000,op:havoc,rep:8,+cov;2019-10-26 20:02:05.042152643;0 days 00:00:00.087999;1048;740;152
;id:000014,src:000000,op:havoc,rep:4;2019-10-26 20:02:05.058152437;0 days 00:00:00.103999;1048;896;152
;id:000003,src:000000,op:havoc,rep:64,+cov;2019-10-26 20:02:05.522148132;0 days 00:00:00.567994;1050;405;154
;id:000006,src:000000,op:havoc,rep:64,+cov;2019-10-26 20:02:06.058143139;0 days 00:00:01.103989;1060;504;164
;id:000021,src:000006,op:flip1,pos:7,+cov;2019-10-26 20:02:06.142142296;0 days 00:00:01.187988;1062;505;166
;id:000007,src:000000,op:havoc,rep:128,+cov;2019-10-26 20:02:06.174142122;0 days 00:00:01.219988;1065;419;169
;id:000008,src:000000,op:havoc,rep:128,+cov;2019-10-26 20:02:06.834136009;0 days 00:00:01.879982;1073;417;177
;id:000015,src:000006,op:flip1,pos:1,+cov;2019-10-26 20:02:07.930125713;0 days 00:00:02.975972;1077;343;181
;id:000016,src:000006,op:flip1,pos:2,+cov;2019-10-26 20:02:07.954125404;0 days 00:00:02.999972;1081;347;185
;id:000017,src:000006,op:flip1,pos:3,+cov;2019-10-26 20:02:07.978125334;0 days 00:00:03.023972;1085;351;189
;id:000018,src:000006,op:flip1,pos:4,+cov;2019-10-26 20:02:08.002125025;0 days 00:00:03.047971;1087;357;191
;id:000019,src:000006,op:flip1,pos:5,+cov;2019-10-26 20:02:08.026124716;0 days 00:00:03.071971;1091;361;195
;id:000020,src:000006,op:flip1,pos:6,+cov;2019-10-26 20:02:08.054124594;0 days 00:00:03.099971;1094;406;198
;id:000022,src:000001,op:havoc,rep:64,+cov;2019-10-26 20:02:08.606119394;0 days 00:00:03.651966;1096;347;200
;id:000009,src:000000,op:havoc,rep:32;2019-10-26 20:02:09.742108822;0 days 00:00:04.787955;1096;493;200
;id:000023,src:000018,op:havoc,rep:128,+cov;2019-10-26 20:02:09.754108667;0 days 00:00:04.799955;1108;334;212
;id:000025,src:000007,op:havoc,rep:32;2019-10-26 20:02:09.774108648;0 days 00:00:04.819955;1108;343;212
;id:000026,src:000002,op:havoc,rep:128,+cov;2019-10-26 20:02:09.778108597;0 days 00:00:04.823955;1112;300;216
;id:000011,src:000000,op:havoc,rep:32;2019-10-26 20:02:10.334103346;0 days 00:00:05.379950;1112;502;216
;id:000027,src:000002,op:havoc,rep:8,+cov;2019-10-26 20:02:10.374103069;0 days 00:00:05.419949;1118;413;222
;id:000013,src:000000,op:havoc,rep:8;2019-10-26 20:02:10.930097818;0 days 00:00:05.975944;1118;508;222
;id:000028,src:000021,op:havoc,rep:16,+cov;2019-10-26 20:02:11.458092928;0 days 00:00:06.503939;1120;505;224
;id:000030,src:000000,op:havoc,rep:2;2019-10-26 20:02:11.506092548;0 days 00:00:06.551939;1120;547;224
;id:000031,src:000000,op:havoc,rep:2;2019-10-26 20:02:11.518092393;0 days 00:00:06.563939;1120;794;224
;id:000033,src:000000,op:havoc,rep:16;2019-10-26 20:02:12.082087040;0 days 00:00:07.127933;1120;503;224
;id:000036,src:000010,op:havoc,rep:4,+cov;2019-10-26 20:02:12.218085766;0 days 00:00:07.263932;1132;934;236
;id:000037,src:000010,op:havoc,rep:16,+cov;2019-10-26 20:02:12.226085663;0 days 00:00:07.271932;1173;835;277
;id:000038,src:000037,op:flip1,pos:16,+cov;2019-10-26 20:02:13.522073746;0 days 00:00:08.567920;1175;835;279
;id:000039,src:000037,op:flip1,pos:16,+cov;2019-10-26 20:02:13.534073590;0 days 00:00:08.579920;1177;834;281
;id:000040,src:000037,op:flip1,pos:18;2019-10-26 20:02:13.550073385;0 days 00:00:08.595920;1177;826;281
;id:000041,src:000037,op:flip1,pos:28;2019-10-26 20:02:13.642072678;0 days 00:00:08.687919;1177;821;281
;id:000042,src:000037,op:flip1,pos:28,+cov;2019-10-26 20:02:13.646072626;0 days 00:00:08.691919;1182;838;286
;id:000043,src:000037,op:flip1,pos:28;2019-10-26 20:02:13.650072575;0 days 00:00:08.695919;1182;836;286
;id:000044,src:000037,op:flip1,pos:29,+cov;2019-10-26 20:02:13.662072420;0 days 00:00:08.707919;1183;455;287
;id:000045,src:000037,op:flip1,pos:29,+cov;2019-10-26 20:02:13.670072317;0 days 00:00:08.715919;1203;834;307
;id:000046,src:000000,op:havoc,rep:2,+cov;2019-10-26 20:02:17.098040581;0 days 00:00:12.143887;1206;899;310
;id:000047,src:000000,op:havoc,rep:16,+cov;2019-10-26 20:02:17.686034918;0 days 00:00:12.731881;1207;417;311
;id:000048,src:000000,op:havoc,rep:8;2019-10-26 20:02:17.698035002;0 days 00:00:12.743881;1207;505;311
;id:000049,src:000000,op:havoc,rep:4;2019-10-26 20:02:17.770034313;0 days 00:00:12.815881;1207;844;311
;id:000004,src:000000,op:havoc,rep:2,+cov;2019-10-26 20:02:18.318029165;0 days 00:00:13.363875;1207;510;311
;id:000050,src:000012,op:havoc,rep:64,+cov;2019-10-26 20:02:18.830024481;0 days 00:00:13.875871;1212;468;316
;id:000051,src:000000,op:havoc,rep:128,+cov;2019-10-26 20:02:19.342019558;0 days 00:00:14.387866;1213;459;317
;id:000052,src:000051,op:flip1,pos:18;2019-10-26 20:02:19.510018109;0 days 00:00:14.555864;1213;455;317
;id:000054,src:000052,op:flip1,pos:16;2019-10-26 20:02:20.538008451;0 days 00:00:15.583855;1213;454;317
;id:000053,src:000051,op:flip1,pos:32;2019-10-26 20:02:21.098003387;0 days 00:00:16.143850;1213;408;317
;id:000056,src:000015,op:havoc,rep:64;2019-10-26 20:02:21.845996380;0 days 00:00:16.891843;1213;324;317
;id:000024,src:000002,op:havoc,rep:32;2019-10-26 20:02:21.869996071;0 days 00:00:16.915842;1213;337;317
;id:000055,src:000006,op:havoc,rep:8;2019-10-26 20:02:22.429991007;0 days 00:00:17.475837;1213;512;317
;id:000057,src:000000,op:havoc,rep:8,+cov;2019-10-26 20:02:22.433990955;0 days 00:00:17.479837;1218;896;322
;id:000058,src:000037,op:havoc,rep:2,+cov;2019-10-26 20:02:22.441990852;0 days 00:00:17.487837;1232;503;336
;id:000035,src:000000,op:havoc,rep:8;2019-10-26 20:02:25.165965557;0 days 00:00:20.211812;1232;505;336
;id:000059,src:000044,op:havoc,rep:8;2019-10-26 20:02:25.185965300;0 days 00:00:20.231812;1232;455;336
;id:000060,src:000007,op:havoc,rep:16,+cov;2019-10-26 20:02:25.837959290;0 days 00:00:20.883805;1235;421;339
;id:000034,src:000000,op:havoc,rep:32;2019-10-26 20:02:26.429953814;0 days 00:00:21.475800;1235;505;339
;id:000064,src:000042,op:havoc,rep:8;2019-10-26 20:02:26.525952816;0 days 00:00:21.571799;1235;702;339
;id:000065,src:000000,op:havoc,rep:2,+cov;2019-10-26 20:02:27.193946600;0 days 00:00:22.239793;1237;893;341
;id:000066,src:000000,op:havoc,rep:4,+cov;2019-10-26 20:02:27.205946445;0 days 00:00:22.251793;1240;894;344
;id:000067,src:000000,op:havoc,rep:2,+cov;2019-10-26 20:02:28.429935217;0 days 00:00:23.475781;1242;897;346
;id:000032,src:000000,op:havoc,rep:64;2019-10-26 20:02:29.089929104;0 days 00:00:24.135775;1242;394;346
;id:000068,src:000040,op:havoc,rep:2;2019-10-26 20:02:29.125928640;0 days 00:00:24.171775;1242;827;346
;id:000069,src:000052,op:havoc,rep:64,+cov;2019-10-26 20:02:30.325917482;0 days 00:00:25.371764;1260;464;364
;id:000070,src:000002,op:havoc,rep:2,+cov;2019-10-26 20:02:30.369917154;0 days 00:00:25.415763;1261;452;365
;id:000071,src:000030,op:havoc,rep:2,+cov;2019-10-26 20:02:31.069910526;0 days 00:00:26.115757;1263;529;367
;id:000072,src:000012,op:havoc,rep:8;2019-10-26 20:02:31.117910147;0 days 00:00:26.163756;1263;732;367
;id:000073,src:000072,op:flip1,pos:28;2019-10-26 20:02:32.005901814;0 days 00:00:27.051748;1263;731;367
;id:000074,src:000072,op:flip1,pos:29;2019-10-26 20:02:32.017901897;0 days 00:00:27.063748;1263;734;367
;id:000079,src:000072,op:flip1,pos:44;2019-10-26 20:02:32.165900469;0 days 00:00:27.211747;1263;732;367
;id:000080,src:000072,op:flip1,pos:44;2019-10-26 20:02:32.169900417;0 days 00:00:27.215747;1263;732;367
;id:000081,src:000072,op:flip1,pos:44;2019-10-26 20:02:32.177900314;0 days 00:00:27.223747;1263;711;367
;id:000084,src:000072,op:flip1,pos:50;2019-10-26 20:02:32.237899780;0 days 00:00:27.283746;1263;522;367
;id:000085,src:000072,op:flip1,pos:52,+cov;2019-10-26 20:02:32.265899420;0 days 00:00:27.311746;1264;733;368
;id:000077,src:000072,op:flip1,pos:33,+cov;2019-10-26 20:02:33.997883320;0 days 00:00:29.043730;1268;613;372
;id:000083,src:000072,op:flip1,pos:48,+cov;2019-10-26 20:02:35.161872625;0 days 00:00:30.207719;1272;529;376
;id:000061,src:000036,op:havoc,rep:8;2019-10-26 20:02:38.213844299;0 days 00:00:33.259691;1272;508;376
;id:000063,src:000042,op:havoc,rep:32;2019-10-26 20:02:38.757839203;0 days 00:00:33.803685;1272;507;376
;id:000088,src:000074,op:havoc,rep:2,+cov;2019-10-26 20:02:38.825838566;0 days 00:00:33.871685;1273;722;377
;id:000089,src:000074,op:havoc,rep:2,+cov;2019-10-26 20:02:38.845838308;0 days 00:00:33.891685;1279;675;383
;id:000091,src:000073,op:havoc,rep:16;2019-10-26 20:02:40.809820175;0 days 00:00:35.855666;1279;731;383
;id:000093,src:000073,op:havoc,rep:4,+cov;2019-10-26 20:02:41.037817955;0 days 00:00:36.083664;1284;501;388
;id:000094,src:000073,op:havoc,rep:32,+cov;2019-10-26 20:02:41.045817852;0 days 00:00:36.091664;1291;727;395
;id:000095,src:000073,op:havoc,rep:16;2019-10-26 20:02:41.109817266;0 days 00:00:36.155663;1291;709;395
;id:000096,src:000073,op:havoc,rep:8,+cov;2019-10-26 20:02:41.197816610;0 days 00:00:36.243663;1292;730;396
;id:000029,src:000000,op:havoc,rep:128;2019-10-26 20:02:43.525794983;0 days 00:00:38.571641;1292;498;396
;id:000098,src:000059,op:havoc,rep:128,+cov;2019-10-26 20:02:44.573785067;0 days 00:00:39.619631;1294;436;398
;id:000082,src:000072,op:flip1,pos:48;2019-10-26 20:02:46.765764713;0 days 00:00:41.811611;1294;501;398
;id:000090,src:000052,op:havoc,rep:4;2019-10-26 20:02:47.237760544;0 days 00:00:42.283607;1294;463;398
;id:000076,src:000072,op:flip1,pos:32;2019-10-26 20:02:48.521748542;0 days 00:00:43.567595;1294;498;398
;id:000101,src:000076,op:flip1,pos:33,+cov;2019-10-26 20:02:49.565738916;0 days 00:00:44.611585;1296;533;400
;id:000102,src:000101,op:flip1,pos:48,+cov;2019-10-26 20:02:50.653728724;0 days 00:00:45.699575;1298;511;402
;id:000062,src:000040,op:havoc,rep:64;2019-10-26 20:02:51.265722990;0 days 00:00:46.311569;1298;496;402
;id:000103,src:000077,op:havoc,rep:4;2019-10-26 20:02:51.277722836;0 days 00:00:46.323569;1298;593;402
;id:000087,src:000073,op:havoc,rep:128;2019-10-26 20:02:53.005706787;0 days 00:00:48.051553;1298;497;402
;id:000104,src:000089,op:havoc,rep:16;2019-10-26 20:02:53.053706408;0 days 00:00:48.099553;1298;654;402
;id:000100,src:000051,op:havoc,rep:4;2019-10-26 20:02:53.585701466;0 days 00:00:48.631548;1298;415;402
;id:000106,src:000101,op:havoc,rep:2,+cov;2019-10-26 20:02:53.597701311;0 days 00:00:48.643548;1299;615;403
;id:000107,src:000101,op:havoc,rep:2;2019-10-26 20:02:53.705700397;0 days 00:00:48.751547;1299;521;403
;id:000108,src:000101,op:havoc,rep:2,+cov;2019-10-26 20:02:53.773699760;0 days 00:00:48.819546;1301;662;405
;id:000110,src:000101,op:havoc,rep:4;2019-10-26 20:02:53.905698538;0 days 00:00:48.951545;1301;521;405
;id:000112,src:000101,op:havoc,rep:4;2019-10-26 20:02:53.925698280;0 days 00:00:48.971544;1301;617;405
;id:000114,src:000101,op:havoc,rep:4,+cov;2019-10-26 20:02:54.009697676;0 days 00:00:49.055544;1302;495;406
;id:000109,src:000101,op:havoc,rep:128;2019-10-26 20:02:55.713681698;0 days 00:00:50.759528;1302;486;406
;id:000111,src:000101,op:havoc,rep:2,+cov;2019-10-26 20:02:57.221667767;0 days 00:00:52.267514;1308;632;412
;id:000113,src:000101,op:havoc,rep:16,+cov;2019-10-26 20:02:57.697663307;0 days 00:00:52.743510;1311;500;415
;id:000078,src:000072,op:flip1,pos:33;2019-10-26 20:02:58.681654215;0 days 00:00:53.727500;1311;496;415
;id:000092,src:000073,op:havoc,rep:16;2019-10-26 20:02:59.833643436;0 days 00:00:54.879490;1311;500;415
;id:000097,src:000038,op:havoc,rep:16;2019-10-26 20:03:00.381638527;0 days 00:00:55.427485;1311;527;415
;id:000115,src:000101,op:havoc,rep:64,+cov;2019-10-26 20:03:00.685635567;0 days 00:00:55.731482;1313;429;417
;id:000116,src:000057,op:havoc,rep:4;2019-10-26 20:03:00.721635342;0 days 00:00:55.767482;1313;794;417
;id:000117,src:000088,op:havoc,rep:4;2019-10-26 20:03:01.129631519;0 days 00:00:56.175478;1313;537;417
;id:000118,src:000088,op:havoc,rep:2,+cov;2019-10-26 20:03:01.149631262;0 days 00:00:56.195477;1314;725;418
;id:000119,src:000000,op:havoc,rep:16,+cov;2019-10-26 20:03:02.389619827;0 days 00:00:57.435466;1318;933;422
;id:000120,src:000093,op:havoc,rep:2;2019-10-26 20:03:03.173612595;0 days 00:00:58.219459;1318;498;422
;id:000121,src:000106,op:havoc,rep:2;2019-10-26 20:03:04.517600060;0 days 00:00:59.563446;1318;521;422
;id:000075,src:000072,op:flip1,pos:32;2019-10-26 20:03:06.061585665;0 days 00:01:01.107432;1318;486;422
;id:000099,src:000002,op:havoc,rep:4;2019-10-26 20:03:06.081585646;0 days 00:01:01.127432;1318;392;422
;id:000105,src:000089,op:havoc,rep:8;2019-10-26 20:03:07.193575144;0 days 00:01:02.239421;1318;497;422
;id:000122,src:000115,op:havoc,rep:64,+cov;2019-10-26 20:03:07.933568478;0 days 00:01:02.979415;1320;496;424
;id:000086,src:000009,op:havoc,rep:4;2019-10-26 20:03:09.169556856;0 days 00:01:04.215403;1320;507;424
;id:000123,src:000101,op:havoc,rep:32,+cov;2019-10-26 20:03:10.245547056;0 days 00:01:05.291393;1330;624;434
;id:000124,src:000108,op:havoc,rep:4;2019-10-26 20:03:10.825541496;0 days 00:01:05.871388;1330;682;434
;id:000125,src:000101,op:havoc,rep:4,+cov;2019-10-26 20:03:11.713533401;0 days 00:01:06.759380;1333;615;437
;id:000126,src:000125,op:flip1,pos:44;2019-10-26 20:03:12.797523260;0 days 00:01:07.843369;1333;605;437
;id:000128,src:000101,op:havoc,rep:4,+cov;2019-10-26 20:03:13.909512997;0 days 00:01:08.955359;1334;659;438
;id:000129,src:000101,op:havoc,rep:4;2019-10-26 20:03:14.001512051;0 days 00:01:09.047358;1334;608;438
;id:000127,src:000101,op:havoc,rep:16,+cov;2019-10-26 20:03:14.609506369;0 days 00:01:09.655353;1337;525;441
;id:000131,src:000101,op:havoc,rep:16,+cov;2019-10-26 20:03:17.165482759;0 days 00:01:12.211329;1338;491;442
;id:000132,src:000115,op:havoc,rep:16,+cov;2019-10-26 20:03:17.657478094;0 days 00:01:12.703324;1341;421;445
;id:000133,src:000101,op:havoc,rep:4,+cov;2019-10-26 20:03:18.757467985;0 days 00:01:13.803314;1343;655;447
;id:000134,src:000101,op:havoc,rep:128,+cov;2019-10-26 20:03:20.773449421;0 days 00:01:15.819296;1344;417;448
;id:000135,src:000123,op:havoc,rep:8,+cov;2019-10-26 20:03:21.105446339;0 days 00:01:16.151293;1345;613;449
